Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.04,25,0
race,Caucasian,0.0,0.1,0.07533427546472443,9199,0
race,African-American,0.0,0.1,0.04566794707639778,2343,0
race,Other,0.0,0.1,0.011764705882352941,255,0
race,Indian,0.0,0.1,0.0,11,0
race,Caucasian,0.0,0.1,0.0712627669452182,8616,1
race,African-American,0.0,0.1,0.04407582938388625,2110,1
race,Other,0.0,0.1,0.026200873362445413,229,1
race,Indian,0.0,0.1,0.0,12,1
race,Asian,0.0,0.1,0.08,25,1
race,Caucasian,0.0,0.1,0.06939152522803371,8661,2
race,African-American,0.0,0.1,0.04704752760441671,2083,2
race,Asian,0.0,0.1,0.0,29,2
race,Indian,0.0,0.1,0.0,16,2
race,Other,0.0,0.1,0.0,264,2
race,African-American,0.0,0.1,0.046283934134401426,2247,3
race,Caucasian,0.0,0.1,0.06746075921184459,8983,3
race,Indian,0.0,0.1,0.0,8,3
race,Other,0.0,0.1,0.014545454545454545,275,3
race,Asian,0.0,0.1,0.03125,32,3
race,Caucasian,0.0,0.1,0.0733037845209683,8799,4
race,African-American,0.0,0.1,0.044964028776978415,2224,4
race,Asian,0.0,0.1,0.02564102564102564,39,4
race,Other,0.0,0.1,0.012195121951219513,246,4
race,Indian,0.0,0.1,0.0,9,4
race,Asian,0.1,0.2,0.1111111111111111,18,0
race,Caucasian,0.1,0.2,0.16248704663212435,4825,0
race,African-American,0.1,0.2,0.12004287245444802,933,0
race,Other,0.1,0.2,0.05454545454545454,55,0
race,Indian,0.1,0.2,0.16666666666666666,6,0
race,Caucasian,0.1,0.2,0.14064816776106756,4721,1
race,African-American,0.1,0.2,0.11501597444089456,939,1
race,Other,0.1,0.2,0.04081632653061224,49,1
race,Indian,0.1,0.2,0.0,2,1
race,Asian,0.1,0.2,0.0,15,1
race,Caucasian,0.1,0.2,0.14697593756774333,4613,2
race,African-American,0.1,0.2,0.12,975,2
race,Asian,0.1,0.2,0.058823529411764705,17,2
race,Indian,0.1,0.2,0.0,3,2
race,Other,0.1,0.2,0.0,47,2
race,African-American,0.1,0.2,0.09578107183580388,877,3
race,Caucasian,0.1,0.2,0.14430268367795865,4546,3
race,Indian,0.1,0.2,0.0,7,3
race,Other,0.1,0.2,0.09433962264150944,53,3
race,Asian,0.1,0.2,0.14285714285714285,7,3
race,Caucasian,0.1,0.2,0.14085667215815487,4856,4
race,African-American,0.1,0.2,0.1188118811881188,909,4
race,Asian,0.1,0.2,0.0,13,4
race,Other,0.1,0.2,0.0625,48,4
race,Indian,0.1,0.2,0.0,2,4
race,Asian,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.23234624145785876,878,0
race,African-American,0.2,0.3,0.24157303370786518,178,0
race,Other,0.2,0.3,0.3333333333333333,3,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.210727969348659,1566,1
race,African-American,0.2,0.3,0.16165413533834586,266,1
race,Other,0.2,0.3,0.13636363636363635,22,1
race,Indian,0.2,0.3,1.0,1,1
race,Asian,0.2,0.3,0.0,3,1
race,Caucasian,0.2,0.3,0.22616279069767442,1720,2
race,African-American,0.2,0.3,0.21283783783783783,296,2
race,Asian,0.2,0.3,0.3333333333333333,3,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,0.21212121212121213,33,2
race,African-American,0.2,0.3,0.1444866920152091,263,3
race,Caucasian,0.2,0.3,0.23246753246753246,1540,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,0.3333333333333333,9,3
race,Asian,0.2,0.3,0.0,5,3
race,Caucasian,0.2,0.3,0.23465703971119134,1385,4
race,African-American,0.2,0.3,0.2217391304347826,230,4
race,Asian,0.2,0.3,0.25,4,4
race,Other,0.2,0.3,0.0,11,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.3485254691689008,373,0
race,African-American,0.3,0.4,0.35294117647058826,51,0
race,Other,0.3,0.4,0.0,2,0
race,Indian,0.3,0.4,0.0,2,0
race,Caucasian,0.3,0.4,0.3013972055888224,501,1
race,African-American,0.3,0.4,0.24193548387096775,62,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Asian,0.3,0.4,0.0,1,1
