Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.06976744186046512,43,0
race,Caucasian,0.0,0.1,0.10909966960352423,14528,0
race,African-American,0.0,0.1,0.07281839622641509,3392,0
race,Other,0.0,0.1,0.022364217252396165,313,0
race,Indian,0.0,0.1,0.058823529411764705,17,0
race,Caucasian,0.0,0.1,0.10472602739726028,14600,1
race,African-American,0.0,0.1,0.07011635027556644,3266,1
race,Other,0.0,0.1,0.03666666666666667,300,1
race,Indian,0.0,0.1,0.06666666666666667,15,1
race,Asian,0.0,0.1,0.045454545454545456,44,1
race,Caucasian,0.0,0.1,0.10493064139541272,14562,2
race,African-American,0.0,0.1,0.0777676120768527,3279,2
race,Asian,0.0,0.1,0.04081632653061224,49,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.020527859237536656,341,2
race,African-American,0.0,0.1,0.06166464155528554,3292,3
race,Caucasian,0.0,0.1,0.10028929604628736,14518,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.029585798816568046,338,3
race,Asian,0.0,0.1,0.07142857142857142,42,3
race,Caucasian,0.0,0.1,0.10481489113263273,14559,4
race,African-American,0.0,0.1,0.07263922518159806,3304,4
race,Asian,0.0,0.1,0.03636363636363636,55,4
race,Other,0.0,0.1,0.019736842105263157,304,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.263653483992467,531,0
race,African-American,0.1,0.2,0.24719101123595505,89,0
race,Other,0.1,0.2,0.0,2,0
race,Indian,0.1,0.2,0.0,2,0
race,Caucasian,0.1,0.2,0.26644182124789206,593,1
race,African-American,0.1,0.2,0.26506024096385544,83,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.31040564373897706,567,2
race,African-American,0.1,0.2,0.2765957446808511,94,2
race,Asian,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,0.0,3,2
race,African-American,0.1,0.2,0.22857142857142856,105,3
race,Caucasian,0.1,0.2,0.293015332197615,587,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,0.75,4,3
race,Asian,0.1,0.2,0.0,3,3
race,Caucasian,0.1,0.2,0.26495726495726496,585,4
race,African-American,0.1,0.2,0.3103448275862069,87,4
race,Asian,0.1,0.2,0.0,1,4
race,Other,0.1,0.2,0.0,2,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.35795454545454547,176,0
race,African-American,0.2,0.3,0.35,20,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.30601092896174864,183,1
race,African-American,0.2,0.3,0.28,25,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.3525641025641026,156,2
race,African-American,0.2,0.3,0.3103448275862069,29,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.42857142857142855,21,3
race,Caucasian,0.2,0.3,0.27380952380952384,168,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.37142857142857144,175,4
race,African-American,0.2,0.3,0.2727272727272727,22,4
