Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.017063633131887666,5626,0
race,Caucasian,0.0,0.1,0.027774549680418363,25815,0
race,Other,0.0,0.1,0.009472259810554804,739,0
race,Caucasian,0.0,0.1,0.027790733830845772,25728,1
race,Other,0.0,0.1,0.006915629322268326,723,1
race,African-American,0.0,0.1,0.0167218254659467,5741,1
race,African-American,0.0,0.1,0.01809875241609559,5691,2
race,Caucasian,0.0,0.1,0.025948801615973273,25743,2
race,Other,0.0,0.1,0.009722222222222222,720,2
race,Caucasian,0.0,0.1,0.027253668763102725,25758,3
race,African-American,0.0,0.1,0.01942433339219495,5663,3
race,Other,0.0,0.1,0.007802340702210663,769,3
race,Caucasian,0.0,0.1,0.02649263877558948,25743,4
race,Other,0.0,0.1,0.009602194787379973,729,4
race,African-American,0.0,0.1,0.020636586218957677,5718,4
race,African-American,0.1,0.2,0.1,420,0
race,Caucasian,0.1,0.2,0.10680707032719067,2659,0
race,Other,0.1,0.2,0.02857142857142857,35,0
race,Caucasian,0.1,0.2,0.10734463276836158,2655,1
race,Other,0.1,0.2,0.024390243902439025,41,1
race,African-American,0.1,0.2,0.11358024691358025,405,1
race,African-American,0.1,0.2,0.08411214953271028,428,2
race,Caucasian,0.1,0.2,0.10059612518628912,2684,2
race,Other,0.1,0.2,0.07407407407407407,27,2
race,Caucasian,0.1,0.2,0.10476550680786686,2644,3
race,African-American,0.1,0.2,0.0892018779342723,426,3
race,Other,0.1,0.2,0.09090909090909091,33,3
race,Caucasian,0.1,0.2,0.10490566037735849,2650,4
race,Other,0.1,0.2,0.0,24,4
race,African-American,0.1,0.2,0.08624708624708624,429,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
