Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,1,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,1,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,3,0
race,Caucasian,0.3,0.4,0.0,10,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,13,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.0,6,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.0,19,3
race,African-American,0.3,0.4,0.0,2,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,15,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.0,2,4
race,African-American,0.4,0.5,0.006550218340611353,458,0
race,Caucasian,0.4,0.5,0.006572295247724975,1978,0
race,Other,0.4,0.5,0.0,64,0
race,Caucasian,0.4,0.5,0.0057490700033818055,2957,1
race,Other,0.4,0.5,0.0,103,1
race,African-American,0.4,0.5,0.004213483146067416,712,1
race,African-American,0.4,0.5,0.0038461538461538464,520,2
race,Caucasian,0.4,0.5,0.002938295788442703,2042,2
race,Other,0.4,0.5,0.0,60,2
race,Caucasian,0.4,0.5,0.003510531594784353,1994,3
race,African-American,0.4,0.5,0.007782101167315175,514,3
race,Other,0.4,0.5,0.0,63,3
race,Caucasian,0.4,0.5,0.004675324675324675,1925,4
race,Other,0.4,0.5,0.0,46,4
race,African-American,0.4,0.5,0.0,477,4
race,African-American,0.5,0.6,0.008036739380022962,1742,0
race,Caucasian,0.5,0.6,0.009637753406447324,9027,0
race,Other,0.5,0.6,0.0,355,0
race,Caucasian,0.5,0.6,0.009752020061298413,7178,1
race,Other,0.5,0.6,0.0,213,1
race,African-American,0.5,0.6,0.002079002079002079,1443,1
race,African-American,0.5,0.6,0.0037926675094816687,1582,2
race,Caucasian,0.5,0.6,0.008102136017677388,8146,2
race,Other,0.5,0.6,0.00390625,256,2
race,Caucasian,0.5,0.6,0.008743842364532019,8120,3
race,African-American,0.5,0.6,0.004478566858605247,1563,3
race,Other,0.5,0.6,0.003787878787878788,264,3
race,Caucasian,0.5,0.6,0.009273388895410259,8519,4
race,Other,0.5,0.6,0.007547169811320755,265,4
race,African-American,0.5,0.6,0.0041841004184100415,1673,4
race,African-American,0.6,0.7,0.013636363636363636,1320,0
race,Caucasian,0.6,0.7,0.019924287706714484,5019,0
race,Other,0.6,0.7,0.006756756756756757,148,0
race,Caucasian,0.6,0.7,0.019165177846353743,6157,1
race,Other,0.6,0.7,0.013215859030837005,227,1
race,African-American,0.6,0.7,0.0073041168658698535,1506,1
race,African-American,0.6,0.7,0.009824561403508772,1425,2
race,Caucasian,0.6,0.7,0.01753463089601964,5703,2
race,Other,0.6,0.7,0.0043859649122807015,228,2
race,Caucasian,0.6,0.7,0.01937777777777778,5625,3
race,African-American,0.6,0.7,0.011049723756906077,1448,3
race,Other,0.6,0.7,0.0,244,3
race,Caucasian,0.6,0.7,0.017130620985010708,5604,4
race,Other,0.6,0.7,0.008130081300813009,246,4
race,African-American,0.6,0.7,0.016163035839775124,1423,4
race,African-American,0.7,0.8,0.0240343347639485,1165,0
race,Caucasian,0.7,0.8,0.03772572858930806,5593,0
race,Other,0.7,0.8,0.03937007874015748,127,0
race,Caucasian,0.7,0.8,0.03892668178382464,5292,1
race,Other,0.7,0.8,0.0,132,1
race,African-American,0.7,0.8,0.020228671943711522,1137,1
race,African-American,0.7,0.8,0.0329004329004329,1155,2
race,Caucasian,0.7,0.8,0.039956996953950906,5581,2
race,Other,0.7,0.8,0.022727272727272728,132,2
race,Caucasian,0.7,0.8,0.037990413633942836,5633,3
race,African-American,0.7,0.8,0.02432667245873154,1151,3
race,Other,0.7,0.8,0.022222222222222223,135,3
race,Caucasian,0.7,0.8,0.03730931814004779,5441,4
race,Other,0.7,0.8,0.026785714285714284,112,4
race,African-American,0.7,0.8,0.032562125107112254,1167,4
race,African-American,0.8,0.9,0.034782608695652174,1035,0
race,Caucasian,0.8,0.9,0.07034098220030023,4663,0
race,Other,0.8,0.9,0.015625,64,0
race,Caucasian,0.8,0.9,0.06827048114434331,4614,1
race,Other,0.8,0.9,0.029850746268656716,67,1
race,African-American,0.8,0.9,0.05654761904761905,1008,1
