Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.025451559934318555,4872,0
race,Caucasian,0.0,0.1,0.02871607249212967,23506,0
race,Other,0.0,0.1,0.016877637130801686,711,0
race,Caucasian,0.0,0.1,0.03048025613660619,23425,1
race,Other,0.0,0.1,0.017266187050359712,695,1
race,African-American,0.0,0.1,0.02462955546655987,4994,1
race,African-American,0.0,0.1,0.03180354267310789,4968,2
race,Caucasian,0.0,0.1,0.02962025316455696,23700,2
race,Other,0.0,0.1,0.008534850640113799,703,2
race,Caucasian,0.0,0.1,0.029828830340661184,23836,3
race,African-American,0.0,0.1,0.03216140631242509,5006,3
race,Other,0.0,0.1,0.006711409395973154,745,3
race,Caucasian,0.0,0.1,0.028055853920515576,23275,4
race,Other,0.0,0.1,0.014347202295552367,697,4
race,African-American,0.0,0.1,0.02903885480572597,4890,4
race,African-American,0.1,0.2,0.1193717277486911,955,0
race,Caucasian,0.1,0.2,0.14934584053320168,4051,0
race,Other,0.1,0.2,0.018867924528301886,53,0
race,Caucasian,0.1,0.2,0.14881709488679726,3931,1
race,Other,0.1,0.2,0.16129032258064516,62,1
race,African-American,0.1,0.2,0.13725490196078433,918,1
race,African-American,0.1,0.2,0.14009111617312073,878,2
race,Caucasian,0.1,0.2,0.14680153089119738,3658,2
race,Other,0.1,0.2,0.05714285714285714,35,2
race,Caucasian,0.1,0.2,0.1484397783610382,3429,3
race,African-American,0.1,0.2,0.12038140643623362,839,3
race,Other,0.1,0.2,0.1,50,3
race,Caucasian,0.1,0.2,0.13095238095238096,3528,4
race,Other,0.1,0.2,0.1111111111111111,45,4
race,African-American,0.1,0.2,0.12780269058295965,892,4
race,African-American,0.2,0.3,0.22151898734177214,158,0
race,Caucasian,0.2,0.3,0.2018348623853211,654,0
race,Other,0.2,0.3,0.125,8,0
race,Caucasian,0.2,0.3,0.22727272727272727,704,1
race,Other,0.2,0.3,0.14285714285714285,7,1
race,African-American,0.2,0.3,0.1839080459770115,174,1
race,African-American,0.2,0.3,0.22346368715083798,179,2
race,Caucasian,0.2,0.3,0.21649484536082475,679,2
race,Other,0.2,0.3,0.25,4,2
race,Caucasian,0.2,0.3,0.21368715083798884,716,3
race,African-American,0.2,0.3,0.24050632911392406,158,3
race,Other,0.2,0.3,0.5,4,3
race,Caucasian,0.2,0.3,0.20804331013147717,1293,4
race,Other,0.2,0.3,0.0,8,4
race,African-American,0.2,0.3,0.20357142857142857,280,4
race,African-American,0.3,0.4,0.32727272727272727,55,0
race,Caucasian,0.3,0.4,0.3008474576271186,236,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.29213483146067415,267,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.3148148148148148,54,1
race,African-American,0.3,0.4,0.2857142857142857,70,2
race,Caucasian,0.3,0.4,0.1895910780669145,269,2
race,Other,0.3,0.4,0.0,3,2
race,Caucasian,0.3,0.4,0.3020527859237537,341,3
race,African-American,0.3,0.4,0.2153846153846154,65,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.203125,192,4
race,Other,0.3,0.4,0.0,3,4
race,African-American,0.3,0.4,0.2708333333333333,48,4
race,African-American,0.4,0.5,0.0,1,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.17647058823529413,17,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.3,10,2
race,Caucasian,0.4,0.5,0.3111111111111111,45,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.2,15,3
race,African-American,0.4,0.5,0.14285714285714285,7,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.2463768115942029,69,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.5,30,4
race,African-American,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.2857142857142857,7,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.2727272727272727,11,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.3333333333333333,3,1
race,African-American,0.5,0.6,0.0,3,2
race,Caucasian,0.5,0.6,0.25925925925925924,27,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.23333333333333334,30,3
race,African-American,0.5,0.6,0.3333333333333333,6,3
race,Other,0.5,0.6,0.0,1,3
race,Caucasian,0.5,0.6,0.07142857142857142,14,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.2,5,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,2,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.16666666666666666,6,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.0,1,2
race,Caucasian,0.6,0.7,0.38461538461538464,13,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.2,5,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.25,8,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.3333333333333333,3,2
race,Caucasian,0.7,0.8,0.3333333333333333,9,2
race,Other,0.7,0.8,0.0,1,2
race,Caucasian,0.7,0.8,0.5,2,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,African-American,0.8,0.9,1.0,1,0
race,Caucasian,0.8,0.9,0.16666666666666666,6,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,2,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,0.0,1,1
race,African-American,0.8,0.9,0.0,1,2
race,Caucasian,0.8,0.9,0.0,3,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,1,3
race,African-American,0.8,0.9,0.0,2,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.0,4,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.028108432529758927,19994,0
sex,female,0.0,0.1,0.02737768004398021,9095,0
sex,male,0.0,0.1,0.029417660619424676,19954,1
sex,female,0.0,0.1,0.028602620087336245,9160,1
sex,male,0.0,0.1,0.030859007962019683,20221,2
sex,female,0.0,0.1,0.026448087431693988,9150,2
sex,male,0.0,0.1,0.030508474576271188,20355,3
sex,female,0.0,0.1,0.02772963604852686,9232,3
sex,female,0.0,0.1,0.027608382304024837,9019,4
sex,male,0.0,0.1,0.028019956659779268,19843,4
sex,male,0.1,0.2,0.14761255115961802,3665,0
sex,female,0.1,0.2,0.1284074605451937,1394,0
sex,male,0.1,0.2,0.1565856416054268,3538,1
sex,female,0.1,0.2,0.12163146394756008,1373,1
sex,male,0.1,0.2,0.1487603305785124,3267,2
sex,female,0.1,0.2,0.13496932515337423,1304,2
sex,male,0.1,0.2,0.15056818181818182,3168,3
sex,female,0.1,0.2,0.12,1150,3
sex,female,0.1,0.2,0.10700538876058506,1299,4
sex,male,0.1,0.2,0.1396083385975995,3166,4
sex,male,0.2,0.3,0.19755244755244755,572,0
sex,female,0.2,0.3,0.2217741935483871,248,0
sex,male,0.2,0.3,0.22372372372372373,666,1
sex,female,0.2,0.3,0.2009132420091324,219,1
sex,male,0.2,0.3,0.21706586826347304,668,2
sex,female,0.2,0.3,0.22164948453608246,194,2
sex,male,0.2,0.3,0.22406015037593985,665,3
sex,female,0.2,0.3,0.20657276995305165,213,3
sex,female,0.2,0.3,0.2164009111617312,439,4
sex,male,0.2,0.3,0.202276707530648,1142,4
sex,male,0.3,0.4,0.30278884462151395,251,0
sex,female,0.3,0.4,0.325,40,0
sex,male,0.3,0.4,0.3103448275862069,232,1
sex,female,0.3,0.4,0.25842696629213485,89,1
sex,male,0.3,0.4,0.200836820083682,239,2
sex,female,0.3,0.4,0.22330097087378642,103,2
sex,male,0.3,0.4,0.3028391167192429,317,3
sex,female,0.3,0.4,0.23333333333333334,90,3
sex,female,0.3,0.4,0.15625,64,4
sex,male,0.3,0.4,0.2346368715083799,179,4
sex,male,0.4,0.5,0.0,1,0
sex,female,0.4,0.5,,0,0
sex,male,0.4,0.5,0.23076923076923078,13,1
sex,female,0.4,0.5,0.0,4,1
sex,male,0.4,0.5,0.3125,48,2
sex,female,0.4,0.5,0.2857142857142857,7,2
sex,male,0.4,0.5,0.2222222222222222,18,3
sex,female,0.4,0.5,0.0,4,3
sex,female,0.4,0.5,0.21739130434782608,23,4
sex,male,0.4,0.5,0.35526315789473684,76,4
sex,male,0.5,0.6,0.2857142857142857,7,0
sex,female,0.5,0.6,0.0,1,0
