Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.04160272804774084,5865,0
race,Caucasian,0.0,0.1,0.046668348408951676,27749,0
race,Other,0.0,0.1,0.01683937823834197,772,0
race,Caucasian,0.0,0.1,0.04929780338494778,27770,1
race,Other,0.0,0.1,0.030303030303030304,759,1
race,African-American,0.0,0.1,0.04250334672021419,5976,1
race,African-American,0.0,0.1,0.05074777348344816,5951,2
race,Caucasian,0.0,0.1,0.04645961836742055,27723,2
race,Other,0.0,0.1,0.012080536912751677,745,2
race,Caucasian,0.0,0.1,0.04627519085350411,27639,3
race,African-American,0.0,0.1,0.04783560720902813,5937,3
race,Other,0.0,0.1,0.015037593984962405,798,3
race,Caucasian,0.0,0.1,0.04542664211172499,27693,4
race,Other,0.0,0.1,0.020026702269692925,749,4
race,African-American,0.0,0.1,0.04819277108433735,5976,4
race,African-American,0.1,0.2,0.19090909090909092,110,0
race,Caucasian,0.1,0.2,0.24854368932038834,515,0
race,Other,0.1,0.2,0.5,2,0
race,Caucasian,0.1,0.2,0.2549889135254989,451,1
race,Other,0.1,0.2,0.0,4,1
race,African-American,0.1,0.2,0.25,124,1
race,African-American,0.1,0.2,0.2,115,2
race,Caucasian,0.1,0.2,0.2587991718426501,483,2
race,Other,0.1,0.2,0.0,2,2
race,Caucasian,0.1,0.2,0.2658959537572254,519,3
race,African-American,0.1,0.2,0.16666666666666666,102,3
race,Other,0.1,0.2,0.0,3,3
race,Caucasian,0.1,0.2,0.2359081419624217,479,4
race,Other,0.1,0.2,0.0,3,4
race,African-American,0.1,0.2,0.26605504587155965,109,4
race,African-American,0.2,0.3,0.4146341463414634,41,0
race,Caucasian,0.2,0.3,0.2962962962962963,135,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.4105263157894737,95,1
race,Other,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.30303030303030304,33,1
race,African-American,0.2,0.3,0.36363636363636365,33,2
race,Caucasian,0.2,0.3,0.21666666666666667,120,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.3142857142857143,140,3
race,African-American,0.2,0.3,0.25925925925925924,27,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.3383458646616541,133,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.48148148148148145,27,4
race,African-American,0.3,0.4,0.3888888888888889,18,0
race,Caucasian,0.3,0.4,0.2972972972972973,37,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.3783783783783784,37,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.3333333333333333,6,1
race,African-American,0.3,0.4,0.3333333333333333,12,2
race,Caucasian,0.3,0.4,0.26785714285714285,56,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.3333333333333333,51,3
race,African-American,0.3,0.4,0.46153846153846156,13,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.3333333333333333,48,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.4,15,4
race,African-American,0.4,0.5,0.4,5,0
race,Caucasian,0.4,0.5,0.3333333333333333,21,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.42857142857142855,14,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.5,2,2
race,Caucasian,0.4,0.5,0.3181818181818182,22,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.2962962962962963,27,3
race,African-American,0.4,0.5,0.25,4,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.19047619047619047,21,4
race,Other,0.4,0.5,0.0,1,4
race,African-American,0.4,0.5,0.2,10,4
race,African-American,0.5,0.6,0.5,2,0
race,Caucasian,0.5,0.6,0.6666666666666666,3,0
