Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.04597701149425287,4263,0
race,Caucasian,0.0,0.1,0.04553095432496038,20821,0
race,Other,0.0,0.1,0.019830028328611898,706,0
race,Caucasian,0.0,0.1,0.048672566371681415,21244,1
race,Other,0.0,0.1,0.009104704097116844,659,1
race,African-American,0.0,0.1,0.042810098792535674,4555,1
race,African-American,0.0,0.1,0.05089686098654708,4460,2
race,Caucasian,0.0,0.1,0.0473463687150838,21480,2
race,Other,0.0,0.1,0.016272189349112426,676,2
race,Caucasian,0.0,0.1,0.04994985912802636,20941,3
race,African-American,0.0,0.1,0.047182775996335316,4366,3
race,Other,0.0,0.1,0.018258426966292134,712,3
race,Caucasian,0.0,0.1,0.04388637703951248,20348,4
race,Other,0.0,0.1,0.02945736434108527,645,4
race,African-American,0.0,0.1,0.045081004930734914,4259,4
race,African-American,0.1,0.2,0.11868300153139356,1306,0
race,Caucasian,0.1,0.2,0.1477577273539396,5597,0
race,Other,0.1,0.2,0.11864406779661017,59,0
race,Caucasian,0.1,0.2,0.15221162185602774,4612,1
race,Other,0.1,0.2,0.06818181818181818,88,1
race,African-American,0.1,0.2,0.12996031746031747,1008,1
race,African-American,0.1,0.2,0.14989733059548255,974,2
race,Caucasian,0.1,0.2,0.1359745659085351,4089,2
race,Other,0.1,0.2,0.043478260869565216,46,2
race,Caucasian,0.1,0.2,0.14539151712887438,4904,3
race,African-American,0.1,0.2,0.1353898886032562,1167,3
race,Other,0.1,0.2,0.06578947368421052,76,3
race,Caucasian,0.1,0.2,0.1453050034270048,5836,4
race,Other,0.1,0.2,0.03296703296703297,91,4
race,African-American,0.1,0.2,0.12916962384669978,1409,4
race,African-American,0.2,0.3,0.2246153846153846,325,0
race,Caucasian,0.2,0.3,0.25484120836560803,1291,0
race,Other,0.2,0.3,0.0,6,0
race,Caucasian,0.2,0.3,0.24335260115606935,1730,1
race,Other,0.2,0.3,0.18181818181818182,11,1
race,African-American,0.2,0.3,0.25,408,1
race,African-American,0.2,0.3,0.2193158953722334,497,2
race,Caucasian,0.2,0.3,0.22859922178988326,2056,2
race,Other,0.2,0.3,0.3125,16,2
race,Caucasian,0.2,0.3,0.23564239194789816,1689,3
race,African-American,0.2,0.3,0.19726027397260273,365,3
race,Other,0.2,0.3,0.18181818181818182,11,3
race,Caucasian,0.2,0.3,0.23842794759825328,1145,4
race,Other,0.2,0.3,0.2222222222222222,9,4
race,African-American,0.2,0.3,0.2631578947368421,247,4
race,African-American,0.3,0.4,0.2375,80,0
race,Caucasian,0.3,0.4,0.30625,480,0
race,Other,0.3,0.4,1.0,2,0
race,Caucasian,0.3,0.4,0.2826086956521739,506,1
race,Other,0.3,0.4,0.25,4,1
race,African-American,0.3,0.4,0.3368421052631579,95,1
race,African-American,0.3,0.4,0.26717557251908397,131,2
race,Caucasian,0.3,0.4,0.3563025210084034,595,2
race,Other,0.3,0.4,0.0,4,2
race,Caucasian,0.3,0.4,0.32189542483660133,612,3
race,African-American,0.3,0.4,0.26865671641791045,134,3
race,Other,0.3,0.4,0.0,3,3
race,Caucasian,0.3,0.4,0.30739795918367346,784,4
race,Other,0.3,0.4,0.14285714285714285,7,4
race,African-American,0.3,0.4,0.3072289156626506,166,4
race,African-American,0.4,0.5,0.30303030303030304,33,0
race,Caucasian,0.4,0.5,0.38372093023255816,86,0
race,Other,0.4,0.5,1.0,1,0
race,Caucasian,0.4,0.5,0.387434554973822,191,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.44642857142857145,56,1
race,African-American,0.4,0.5,0.2903225806451613,31,2
race,Caucasian,0.4,0.5,0.34,100,2
race,Other,0.4,0.5,0.0,2,2
race,Caucasian,0.4,0.5,0.4057971014492754,138,3
race,African-American,0.4,0.5,0.52,25,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.3103448275862069,87,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.35714285714285715,28,4
race,African-American,0.5,0.6,0.25925925925925924,27,0
race,Caucasian,0.5,0.6,0.35766423357664234,137,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.3157894736842105,38,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.6363636363636364,11,1
race,African-American,0.5,0.6,0.4166666666666667,12,2
race,Caucasian,0.5,0.6,0.23333333333333334,30,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.46875,32,3
race,African-American,0.5,0.6,0.4666666666666667,15,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.3805970149253731,134,4
race,Other,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,0.19230769230769232,26,4
race,African-American,0.6,0.7,0.0,1,0
race,Caucasian,0.6,0.7,0.25,8,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.4,25,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.2,5,1
race,African-American,0.6,0.7,0.75,8,2
race,Caucasian,0.6,0.7,0.5,46,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.49056603773584906,53,3
race,African-American,0.6,0.7,0.4,5,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.3333333333333333,18,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,0.2857142857142857,7,4
race,African-American,0.7,0.8,0.6666666666666666,9,0
race,Caucasian,0.7,0.8,0.5555555555555556,27,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.0,1,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.0,2,2
race,Caucasian,0.7,0.8,0.25,4,2
race,Other,0.7,0.8,0.0,1,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.6666666666666666,21,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,0.75,4,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,3,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.4166666666666667,12,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,0.5,4,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.3333333333333333,3,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,4,3
race,African-American,0.8,0.9,0.5,2,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.3,10,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,1.0,1,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,0.6666666666666666,3,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,0.875,8,3
race,African-American,0.9,1.0,0.6,5,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.046385337707885506,17678,0
sex,female,0.0,0.1,0.041666666666666664,8112,0
sex,male,0.0,0.1,0.04874153219144132,18157,1
sex,female,0.0,0.1,0.04216359474762077,8301,1
sex,male,0.0,0.1,0.047876701098540746,18297,2
sex,female,0.0,0.1,0.04555836037985335,8319,2
sex,male,0.0,0.1,0.049640648504094935,17949,3
sex,female,0.0,0.1,0.04634448574969021,8070,3
sex,female,0.0,0.1,0.039483675018982534,7902,4
sex,male,0.0,0.1,0.04564841498559078,17350,4
sex,male,0.1,0.2,0.14369205965336557,4962,0
sex,female,0.1,0.2,0.138,2000,0
sex,male,0.1,0.2,0.15180360721442887,3992,1
sex,female,0.1,0.2,0.1357808857808858,1716,1
sex,male,0.1,0.2,0.1372438955936009,3563,2
sex,female,0.1,0.2,0.1390685640362225,1546,2
sex,male,0.1,0.2,0.14430613185799906,4338,3
sex,female,0.1,0.2,0.13819789939192925,1809,3
sex,female,0.1,0.2,0.1358368103847937,2157,4
sex,male,0.1,0.2,0.1428847267812319,5179,4
sex,male,0.2,0.3,0.25272879932829556,1191,0
sex,female,0.2,0.3,0.23433874709976799,431,0
sex,male,0.2,0.3,0.24902975420439843,1546,1
sex,female,0.2,0.3,0.23217247097844113,603,1
sex,male,0.2,0.3,0.22961816305469557,1938,2
sex,female,0.2,0.3,0.2202852614896989,631,2
sex,male,0.2,0.3,0.23607427055702918,1508,3
sex,female,0.2,0.3,0.20825852782764812,557,3
sex,female,0.2,0.3,0.22962962962962963,405,4
sex,male,0.2,0.3,0.24799196787148595,996,4
sex,male,0.3,0.4,0.2860696517412935,402,0
sex,female,0.3,0.4,0.33125,160,0
sex,male,0.3,0.4,0.29475982532751094,458,1
sex,female,0.3,0.4,0.2789115646258503,147,1
sex,male,0.3,0.4,0.341130604288499,513,2
sex,female,0.3,0.4,0.3317972350230415,217,2
sex,male,0.3,0.4,0.3266423357664234,548,3
sex,female,0.3,0.4,0.26865671641791045,201,3
sex,female,0.3,0.4,0.2953020134228188,298,4
sex,male,0.3,0.4,0.3110773899848255,659,4
sex,male,0.4,0.5,0.35051546391752575,97,0
sex,female,0.4,0.5,0.43478260869565216,23,0
