Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.04181568088033012,3635,0
race,Caucasian,0.0,0.1,0.04329362453121553,18132,0
race,Other,0.0,0.1,0.01854714064914992,647,0
race,Caucasian,0.0,0.1,0.03949190295587261,16611,1
race,Other,0.0,0.1,0.0067226890756302525,595,1
race,African-American,0.0,0.1,0.03288364249578415,3558,1
race,African-American,0.0,0.1,0.04273751082876119,3463,2
race,Caucasian,0.0,0.1,0.03717026378896882,16680,2
race,Other,0.0,0.1,0.014778325123152709,609,2
race,Caucasian,0.0,0.1,0.041374347904299336,16677,3
race,African-American,0.0,0.1,0.041162924582613704,3474,3
race,Other,0.0,0.1,0.021406727828746176,654,3
race,Caucasian,0.0,0.1,0.03760479041916168,16700,4
race,Other,0.0,0.1,0.02768729641693811,614,4
race,African-American,0.0,0.1,0.04006968641114982,3444,4
race,African-American,0.1,0.2,0.10479573712255773,1689,0
race,Caucasian,0.1,0.2,0.11506772797095378,7161,0
race,Other,0.1,0.2,0.06481481481481481,108,0
race,Caucasian,0.1,0.2,0.12099913494809689,9248,1
race,Other,0.1,0.2,0.06535947712418301,153,1
race,African-American,0.1,0.2,0.10467380720545277,2054,1
race,African-American,0.1,0.2,0.12103083294983893,2173,2
race,Caucasian,0.1,0.2,0.11348827106863597,9208,2
race,Other,0.1,0.2,0.056451612903225805,124,2
race,Caucasian,0.1,0.2,0.11525831873905429,9136,3
race,African-American,0.1,0.2,0.10157367668097282,2097,3
race,Other,0.1,0.2,0.022556390977443608,133,3
race,Caucasian,0.1,0.2,0.11625615763546798,9135,4
race,Other,0.1,0.2,0.04201680672268908,119,4
race,African-American,0.1,0.2,0.10841720036596524,2186,4
race,African-American,0.2,0.3,0.18975069252077562,722,0
race,Caucasian,0.2,0.3,0.2342030807922037,3181,0
race,Other,0.2,0.3,0.2631578947368421,19,0
race,Caucasian,0.2,0.3,0.25,2524,1
race,Other,0.2,0.3,0.125,16,1
race,African-American,0.2,0.3,0.3089887640449438,534,1
race,African-American,0.2,0.3,0.2629399585921325,483,2
race,Caucasian,0.2,0.3,0.25955100433241435,2539,2
race,Other,0.2,0.3,0.14285714285714285,14,2
race,Caucasian,0.2,0.3,0.2777134028582464,2589,3
race,African-American,0.2,0.3,0.27606177606177607,518,3
race,Other,0.2,0.3,0.2,15,3
race,Caucasian,0.2,0.3,0.2607505863956216,2558,4
race,Other,0.2,0.3,0.15,20,4
race,African-American,0.2,0.3,0.26305609284332687,517,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
