Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,17,0
race,Caucasian,0.3,0.4,0.0,159,0
race,Other,0.3,0.4,0.0,4,0
race,Caucasian,0.3,0.4,0.125,8,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.0,7,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.0,3,3
race,African-American,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.0,11,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.0,2,4
race,African-American,0.4,0.5,0.013574660633484163,442,0
race,Caucasian,0.4,0.5,0.013832384052074858,3687,0
race,Other,0.4,0.5,0.009433962264150943,106,0
race,Caucasian,0.4,0.5,0.01030066815144766,3592,1
race,Other,0.4,0.5,0.010416666666666666,96,1
race,African-American,0.4,0.5,0.007518796992481203,399,1
race,African-American,0.4,0.5,0.005964214711729622,503,2
race,Caucasian,0.4,0.5,0.013684482313452104,3873,2
race,Other,0.4,0.5,0.01,100,2
race,Caucasian,0.4,0.5,0.0117096018735363,3416,3
race,African-American,0.4,0.5,0.013192612137203167,379,3
race,Other,0.4,0.5,0.0,101,3
race,Caucasian,0.4,0.5,0.011672095548317047,3684,4
race,Other,0.4,0.5,0.03333333333333333,90,4
race,African-American,0.4,0.5,0.010101010101010102,396,4
race,African-American,0.5,0.6,0.026490066225165563,1661,0
race,Caucasian,0.5,0.6,0.03345860104255061,8249,0
race,Other,0.5,0.6,0.013029315960912053,307,0
race,Caucasian,0.5,0.6,0.033391261171797415,8056,1
race,Other,0.5,0.6,0.0035087719298245615,285,1
race,African-American,0.5,0.6,0.029633933759442184,1721,1
race,African-American,0.5,0.6,0.03032178217821782,1616,2
race,Caucasian,0.5,0.6,0.03160354156419085,8132,2
race,Other,0.5,0.6,0.01644736842105263,304,2
race,Caucasian,0.5,0.6,0.035480859010270774,8568,3
race,African-American,0.5,0.6,0.03132118451025057,1756,3
race,Other,0.5,0.6,0.02258064516129032,310,3
race,Caucasian,0.5,0.6,0.03630442648655168,8291,4
race,Other,0.5,0.6,0.035830618892508145,307,4
race,African-American,0.5,0.6,0.030957943925233645,1712,4
race,African-American,0.6,0.7,0.06052076002814919,1421,0
race,Caucasian,0.6,0.7,0.06073371950149201,5697,0
race,Other,0.6,0.7,0.021739130434782608,230,0
race,Caucasian,0.6,0.7,0.06208651399491094,5895,1
race,Other,0.6,0.7,0.00881057268722467,227,1
race,African-American,0.6,0.7,0.04080267558528428,1495,1
race,African-American,0.6,0.7,0.06852248394004283,1401,2
race,Caucasian,0.6,0.7,0.061319073083778965,5610,2
race,Other,0.6,0.7,0.013953488372093023,215,2
race,Caucasian,0.6,0.7,0.0648737052516809,5503,3
race,African-American,0.6,0.7,0.05417276720351391,1366,3
race,Other,0.6,0.7,0.02564102564102564,234,3
race,Caucasian,0.6,0.7,0.052465344797332863,5699,4
race,Other,0.6,0.7,0.017937219730941704,223,4
race,African-American,0.6,0.7,0.05459571527297857,1447,4
race,African-American,0.7,0.8,0.08945386064030132,1062,0
race,Caucasian,0.7,0.8,0.09487063095778484,4406,0
race,Other,0.7,0.8,0.058823529411764705,85,0
race,Caucasian,0.7,0.8,0.0982101881597063,4358,1
race,Other,0.7,0.8,0.031914893617021274,94,1
race,African-American,0.7,0.8,0.07383773928896992,1097,1
race,African-American,0.7,0.8,0.09221128021486123,1117,2
race,Caucasian,0.7,0.8,0.08592862014094112,4399,2
race,Other,0.7,0.8,0.03614457831325301,83,2
race,Caucasian,0.7,0.8,0.09519365375641624,4286,3
race,African-American,0.7,0.8,0.08204633204633205,1036,3
race,Other,0.7,0.8,0.022222222222222223,90,3
race,Caucasian,0.7,0.8,0.09278824069820854,4354,4
race,Other,0.7,0.8,0.02702702702702703,74,4
race,African-American,0.7,0.8,0.08882783882783883,1092,4
race,African-American,0.8,0.9,0.11288711288711288,1001,0
race,Caucasian,0.8,0.9,0.16059379217273953,4446,0
race,Other,0.8,0.9,0.17142857142857143,35,0
race,Caucasian,0.8,0.9,0.16147065147280154,4651,1
race,Other,0.8,0.9,0.11538461538461539,52,1
