Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0,6,0
race,Caucasian,0.0,0.1,0.047619047619047616,21,0
race,Other,0.0,0.1,0.0,4,0
race,Caucasian,0.0,0.1,0.022322690025430914,28312,1
race,Other,0.0,0.1,0.005235602094240838,764,1
race,African-American,0.0,0.1,0.02201924645245474,6131,1
race,African-American,0.0,0.1,0.024922118380062305,6099,2
race,Caucasian,0.0,0.1,0.02110538575562928,28334,2
race,Other,0.0,0.1,0.00535475234270415,747,2
race,Caucasian,0.0,0.1,0.0,3,3
race,African-American,0.0,0.1,0.0,4,3
race,Other,0.0,0.1,0.0,1,3
race,Caucasian,0.0,0.1,0.021028450256229014,28295,4
race,Other,0.0,0.1,0.01195219123505976,753,4
race,African-American,0.0,0.1,0.018291687081496,6123,4
race,African-American,0.1,0.2,0.0,87,0
race,Caucasian,0.1,0.2,0.0011560693641618498,865,0
race,Other,0.1,0.2,0.0,17,0
race,Caucasian,0.1,0.2,0.2391304347826087,46,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.16666666666666666,12,1
race,African-American,0.1,0.2,0.17647058823529413,17,2
race,Caucasian,0.1,0.2,0.2753623188405797,69,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,0.0022988505747126436,870,3
race,African-American,0.1,0.2,0.0,85,3
race,Other,0.1,0.2,0.0,19,3
race,Caucasian,0.1,0.2,0.1927710843373494,83,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,0.3684210526315789,19,4
race,African-American,0.2,0.3,0.006369426751592357,314,0
race,Caucasian,0.2,0.3,0.0030991735537190084,2904,0
race,Other,0.2,0.3,0.0,92,0
race,Caucasian,0.2,0.3,0.36363636363636365,11,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.0,2,2
race,Caucasian,0.2,0.3,0.26666666666666666,15,2
race,Other,0.2,0.3,,0,2
