Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,22,0
race,Caucasian,0.3,0.4,0.0,306,0
race,Other,0.3,0.4,0.0,12,0
race,Caucasian,0.3,0.4,0.0,345,1
race,Other,0.3,0.4,0.0,4,1
race,African-American,0.3,0.4,0.0,27,1
race,African-American,0.3,0.4,0.0,23,2
race,Caucasian,0.3,0.4,0.0,339,2
race,Other,0.3,0.4,0.0,10,2
race,Caucasian,0.3,0.4,0.0,324,3
race,African-American,0.3,0.4,0.0,18,3
race,Other,0.3,0.4,0.0,15,3
race,Caucasian,0.3,0.4,0.0,1079,4
race,Other,0.3,0.4,0.0,28,4
race,African-American,0.3,0.4,0.0,91,4
race,African-American,0.4,0.5,0.0,423,0
race,Caucasian,0.4,0.5,0.0002883506343713956,3468,0
race,Other,0.4,0.5,0.0,113,0
race,Caucasian,0.4,0.5,0.0,2379,1
race,Other,0.4,0.5,0.0,78,1
race,African-American,0.4,0.5,0.0,230,1
race,African-American,0.4,0.5,0.0,417,2
race,Caucasian,0.4,0.5,0.0,3586,2
race,Other,0.4,0.5,0.0,113,2
race,Caucasian,0.4,0.5,0.00022517451024544022,4441,3
race,African-American,0.4,0.5,0.0,524,3
race,Other,0.4,0.5,0.0,138,3
race,Caucasian,0.4,0.5,0.000576036866359447,1736,4
race,Other,0.4,0.5,0.0,44,4
race,African-American,0.4,0.5,0.0,220,4
race,African-American,0.5,0.6,0.0008620689655172414,1160,0
race,Caucasian,0.5,0.6,0.0011570247933884298,6050,0
race,Other,0.5,0.6,0.0,170,0
race,Caucasian,0.5,0.6,0.00019565642731363725,5111,1
race,Other,0.5,0.6,0.0,148,1
race,African-American,0.5,0.6,0.0012106537530266344,826,1
race,African-American,0.5,0.6,0.002304147465437788,1302,2
race,Caucasian,0.5,0.6,0.0006338139755981619,6311,2
race,Other,0.5,0.6,0.0,160,2
race,Caucasian,0.5,0.6,0.00020300446609825416,4926,3
race,African-American,0.5,0.6,0.0,1056,3
race,Other,0.5,0.6,0.0,135,3
race,Caucasian,0.5,0.6,0.0007088846880907373,4232,4
race,Other,0.5,0.6,0.0,112,4
race,African-American,0.5,0.6,0.0,596,4
race,African-American,0.6,0.7,0.001176470588235294,850,0
race,Caucasian,0.6,0.7,0.0012339585389930898,4052,0
race,Other,0.6,0.7,0.0,189,0
race,Caucasian,0.6,0.7,0.0009092562284051646,5499,1
race,Other,0.6,0.7,0.0,190,1
race,African-American,0.6,0.7,0.0,1357,1
race,African-American,0.6,0.7,0.001375515818431912,727,2
race,Caucasian,0.6,0.7,0.0018751674256630056,3733,2
race,Other,0.6,0.7,0.0,175,2
race,Caucasian,0.6,0.7,0.0007535795026375283,3981,3
race,African-American,0.6,0.7,0.002442002442002442,819,3
race,Other,0.6,0.7,0.0,184,3
race,Caucasian,0.6,0.7,0.0012706480304955528,5509,4
race,Other,0.6,0.7,0.0,236,4
race,African-American,0.6,0.7,0.0,1168,4
race,African-American,0.7,0.8,0.0036330608537693005,1101,0
race,Caucasian,0.7,0.8,0.0027235587834770767,4406,0
race,Other,0.7,0.8,0.0,162,0
race,Caucasian,0.7,0.8,0.0022485690923957483,4892,1
race,Other,0.7,0.8,0.0,182,1
race,African-American,0.7,0.8,0.001583531274742676,1263,1
race,African-American,0.7,0.8,0.00322061191626409,1242,2
race,Caucasian,0.7,0.8,0.004509340777324458,4657,2
race,Other,0.7,0.8,0.0,168,2
race,Caucasian,0.7,0.8,0.0038672908609810705,4913,3
race,African-American,0.7,0.8,0.00234009360374415,1282,3
race,Other,0.7,0.8,0.0,185,3
race,Caucasian,0.7,0.8,0.001466275659824047,5456,4
race,Other,0.7,0.8,0.01098901098901099,182,4
race,African-American,0.7,0.8,0.0,1385,4
race,African-American,0.8,0.9,0.005443234836702955,1286,0
race,Caucasian,0.8,0.9,0.006443054765965511,5277,0
race,Other,0.8,0.9,0.0,81,0
race,Caucasian,0.8,0.9,0.006905812392096681,5213,1
race,Other,0.8,0.9,0.0,101,1
race,African-American,0.8,0.9,0.002398081534772182,1251,1
race,African-American,0.8,0.9,0.004815409309791332,1246,2
race,Caucasian,0.8,0.9,0.0028659160696008186,4885,2
race,Other,0.8,0.9,0.0,72,2
race,Caucasian,0.8,0.9,0.005905511811023622,5080,3
