Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.021739130434782608,46,0
race,Caucasian,0.4,0.5,0.001841620626151013,543,0
race,Other,0.4,0.5,0.0,24,0
race,Caucasian,0.4,0.5,0.003663003663003663,1365,1
race,Other,0.4,0.5,0.0,39,1
race,African-American,0.4,0.5,0.0,156,1
race,African-American,0.4,0.5,0.0,54,2
race,Caucasian,0.4,0.5,0.003367003367003367,594,2
race,Other,0.4,0.5,0.0,19,2
race,Caucasian,0.4,0.5,0.0,1306,3
race,African-American,0.4,0.5,0.007352941176470588,136,3
race,Other,0.4,0.5,0.0,45,3
race,Caucasian,0.4,0.5,0.0008787346221441124,1138,4
race,Other,0.4,0.5,0.0,43,4
race,African-American,0.4,0.5,0.0,103,4
race,African-American,0.5,0.6,0.0019138755980861245,1045,0
race,Caucasian,0.5,0.6,0.0015033483668170015,7317,0
race,Other,0.5,0.6,0.0,254,0
race,Caucasian,0.5,0.6,0.0028494301139772044,6668,1
race,Other,0.5,0.6,0.0,210,1
race,African-American,0.5,0.6,0.003683241252302026,1086,1
race,African-American,0.5,0.6,0.0009345794392523365,1070,2
race,Caucasian,0.5,0.6,0.0012259910093992644,7341,2
race,Other,0.5,0.6,0.0,241,2
race,Caucasian,0.5,0.6,0.00218921032056294,6395,3
race,African-American,0.5,0.6,0.002002002002002002,999,3
race,Other,0.5,0.6,0.004761904761904762,210,3
race,Caucasian,0.5,0.6,0.0012146978439113271,6586,4
race,Other,0.5,0.6,0.0,158,4
race,African-American,0.5,0.6,0.0010152284263959391,985,4
race,African-American,0.6,0.7,0.0065170166545981175,1381,0
race,Caucasian,0.6,0.7,0.006369426751592357,6280,0
race,Other,0.6,0.7,0.0,243,0
race,Caucasian,0.6,0.7,0.006697923643670462,5972,1
race,Other,0.6,0.7,0.0,234,1
race,African-American,0.6,0.7,0.0061162079510703364,1308,1
race,African-American,0.6,0.7,0.006736526946107785,1336,2
race,Caucasian,0.6,0.7,0.006130903065451533,6035,2
race,Other,0.6,0.7,0.0,238,2
race,Caucasian,0.6,0.7,0.0043023970497848806,6508,3
race,African-American,0.6,0.7,0.005154639175257732,1358,3
race,Other,0.6,0.7,0.0,269,3
race,Caucasian,0.6,0.7,0.005277864017385905,6442,4
race,Other,0.6,0.7,0.0,271,4
race,African-American,0.6,0.7,0.0063784549964564135,1411,4
race,African-American,0.7,0.8,0.008695652173913044,1150,0
race,Caucasian,0.7,0.8,0.008740140694947772,4691,0
race,Other,0.7,0.8,0.0,109,0
race,Caucasian,0.7,0.8,0.007177033492822967,4598,1
race,Other,0.7,0.8,0.0,120,1
race,African-American,0.7,0.8,0.00336417157275021,1189,1
race,African-American,0.7,0.8,0.011555555555555555,1125,2
race,Caucasian,0.7,0.8,0.008433200177541057,4506,2
race,Other,0.7,0.8,0.0,95,2
race,Caucasian,0.7,0.8,0.008303411131059245,4456,3
race,African-American,0.7,0.8,0.012345679012345678,1134,3
race,Other,0.7,0.8,0.0,103,3
race,Caucasian,0.7,0.8,0.007202340760747243,4443,4
race,Other,0.7,0.8,0.0,100,4
race,African-American,0.7,0.8,0.009556907037358819,1151,4
race,African-American,0.8,0.9,0.0145413870246085,894,0
race,Caucasian,0.8,0.9,0.017462165308498253,4295,0
race,Other,0.8,0.9,0.0,32,0
race,Caucasian,0.8,0.9,0.017138939670932357,4376,1
race,Other,0.8,0.9,0.0,51,1
race,African-American,0.8,0.9,0.020556227327690448,827,1
race,African-American,0.8,0.9,0.025668449197860963,935,2
race,Caucasian,0.8,0.9,0.01402493321460374,4492,2
race,Other,0.8,0.9,0.0,42,2
race,Caucasian,0.8,0.9,0.014771395076201642,4265,3
