Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.053133015756687434,2729,0
race,Caucasian,0.0,0.1,0.06639288158795345,13149,0
race,Other,0.0,0.1,0.014084507042253521,497,0
race,Caucasian,0.0,0.1,0.06642742612812094,13097,1
race,Other,0.0,0.1,0.0021231422505307855,471,1
race,African-American,0.0,0.1,0.0480395619922289,2831,1
race,African-American,0.0,0.1,0.04139668826493881,2778,2
race,Caucasian,0.0,0.1,0.061875189336564676,13204,2
race,Other,0.0,0.1,0.010615711252653927,471,2
race,Caucasian,0.0,0.1,0.06029613799419936,13102,3
race,African-American,0.0,0.1,0.0460431654676259,2780,3
race,Other,0.0,0.1,0.013888888888888888,504,3
race,Caucasian,0.0,0.1,0.06028288329173285,13221,4
race,Other,0.0,0.1,0.018518518518518517,486,4
race,African-American,0.0,0.1,0.0531524926686217,2728,4
race,African-American,0.1,0.2,0.09985802176999527,2113,0
race,Caucasian,0.1,0.2,0.14685890834191556,9710,0
race,Other,0.1,0.2,0.05092592592592592,216,0
race,Caucasian,0.1,0.2,0.14427654729869593,9662,1
race,Other,0.1,0.2,0.0502283105022831,219,1
race,African-American,0.1,0.2,0.11457848160223567,2147,1
race,African-American,0.1,0.2,0.11830985915492957,2130,2
race,Caucasian,0.1,0.2,0.1310912119950021,9604,2
race,Other,0.1,0.2,0.053811659192825115,223,2
race,Caucasian,0.1,0.2,0.14589791279189915,9678,3
race,African-American,0.1,0.2,0.1236816874400767,2086,3
race,Other,0.1,0.2,0.058823529411764705,238,3
race,Caucasian,0.1,0.2,0.14282722513089005,9550,4
race,Other,0.1,0.2,0.06341463414634146,205,4
race,African-American,0.1,0.2,0.11671207992733879,2202,4
race,African-American,0.2,0.3,0.20245398773006135,978,0
race,Caucasian,0.2,0.3,0.22945357618836074,4502,0
race,Other,0.2,0.3,0.09259259259259259,54,0
race,Caucasian,0.2,0.3,0.24361536753275595,4503,1
race,Other,0.2,0.3,0.2153846153846154,65,1
race,African-American,0.2,0.3,0.22354211663066956,926,1
race,African-American,0.2,0.3,0.22344689378757515,998,2
race,Caucasian,0.2,0.3,0.23441734417344173,4428,2
race,Other,0.2,0.3,0.09090909090909091,44,2
race,Caucasian,0.2,0.3,0.2527149321266968,4420,3
race,African-American,0.2,0.3,0.22278225806451613,992,3
race,Other,0.2,0.3,0.04081632653061224,49,3
race,Caucasian,0.2,0.3,0.24111560953666217,4446,4
race,Other,0.2,0.3,0.05263157894736842,57,4
race,African-American,0.2,0.3,0.21648460774577954,1007,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.3495575221238938,226,0
race,Caucasian,0.5,0.6,0.3638814016172507,1113,0
race,Other,0.5,0.6,0.2857142857142857,7,0
race,Caucasian,0.5,0.6,0.3684210526315789,1121,1
race,Other,0.5,0.6,0.0,9,1
race,African-American,0.5,0.6,0.36363636363636365,242,1
race,African-American,0.5,0.6,0.36619718309859156,213,2
race,Caucasian,0.5,0.6,0.3786733837111671,1191,2
race,Other,0.5,0.6,0.2222222222222222,9,2
race,Caucasian,0.5,0.6,0.3668885191347754,1202,3
race,African-American,0.5,0.6,0.36363636363636365,231,3
race,Other,0.5,0.6,0.36363636363636365,11,3
race,Caucasian,0.5,0.6,0.38010204081632654,1176,4
race,Other,0.5,0.6,0.2,5,4
race,African-American,0.5,0.6,0.3761904761904762,210,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.0652232262682294,11177,0
sex,female,0.0,0.1,0.05694497883801462,5198,0
sex,male,0.0,0.1,0.06521158129175947,11225,1
sex,female,0.0,0.1,0.05315036722071898,5174,1
sex,male,0.0,0.1,0.060879568179807095,11301,2
sex,female,0.0,0.1,0.048330745341614904,5152,2
sex,male,0.0,0.1,0.060830067687923046,11228,3
sex,female,0.0,0.1,0.046917409848778596,5158,3
sex,female,0.0,0.1,0.04719535783365571,5170,4
sex,male,0.0,0.1,0.06276076342654238,11265,4
sex,male,0.1,0.2,0.1435771214252227,8532,0
sex,female,0.1,0.2,0.12061591103507271,3507,0
sex,male,0.1,0.2,0.14214345188533364,8407,1
sex,female,0.1,0.2,0.1259320629660315,3621,1
sex,male,0.1,0.2,0.13467014712861888,8428,2
sex,female,0.1,0.2,0.1099461603853783,3529,2
sex,male,0.1,0.2,0.14243879582991684,8537,3
sex,female,0.1,0.2,0.13506493506493505,3465,3
sex,female,0.1,0.2,0.128656631638739,3521,4
sex,male,0.1,0.2,0.13999525841631105,8436,4
sex,male,0.2,0.3,0.2283199585814134,3863,0
sex,female,0.2,0.3,0.2118491921005386,1671,0
sex,male,0.2,0.3,0.24474980554835365,3857,1
sex,female,0.2,0.3,0.22846670739156993,1637,1
sex,male,0.2,0.3,0.24314442413162707,3829,2
sex,female,0.2,0.3,0.20353443022547227,1641,2
sex,male,0.2,0.3,0.2550091074681239,3843,3
sex,female,0.2,0.3,0.22249690976514216,1618,3
sex,female,0.2,0.3,0.225,1720,4
sex,male,0.2,0.3,0.23905013192612137,3790,4
sex,male,0.3,0.4,,0,0
sex,female,0.3,0.4,,0,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,2
sex,male,0.3,0.4,,0,3
sex,female,0.3,0.4,,0,3
sex,female,0.3,0.4,,0,4
sex,male,0.3,0.4,,0,4
sex,male,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,0
sex,male,0.4,0.5,,0,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,2
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,3
