Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.058333333333333334,2760,0
race,Caucasian,0.0,0.1,0.059450217019597525,15206,0
race,Other,0.0,0.1,0.032015065913371,531,0
race,Caucasian,0.0,0.1,0.06365148413510748,15632,1
race,Other,0.0,0.1,0.018633540372670808,483,1
race,African-American,0.0,0.1,0.053735255570117955,3052,1
race,African-American,0.0,0.1,0.053138236426646134,2597,2
race,Caucasian,0.0,0.1,0.051807228915662654,14110,2
race,Other,0.0,0.1,0.019650655021834062,458,2
race,Caucasian,0.0,0.1,0.055300782303749664,14828,3
race,African-American,0.0,0.1,0.06036287508722959,2866,3
race,Other,0.0,0.1,0.026833631484794274,559,3
race,Caucasian,0.0,0.1,0.05893162663962993,15781,4
race,Other,0.0,0.1,0.032,500,4
race,African-American,0.0,0.1,0.06170355466130114,2982,4
race,African-American,0.1,0.2,0.1336459554513482,1706,0
race,Caucasian,0.1,0.2,0.14639836687080782,6858,0
race,Other,0.1,0.2,0.07065217391304347,184,0
race,Caucasian,0.1,0.2,0.1475962391342913,5637,1
race,Other,0.1,0.2,0.0913978494623656,186,1
race,African-American,0.1,0.2,0.136332651670075,1467,1
race,African-American,0.1,0.2,0.13038793103448276,1856,2
race,Caucasian,0.1,0.2,0.14146809093399068,7302,2
race,Other,0.1,0.2,0.049107142857142856,224,2
race,Caucasian,0.1,0.2,0.1443478260869565,6900,3
race,African-American,0.1,0.2,0.13457943925233645,1605,3
race,Other,0.1,0.2,0.03680981595092025,163,3
race,Caucasian,0.1,0.2,0.15515212640779963,5949,4
race,Other,0.1,0.2,0.09944751381215469,181,4
race,African-American,0.1,0.2,0.1422077922077922,1540,4
race,African-American,0.2,0.3,0.227330779054917,783,0
race,Caucasian,0.2,0.3,0.2601775329048056,3267,0
race,Other,0.2,0.3,0.15384615384615385,39,0
race,Caucasian,0.2,0.3,0.24658593146096366,3881,1
race,Other,0.2,0.3,0.2318840579710145,69,1
race,African-American,0.2,0.3,0.23636363636363636,825,1
race,African-American,0.2,0.3,0.21362586605080833,866,2
race,Caucasian,0.2,0.3,0.24297244642360144,3593,2
race,Other,0.2,0.3,0.15,40,2
race,Caucasian,0.2,0.3,0.24159476346325498,3361,3
race,African-American,0.2,0.3,0.2637889688249401,834,3
race,Other,0.2,0.3,0.05555555555555555,54,3
race,Caucasian,0.2,0.3,0.24180581323438466,3234,4
race,Other,0.2,0.3,0.12,50,4
race,African-American,0.2,0.3,0.241635687732342,807,4
race,African-American,0.3,0.4,0.2994350282485876,354,0
race,Caucasian,0.3,0.4,0.3333333333333333,1284,0
race,Other,0.3,0.4,0.0,9,0
race,Caucasian,0.3,0.4,0.37524950099800397,2004,1
race,Other,0.3,0.4,0.19047619047619047,21,1
race,African-American,0.3,0.4,0.35344827586206895,464,1
race,African-American,0.3,0.4,0.37825059101654845,423,2
race,Caucasian,0.3,0.4,0.3429844097995546,1796,2
race,Other,0.3,0.4,0.3333333333333333,12,2
race,Caucasian,0.3,0.4,0.33269961977186313,1578,3
race,African-American,0.3,0.4,0.3394736842105263,380,3
race,Other,0.3,0.4,0.4375,16,3
race,Caucasian,0.3,0.4,0.3196960841613092,1711,4
race,Other,0.3,0.4,0.2727272727272727,11,4
race,African-American,0.3,0.4,0.34558823529411764,408,4
race,African-American,0.4,0.5,0.3235294117647059,238,0
race,Caucasian,0.4,0.5,0.39040451552210725,1063,0
race,Other,0.4,0.5,0.2222222222222222,9,0
race,Caucasian,0.4,0.5,0.38802660753880264,451,1
race,Other,0.4,0.5,1.0,2,1
race,African-American,0.4,0.5,0.4634146341463415,164,1
race,African-American,0.4,0.5,0.4727272727272727,220,2
race,Caucasian,0.4,0.5,0.40852974186307517,891,2
race,Other,0.4,0.5,0.375,8,2
race,Caucasian,0.4,0.5,0.40977443609022557,798,3
race,African-American,0.4,0.5,0.4351851851851852,216,3
race,Other,0.4,0.5,0.375,8,3
race,Caucasian,0.4,0.5,0.4129244249726177,913,4
race,Other,0.4,0.5,0.4,5,4
race,African-American,0.4,0.5,0.4595744680851064,235,4
race,African-American,0.5,0.6,0.543010752688172,186,0
race,Caucasian,0.5,0.6,0.5174337517433751,717,0
race,Other,0.5,0.6,0.5,2,0
race,Caucasian,0.5,0.6,0.5,580,1
race,Other,0.5,0.6,0.0,2,1
race,African-American,0.5,0.6,0.568,125,1
race,African-American,0.5,0.6,0.5555555555555556,117,2
race,Caucasian,0.5,0.6,0.4886561954624782,573,2
race,Other,0.5,0.6,0.3333333333333333,3,2
race,Caucasian,0.5,0.6,0.5185185185185185,864,3
race,African-American,0.5,0.6,0.5029239766081871,171,3
race,Other,0.5,0.6,0.0,2,3
race,Caucasian,0.5,0.6,0.5198902606310014,729,4
race,Other,0.5,0.6,0.4,5,4
race,African-American,0.5,0.6,0.539568345323741,139,4
race,African-American,0.6,0.7,0.6,5,0
race,Caucasian,0.6,0.7,0.34210526315789475,38,0
race,Other,0.6,0.7,,0,0
