Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0935720097640358,4916,0
race,Caucasian,0.0,0.1,0.09797381806053532,23986,0
race,Other,0.0,0.1,0.04576043068640646,743,0
race,Caucasian,0.0,0.1,0.09874311656648031,23789,1
race,Other,0.0,0.1,0.05364511691884457,727,1
race,African-American,0.0,0.1,0.09121487930352196,5054,1
race,African-American,0.0,0.1,0.0924,5000,2
race,Caucasian,0.0,0.1,0.0961675095080871,23927,2
race,Other,0.0,0.1,0.03225806451612903,713,2
race,Caucasian,0.0,0.1,0.09381321645313553,23728,3
race,African-American,0.0,0.1,0.09728096676737161,4965,3
race,Other,0.0,0.1,0.0327653997378768,763,3
race,Caucasian,0.0,0.1,0.0966603654694392,23805,4
race,Other,0.0,0.1,0.056100981767180924,713,4
race,African-American,0.0,0.1,0.10064025610244097,4998,4
race,African-American,0.1,0.2,0.24746450304259635,493,0
race,Caucasian,0.1,0.2,0.2865720524017467,1832,0
race,Other,0.1,0.2,0.1,20,0
race,Caucasian,0.1,0.2,0.29923664122137406,1965,1
race,Other,0.1,0.2,0.15,20,1
race,African-American,0.1,0.2,0.31004366812227074,458,1
race,African-American,0.1,0.2,0.319755600814664,491,2
race,Caucasian,0.1,0.2,0.28836962294211366,1883,2
race,Other,0.1,0.2,0.2222222222222222,18,2
race,Caucasian,0.1,0.2,0.27409326424870467,1930,3
race,African-American,0.1,0.2,0.3202614379084967,459,3
race,Other,0.1,0.2,0.04,25,3
race,Caucasian,0.1,0.2,0.2778958554729012,1882,4
race,Other,0.1,0.2,0.08333333333333333,24,4
race,African-American,0.1,0.2,0.3259109311740891,494,4
race,African-American,0.2,0.3,0.3697478991596639,238,0
race,Caucasian,0.2,0.3,0.3490566037735849,954,0
race,Other,0.2,0.3,0.6666666666666666,3,0
race,Caucasian,0.2,0.3,0.3670756646216769,978,1
race,Other,0.2,0.3,0.2,5,1
race,African-American,0.2,0.3,0.33816425120772947,207,1
race,African-American,0.2,0.3,0.3577981651376147,218,2
race,Caucasian,0.2,0.3,0.35577889447236183,995,2
race,Other,0.2,0.3,0.3333333333333333,6,2
race,Caucasian,0.2,0.3,0.37863070539419086,964,3
race,African-American,0.2,0.3,0.33884297520661155,242,3
race,Other,0.2,0.3,0.42857142857142855,7,3
race,Caucasian,0.2,0.3,0.3460381143430291,997,4
race,Other,0.2,0.3,0.16666666666666666,6,4
race,African-American,0.2,0.3,0.31451612903225806,248,4
race,African-American,0.3,0.4,0.4318181818181818,132,0
race,Caucasian,0.3,0.4,0.3885350318471338,628,0
race,Other,0.3,0.4,0.0,3,0
race,Caucasian,0.3,0.4,0.4264036418816389,659,1
race,Other,0.3,0.4,0.25,4,1
race,African-American,0.3,0.4,0.46153846153846156,156,1
race,African-American,0.3,0.4,0.42758620689655175,145,2
race,Caucasian,0.3,0.4,0.426497277676951,551,2
race,Other,0.3,0.4,0.4,5,2
race,Caucasian,0.3,0.4,0.4260731319554849,629,3
race,African-American,0.3,0.4,0.4823529411764706,170,3
race,Other,0.3,0.4,0.5,2,3
race,Caucasian,0.3,0.4,0.41089108910891087,606,4
race,Other,0.3,0.4,0.4,5,4
race,African-American,0.3,0.4,0.3591549295774648,142,4
race,African-American,0.4,0.5,0.40594059405940597,101,0
race,Caucasian,0.4,0.5,0.4643734643734644,407,0
race,Other,0.4,0.5,0.0,3,0
race,Caucasian,0.4,0.5,0.485,400,1
race,Other,0.4,0.5,0.4,5,1
race,African-American,0.4,0.5,0.559322033898305,118,1
race,African-American,0.4,0.5,0.6036036036036037,111,2
race,Caucasian,0.4,0.5,0.4576271186440678,413,2
race,Other,0.4,0.5,0.5,2,2
race,Caucasian,0.4,0.5,0.45739910313901344,446,3
race,African-American,0.4,0.5,0.4537037037037037,108,3
race,Other,0.4,0.5,0.75,4,3
race,Caucasian,0.4,0.5,0.4613583138173302,427,4
race,Other,0.4,0.5,0.0,2,4
race,African-American,0.4,0.5,0.5376344086021505,93,4
race,African-American,0.5,0.6,0.5882352941176471,51,0
race,Caucasian,0.5,0.6,0.5034246575342466,292,0
race,Other,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.4982078853046595,279,1
