Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.052988554472233995,2359,0
race,Caucasian,0.0,0.1,0.05401939568806604,12477,0
race,Other,0.0,0.1,0.012861736334405145,311,0
race,Caucasian,0.0,0.1,0.05605344630927163,12274,1
race,Other,0.0,0.1,0.003355704697986577,298,1
race,African-American,0.0,0.1,0.04968421052631579,2375,1
race,African-American,0.0,0.1,0.05367965367965368,2310,2
race,Caucasian,0.0,0.1,0.05033718689788054,12456,2
race,Other,0.0,0.1,0.0031645569620253164,316,2
race,Caucasian,0.0,0.1,0.050562252244964,12361,3
race,African-American,0.0,0.1,0.054841473864610114,2334,3
race,Other,0.0,0.1,0.008695652173913044,345,3
race,Caucasian,0.0,0.1,0.05287227214377407,12464,4
race,Other,0.0,0.1,0.02413793103448276,290,4
race,African-American,0.0,0.1,0.06154499151103565,2356,4
race,African-American,0.1,0.2,0.12841670964414648,1939,0
race,Caucasian,0.1,0.2,0.12993205388008106,8389,0
race,Other,0.1,0.2,0.0700280112044818,357,0
race,Caucasian,0.1,0.2,0.13548002385211688,8385,1
race,Other,0.1,0.2,0.06547619047619048,336,1
race,African-American,0.1,0.2,0.11753278290432248,2059,1
race,African-American,0.1,0.2,0.11730205278592376,2046,2
race,Caucasian,0.1,0.2,0.1337378640776699,8240,2
race,Other,0.1,0.2,0.050746268656716415,335,2
race,Caucasian,0.1,0.2,0.12893913880202068,8314,3
race,African-American,0.1,0.2,0.1263001485884101,2019,3
race,Other,0.1,0.2,0.044642857142857144,336,3
race,Caucasian,0.1,0.2,0.1309252370094804,8333,4
race,Other,0.1,0.2,0.07605633802816901,355,4
race,African-American,0.1,0.2,0.12506354855109303,1967,4
race,African-American,0.2,0.3,0.22422874341610233,1329,0
race,Caucasian,0.2,0.3,0.24903474903474904,5698,0
race,Other,0.2,0.3,0.09473684210526316,95,0
race,Caucasian,0.2,0.3,0.24585587157564126,5731,1
race,Other,0.2,0.3,0.1794871794871795,117,1
race,African-American,0.2,0.3,0.26090342679127726,1284,1
race,African-American,0.2,0.3,0.2602739726027397,1387,2
race,Caucasian,0.2,0.3,0.24695015684907634,5738,2
race,Other,0.2,0.3,0.14457831325301204,83,2
race,Caucasian,0.2,0.3,0.24080326994846277,5627,3
race,African-American,0.2,0.3,0.2669683257918552,1326,3
race,Other,0.2,0.3,0.08411214953271028,107,3
race,Caucasian,0.2,0.3,0.2468092755707352,5563,4
race,Other,0.2,0.3,0.11827956989247312,93,4
race,African-American,0.2,0.3,0.25548478414720455,1413,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.4486873508353222,419,0
race,Caucasian,0.5,0.6,0.42879581151832463,1910,0
race,Other,0.5,0.6,0.09090909090909091,11,0
race,Caucasian,0.5,0.6,0.4295032614149523,1993,1
race,Other,0.5,0.6,0.3076923076923077,13,1
race,African-American,0.5,0.6,0.47897196261682246,428,1
race,African-American,0.5,0.6,0.5106382978723404,376,2
race,Caucasian,0.5,0.6,0.40893125940792774,1993,2
race,Other,0.5,0.6,0.3076923076923077,13,2
race,Caucasian,0.5,0.6,0.43476190476190474,2100,3
race,African-American,0.5,0.6,0.45121951219512196,410,3
race,Other,0.5,0.6,0.5,14,3
race,Caucasian,0.5,0.6,0.4161337924249877,2033,4
race,Other,0.5,0.6,0.13333333333333333,15,4
race,African-American,0.5,0.6,0.45255474452554745,411,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
