Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.10677083333333333,384,0
race,Caucasian,0.0,0.1,0.09821428571428571,3472,0
race,Other,0.0,0.1,0.049019607843137254,102,0
race,Caucasian,0.0,0.1,0.09303350970017636,2268,1
race,Other,0.0,0.1,0.016666666666666666,60,1
race,African-American,0.0,0.1,0.1013215859030837,227,1
race,African-American,0.0,0.1,0.09779179810725552,317,2
race,Caucasian,0.0,0.1,0.10029595527786912,3041,2
race,Other,0.0,0.1,0.045454545454545456,88,2
race,Caucasian,0.0,0.1,0.08668280871670703,2065,3
race,African-American,0.0,0.1,0.1308411214953271,214,3
race,Other,0.0,0.1,0.01694915254237288,59,3
race,Caucasian,0.0,0.1,0.08476778174732055,3079,4
race,Other,0.0,0.1,0.05405405405405406,74,4
race,African-American,0.0,0.1,0.10507246376811594,276,4
race,African-American,0.1,0.2,0.16255534471853259,1581,0
race,Caucasian,0.1,0.2,0.1654290931223372,8215,0
race,Other,0.1,0.2,0.09308510638297872,376,0
race,Caucasian,0.1,0.2,0.15550469766321368,8302,1
race,Other,0.1,0.2,0.0581039755351682,327,1
race,African-American,0.1,0.2,0.14847161572052403,1603,1
race,African-American,0.1,0.2,0.15768981181051264,1541,2
race,Caucasian,0.1,0.2,0.14693611473272492,7670,2
race,Other,0.1,0.2,0.07518796992481203,266,2
race,Caucasian,0.1,0.2,0.15139816360601002,9584,3
race,African-American,0.1,0.2,0.14725274725274726,1820,3
race,Other,0.1,0.2,0.09254498714652956,389,3
race,Caucasian,0.1,0.2,0.16439532138641486,9319,4
race,Other,0.1,0.2,0.10208816705336426,431,4
race,African-American,0.1,0.2,0.16561844863731656,1908,4
race,African-American,0.2,0.3,0.22662721893491125,1690,0
race,Caucasian,0.2,0.3,0.2519554753309266,6648,0
race,Other,0.2,0.3,0.17989417989417988,189,0
race,Caucasian,0.2,0.3,0.24469105356898205,7299,1
race,Other,0.2,0.3,0.08368200836820083,239,1
race,African-American,0.2,0.3,0.21801208127402527,1821,1
race,African-American,0.2,0.3,0.2272476558190844,1813,2
race,Caucasian,0.2,0.3,0.2458021183156807,7742,2
race,Other,0.2,0.3,0.11307420494699646,283,2
race,Caucasian,0.2,0.3,0.2436891602045867,6061,3
race,African-American,0.2,0.3,0.22582872928176795,1448,3
race,Other,0.2,0.3,0.13901345291479822,223,3
race,Caucasian,0.2,0.3,0.2580878366166637,5533,4
race,Other,0.2,0.3,0.2047244094488189,127,4
race,African-American,0.2,0.3,0.24786931818181818,1408,4
race,African-American,0.3,0.4,0.32845744680851063,752,0
race,Caucasian,0.3,0.4,0.3521311475409836,3050,0
race,Other,0.3,0.4,0.13333333333333333,60,0
race,Caucasian,0.3,0.4,0.36043956043956044,3640,1
race,Other,0.3,0.4,0.27631578947368424,76,1
race,African-American,0.3,0.4,0.34010695187165774,935,1
race,African-American,0.3,0.4,0.34820322180916974,807,2
race,Caucasian,0.3,0.4,0.3699731903485255,2984,2
race,Other,0.3,0.4,0.14814814814814814,54,2
race,Caucasian,0.3,0.4,0.35754688895504616,3359,3
race,African-American,0.3,0.4,0.33438155136268344,954,3
race,Other,0.3,0.4,0.17647058823529413,68,3
race,Caucasian,0.3,0.4,0.3564904511486299,3613,4
race,Other,0.3,0.4,0.2413793103448276,58,4
race,African-American,0.3,0.4,0.3474663908996898,967,4
race,African-American,0.4,0.5,0.4319880418535127,669,0
race,Caucasian,0.4,0.5,0.4530386740331492,2715,0
race,Other,0.4,0.5,0.4230769230769231,26,0
race,Caucasian,0.4,0.5,0.4420498084291188,2088,1
race,Other,0.4,0.5,0.4230769230769231,26,1
race,African-American,0.4,0.5,0.4529058116232465,499,1
race,African-American,0.4,0.5,0.45045045045045046,555,2
race,Caucasian,0.4,0.5,0.4532538955087076,2182,2
race,Other,0.4,0.5,0.3076923076923077,26,2
race,Caucasian,0.4,0.5,0.4495782911624496,2727,3
race,African-American,0.4,0.5,0.4559068219633943,601,3
race,Other,0.4,0.5,0.1891891891891892,37,3
race,Caucasian,0.4,0.5,0.4641280353200883,1812,4
