Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.10175438596491228,570,0
race,Caucasian,0.0,0.1,0.0893643801132788,4767,0
race,Other,0.0,0.1,0.0297029702970297,202,0
race,Caucasian,0.0,0.1,0.0846613545816733,4016,1
race,Other,0.0,0.1,0.006369426751592357,157,1
race,African-American,0.0,0.1,0.09513742071881606,473,1
race,African-American,0.0,0.1,0.1056547619047619,672,2
race,Caucasian,0.0,0.1,0.08940661091198726,5022,2
race,Other,0.0,0.1,0.04090909090909091,220,2
race,Caucasian,0.0,0.1,0.08141783029001073,4655,3
race,African-American,0.0,0.1,0.09339774557165861,621,3
race,Other,0.0,0.1,0.045,200,3
race,Caucasian,0.0,0.1,0.07964233728425868,4809,4
race,Other,0.0,0.1,0.05365853658536585,205,4
race,African-American,0.0,0.1,0.0784313725490196,510,4
race,African-American,0.1,0.2,0.15188024826579044,2739,0
race,Caucasian,0.1,0.2,0.16333118140735958,12392,0
race,Other,0.1,0.2,0.05411255411255411,462,0
race,Caucasian,0.1,0.2,0.15948141205873165,12804,1
race,Other,0.1,0.2,0.031982942430703626,469,1
race,African-American,0.1,0.2,0.13836265223274696,2956,1
race,African-American,0.1,0.2,0.1438506588579795,2732,2
race,Caucasian,0.1,0.2,0.15976282631969035,12143,2
race,Other,0.1,0.2,0.05121951219512195,410,2
race,Caucasian,0.1,0.2,0.15946870925684484,12272,3
race,African-American,0.1,0.2,0.1394647568790049,2653,3
race,Other,0.1,0.2,0.05458515283842795,458,3
race,Caucasian,0.1,0.2,0.15623647537436164,11553,4
race,Other,0.1,0.2,0.06682577565632458,419,4
race,African-American,0.1,0.2,0.14946749908189497,2723,4
race,African-American,0.2,0.3,0.23624047417442845,1181,0
race,Caucasian,0.2,0.3,0.24754901960784315,4488,0
race,Other,0.2,0.3,0.1643835616438356,73,0
race,Caucasian,0.2,0.3,0.2422360248447205,4669,1
race,Other,0.2,0.3,0.07042253521126761,71,1
race,African-American,0.2,0.3,0.23771929824561402,1140,1
race,African-American,0.2,0.3,0.24688995215311005,1045,2
race,Caucasian,0.2,0.3,0.24706727316255686,4177,2
race,Other,0.2,0.3,0.078125,64,2
race,Caucasian,0.2,0.3,0.24913093858632676,4315,3
race,African-American,0.2,0.3,0.2339688041594454,1154,3
race,Other,0.2,0.3,0.07608695652173914,92,3
race,Caucasian,0.2,0.3,0.250849275880565,5593,4
race,Other,0.2,0.3,0.13953488372093023,86,4
race,African-American,0.2,0.3,0.2508858965272856,1411,4
race,African-American,0.3,0.4,0.3053977272727273,704,0
race,Caucasian,0.3,0.4,0.359693026359693,2997,0
race,Other,0.3,0.4,0.15,20,0
race,Caucasian,0.3,0.4,0.35351624093345946,3171,1
race,Other,0.3,0.4,0.2894736842105263,38,1
race,African-American,0.3,0.4,0.3411602209944751,724,1
race,African-American,0.3,0.4,0.3395291201982652,807,2
race,Caucasian,0.3,0.4,0.33812518718179096,3339,2
race,Other,0.3,0.4,0.14285714285714285,28,2
race,Caucasian,0.3,0.4,0.34797647872708404,2891,3
race,African-American,0.3,0.4,0.33591331269349844,646,3
race,Other,0.3,0.4,0.043478260869565216,23,3
race,Caucasian,0.3,0.4,0.345578231292517,2205,4
race,Other,0.3,0.4,0.125,16,4
race,African-American,0.3,0.4,0.33516483516483514,546,4
race,African-American,0.4,0.5,0.3885350318471338,314,0
race,Caucasian,0.4,0.5,0.4157814871016692,1318,0
race,Other,0.4,0.5,0.42857142857142855,7,0
race,Caucasian,0.4,0.5,0.4746125066809193,1871,1
race,Other,0.4,0.5,0.1111111111111111,18,1
race,African-American,0.4,0.5,0.49363867684478374,393,1
race,African-American,0.4,0.5,0.4477124183006536,306,2
race,Caucasian,0.4,0.5,0.4258823529411765,1275,2
race,Other,0.4,0.5,0.2857142857142857,14,2
race,Caucasian,0.4,0.5,0.4355514192647743,2149,3
race,African-American,0.4,0.5,0.4105461393596987,531,3
race,Other,0.4,0.5,0.2,20,3
race,Caucasian,0.4,0.5,0.4533749512290285,2563,4
race,Other,0.4,0.5,0.3333333333333333,15,4
race,African-American,0.4,0.5,0.423728813559322,590,4
race,African-American,0.5,0.6,0.4867549668874172,302,0
race,Caucasian,0.5,0.6,0.5089531680440771,1452,0
race,Other,0.5,0.6,0.0,4,0
race,Caucasian,0.5,0.6,0.493844049247606,731,1
race,Other,0.5,0.6,1.0,2,1
race,African-American,0.5,0.6,0.5170731707317073,205,1
race,African-American,0.5,0.6,0.5420289855072464,345,2
race,Caucasian,0.5,0.6,0.5019946808510638,1504,2
race,Other,0.5,0.6,0.5,6,2
race,Caucasian,0.5,0.6,0.5472822040208488,1343,3
race,African-American,0.5,0.6,0.5752508361204013,299,3
race,Other,0.5,0.6,0.625,8,3
race,Caucasian,0.5,0.6,0.5141065830721003,638,4
race,Other,0.5,0.6,0.3333333333333333,3,4
race,African-American,0.5,0.6,0.5844155844155844,154,4
race,African-American,0.6,0.7,0.5075757575757576,132,0
race,Caucasian,0.6,0.7,0.6119186046511628,688,0
race,Other,0.6,0.7,0.0,2,0
race,Caucasian,0.6,0.7,0.5825027685492802,903,1
race,Other,0.6,0.7,0.2857142857142857,7,1
race,African-American,0.6,0.7,0.6403940886699507,203,1
race,African-American,0.6,0.7,0.6220472440944882,127,2
race,Caucasian,0.6,0.7,0.6367924528301887,636,2
race,Other,0.6,0.7,0.6666666666666666,3,2
race,Caucasian,0.6,0.7,0.6173913043478261,460,3
race,African-American,0.6,0.7,0.5702479338842975,121,3
race,Other,0.6,0.7,1.0,1,3
race,Caucasian,0.6,0.7,0.601526717557252,655,4
race,Other,0.6,0.7,0.2857142857142857,7,4
race,African-American,0.6,0.7,0.6901408450704225,142,4
race,African-American,0.7,0.8,0.7105263157894737,76,0
race,Caucasian,0.7,0.8,0.6517241379310345,290,0
race,Other,0.7,0.8,1.0,3,0
race,Caucasian,0.7,0.8,0.6222222222222222,90,1
race,Other,0.7,0.8,0.0,1,1
race,African-American,0.7,0.8,0.5625,16,1
race,African-American,0.7,0.8,0.6170212765957447,47,2
race,Caucasian,0.7,0.8,0.6511627906976745,172,2
race,Other,0.7,0.8,0.0,1,2
race,Caucasian,0.7,0.8,0.6481481481481481,216,3
race,African-American,0.7,0.8,0.7272727272727273,44,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.6901408450704225,284,4
race,Other,0.7,0.8,0.0,1,4
race,African-American,0.7,0.8,0.8214285714285714,56,4
race,African-American,0.8,0.9,0.5454545454545454,22,0
race,Caucasian,0.8,0.9,0.7183098591549296,71,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.7383177570093458,107,1
race,Other,0.8,0.9,0.0,1,1
race,African-American,0.8,0.9,0.7931034482758621,29,1
race,African-American,0.8,0.9,0.7878787878787878,33,2
race,Caucasian,0.8,0.9,0.7007299270072993,137,2
race,Other,0.8,0.9,0.0,1,2
race,Caucasian,0.8,0.9,0.6625,80,3
race,African-American,0.8,0.9,0.75,16,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.6323529411764706,68,4
race,Other,0.8,0.9,0.0,1,4
race,African-American,0.8,0.9,0.4444444444444444,9,4
race,African-American,0.9,1.0,0.6666666666666666,3,0
race,Caucasian,0.9,1.0,0.5,4,0
race,Other,0.9,1.0,1.0,1,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,0.42857142857142855,7,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,0.8888888888888888,9,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,0.5,2,4
sex,male,0.0,0.1,0.08871391076115485,3810,0
sex,female,0.0,0.1,0.08791208791208792,1729,0
sex,male,0.0,0.1,0.08579251597201096,3287,1
sex,female,0.0,0.1,0.07652685798381163,1359,1
sex,male,0.0,0.1,0.09958097116095638,4057,2
sex,female,0.0,0.1,0.06731287022078622,1857,2
sex,male,0.0,0.1,0.09026315789473684,3800,3
sex,female,0.0,0.1,0.06145584725536993,1676,3
sex,female,0.0,0.1,0.07692307692307693,1768,4
sex,male,0.0,0.1,0.07933972310969116,3756,4
sex,male,0.1,0.2,0.16430271299381247,10505,0
sex,female,0.1,0.2,0.1452437106918239,5088,0
sex,male,0.1,0.2,0.15387457282719127,10827,1
sex,female,0.1,0.2,0.1480932987782303,5402,1
sex,male,0.1,0.2,0.15729693614584328,10477,2
sex,female,0.1,0.2,0.14683860232945092,4808,2
