Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.1535552193645991,3966,0
race,Caucasian,0.0,0.1,0.15072183814558765,19672,0
race,Other,0.0,0.1,0.054929577464788736,710,0
race,Caucasian,0.0,0.1,0.1499770443299495,19603,1
race,Other,0.0,0.1,0.030882352941176472,680,1
race,African-American,0.0,0.1,0.1437908496732026,4131,1
race,African-American,0.0,0.1,0.147,4000,2
race,Caucasian,0.0,0.1,0.14724206047713115,19743,2
race,Other,0.0,0.1,0.0475482912332838,673,2
race,Caucasian,0.0,0.1,0.1474237859367819,19583,3
race,African-American,0.0,0.1,0.14493116395494368,3995,3
race,Other,0.0,0.1,0.057103064066852366,718,3
race,Caucasian,0.0,0.1,0.14638258736971183,19572,4
race,Other,0.0,0.1,0.06695778748180495,687,4
race,African-American,0.0,0.1,0.15538044816547647,4061,4
race,African-American,0.1,0.2,0.24603174603174602,756,0
race,Caucasian,0.1,0.2,0.2993690851735016,3170,0
race,Other,0.1,0.2,0.1875,32,0
race,Caucasian,0.1,0.2,0.2999681224099458,3137,1
race,Other,0.1,0.2,0.15384615384615385,39,1
race,African-American,0.1,0.2,0.2864864864864865,740,1
race,African-American,0.1,0.2,0.3058252427184466,824,2
race,Caucasian,0.1,0.2,0.29187979539641945,3128,2
race,Other,0.1,0.2,0.1111111111111111,36,2
race,Caucasian,0.1,0.2,0.2949249920204277,3133,3
race,African-American,0.1,0.2,0.2905759162303665,764,3
race,Other,0.1,0.2,0.043478260869565216,46,3
race,Caucasian,0.1,0.2,0.28940809968847353,3210,4
race,Other,0.1,0.2,0.13793103448275862,29,4
race,African-American,0.1,0.2,0.28442728442728443,777,4
race,African-American,0.2,0.3,0.3192488262910798,426,0
race,Caucasian,0.2,0.3,0.3563076923076923,1625,0
race,Other,0.2,0.3,0.14285714285714285,14,0
race,Caucasian,0.2,0.3,0.36098130841121495,1712,1
race,Other,0.2,0.3,0.2222222222222222,18,1
race,African-American,0.2,0.3,0.36829268292682926,410,1
race,African-American,0.2,0.3,0.33647058823529413,425,2
race,Caucasian,0.2,0.3,0.37319974953036944,1597,2
race,Other,0.2,0.3,0.06666666666666667,15,2
race,Caucasian,0.2,0.3,0.38117927337701013,1679,3
race,African-American,0.2,0.3,0.3472584856396867,383,3
race,Other,0.2,0.3,0.058823529411764705,17,3
race,Caucasian,0.2,0.3,0.363914373088685,1635,4
race,Other,0.2,0.3,0.23076923076923078,13,4
race,African-American,0.2,0.3,0.34102564102564104,390,4
race,African-American,0.3,0.4,0.4007352941176471,272,0
