Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.014690982776089158,5922,0
race,Caucasian,0.0,0.1,0.015913317122014017,27964,0
race,Other,0.0,0.1,0.0,762,0
race,Caucasian,0.0,0.1,0.015675443001650045,27878,1
race,Other,0.0,0.1,0.0026666666666666666,750,1
race,African-American,0.0,0.1,0.018278497839813893,6018,1
race,African-American,0.0,0.1,0.017081260364842456,6030,2
race,Caucasian,0.0,0.1,0.01602288984263233,27960,2
race,Other,0.0,0.1,0.0013531799729364006,739,2
race,Caucasian,0.0,0.1,0.015801920596244804,27908,3
race,African-American,0.0,0.1,0.016010673782521682,5996,3
race,Other,0.0,0.1,0.0,794,3
race,Caucasian,0.0,0.1,0.014740949490570128,27678,4
race,Other,0.0,0.1,0.009446693657219974,741,4
race,African-American,0.0,0.1,0.016327890703098966,6002,4
race,African-American,0.1,0.2,0.14285714285714285,98,0
race,Caucasian,0.1,0.2,0.15466666666666667,375,0
race,Other,0.1,0.2,0.1,10,0
race,Caucasian,0.1,0.2,0.19362186788154898,439,1
race,Other,0.1,0.2,0.07142857142857142,14,1
race,African-American,0.1,0.2,0.17355371900826447,121,1
race,African-American,0.1,0.2,0.13432835820895522,67,2
race,Caucasian,0.1,0.2,0.1366120218579235,366,2
race,Other,0.1,0.2,0.14285714285714285,7,2
race,Caucasian,0.1,0.2,0.1678832116788321,274,3
race,African-American,0.1,0.2,0.10526315789473684,57,3
race,Other,0.1,0.2,0.0,6,3
race,Caucasian,0.1,0.2,0.1417004048582996,494,4
race,Other,0.1,0.2,0.18181818181818182,11,4
race,African-American,0.1,0.2,0.1523809523809524,105,4
race,African-American,0.2,0.3,0.0,15,0
race,Caucasian,0.2,0.3,0.1506849315068493,73,0
race,Other,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.13636363636363635,22,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.25,8,2
race,Caucasian,0.2,0.3,0.1267605633802817,71,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.20618556701030927,194,3
race,African-American,0.2,0.3,0.30303030303030304,33,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.13793103448275862,203,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.19444444444444445,36,4
race,African-American,0.3,0.4,0.3333333333333333,6,0
race,Caucasian,0.3,0.4,0.15,40,0
race,Other,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.2631578947368421,19,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,0.14285714285714285,7,2
race,Caucasian,0.3,0.4,0.3333333333333333,15,2
race,Other,0.3,0.4,1.0,1,2
race,Caucasian,0.3,0.4,0.23529411764705882,17,3
race,African-American,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,0.0,2,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.3333333333333333,3,0
race,Caucasian,0.4,0.5,0.125,8,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.0,4,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,1.0,1,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.0,2,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.0,1,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.23076923076923078,13,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,1.0,1,1
race,African-American,0.5,0.6,0.0,2,2
race,Caucasian,0.5,0.6,0.16666666666666666,6,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,3,3
race,African-American,0.5,0.6,0.0,1,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,2,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,1.0,1,0
race,Caucasian,0.6,0.7,0.375,8,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.3333333333333333,3,2
race,Caucasian,0.6,0.7,0.0,3,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.0,2,3
race,African-American,0.6,0.7,0.0,1,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.0,2,4
race,Other,0.6,0.7,0.0,1,4
race,African-American,0.6,0.7,0.0,1,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.25,4,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,1.0,1,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,1,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,1,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.25,4,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,0.0,1,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.017422037422037424,24050,0
sex,female,0.0,0.1,0.010662389130024532,10598,0
sex,male,0.0,0.1,0.017486019530923963,23962,1
sex,female,0.0,0.1,0.012167727442905278,10684,1
sex,male,0.0,0.1,0.017431725740848343,24094,2
sex,female,0.0,0.1,0.012411847672778562,10635,2
sex,male,0.0,0.1,0.017979948628718205,24138,3
sex,female,0.0,0.1,0.00975378787878788,10560,3
sex,female,0.0,0.1,0.012222429557753312,10718,4
sex,male,0.0,0.1,0.016116103446821076,23703,4
sex,male,0.1,0.2,0.16279069767441862,344,0
sex,female,0.1,0.2,0.1223021582733813,139,0
sex,male,0.1,0.2,0.19811320754716982,424,1
sex,female,0.1,0.2,0.15333333333333332,150,1
sex,male,0.1,0.2,0.13354037267080746,322,2
sex,female,0.1,0.2,0.1440677966101695,118,2
sex,male,0.1,0.2,0.156,250,3
sex,female,0.1,0.2,0.14942528735632185,87,3
sex,female,0.1,0.2,0.1267605633802817,71,4
sex,male,0.1,0.2,0.14656771799628943,539,4
sex,male,0.2,0.3,0.14516129032258066,62,0
sex,female,0.2,0.3,0.07407407407407407,27,0
sex,male,0.2,0.3,0.14285714285714285,14,1
sex,female,0.2,0.3,0.125,8,1
sex,male,0.2,0.3,0.1509433962264151,53,2
sex,female,0.2,0.3,0.11538461538461539,26,2
sex,male,0.2,0.3,0.24719101123595505,178,3
sex,female,0.2,0.3,0.12244897959183673,49,3
sex,female,0.2,0.3,0.14285714285714285,63,4
sex,male,0.2,0.3,0.14772727272727273,176,4
sex,male,0.3,0.4,0.21875,32,0
sex,female,0.3,0.4,0.06666666666666667,15,0
sex,male,0.3,0.4,0.25,16,1
sex,female,0.3,0.4,0.2,5,1
sex,male,0.3,0.4,0.2777777777777778,18,2
sex,female,0.3,0.4,0.4,5,2
sex,male,0.3,0.4,0.14285714285714285,14,3
sex,female,0.3,0.4,0.3333333333333333,6,3
sex,female,0.3,0.4,,0,4
sex,male,0.3,0.4,,0,4
sex,male,0.4,0.5,0.25,8,0
sex,female,0.4,0.5,0.0,3,0
sex,male,0.4,0.5,0.0,3,1
sex,female,0.4,0.5,0.0,1,1
sex,male,0.4,0.5,1.0,1,2
sex,female,0.4,0.5,,0,2
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,4
sex,male,0.4,0.5,0.0,3,4
sex,male,0.5,0.6,,0,0
sex,female,0.5,0.6,,0,0
sex,male,0.5,0.6,0.3333333333333333,12,1
sex,female,0.5,0.6,0.0,2,1
sex,male,0.5,0.6,0.125,8,2
sex,female,0.5,0.6,,0,2
sex,male,0.5,0.6,0.0,4,3
sex,female,0.5,0.6,,0,3
sex,female,0.5,0.6,,0,4
sex,male,0.5,0.6,0.0,2,4
sex,male,0.6,0.7,0.375,8,0
sex,female,0.6,0.7,1.0,1,0
sex,male,0.6,0.7,,0,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,0.16666666666666666,6,2
sex,female,0.6,0.7,,0,2
sex,male,0.6,0.7,0.0,3,3
sex,female,0.6,0.7,,0,3
sex,female,0.6,0.7,0.0,1,4
sex,male,0.6,0.7,0.0,3,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,0.4,5,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,2
sex,female,0.7,0.8,0.0,1,2
sex,male,0.7,0.8,0.0,1,3
sex,female,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,0.2,5,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,,0,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,4
sex,male,0.8,0.9,,0,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,,0,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
