Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,55,0
race,Caucasian,0.3,0.4,0.0,666,0
race,Other,0.3,0.4,0.0,18,0
race,Caucasian,0.3,0.4,0.0,799,1
race,Other,0.3,0.4,0.0,20,1
race,African-American,0.3,0.4,0.0,72,1
race,African-American,0.3,0.4,0.0,17,2
race,Caucasian,0.3,0.4,0.0,281,2
race,Other,0.3,0.4,0.0,10,2
race,Caucasian,0.3,0.4,0.001199040767386091,834,3
race,African-American,0.3,0.4,0.0,67,3
race,Other,0.3,0.4,0.0,25,3
race,Caucasian,0.3,0.4,0.0,298,4
race,Other,0.3,0.4,0.0,10,4
race,African-American,0.3,0.4,0.0,18,4
race,African-American,0.4,0.5,0.0,72,0
race,Caucasian,0.4,0.5,0.0012285012285012285,814,0
race,Other,0.4,0.5,0.0,37,0
race,Caucasian,0.4,0.5,0.0035629453681710215,842,1
race,Other,0.4,0.5,0.0,20,1
race,African-American,0.4,0.5,0.0,72,1
race,African-American,0.4,0.5,0.0,120,2
race,Caucasian,0.4,0.5,0.0007763975155279503,1288,2
race,Other,0.4,0.5,0.0,35,2
race,Caucasian,0.4,0.5,0.002129925452609159,939,3
race,African-American,0.4,0.5,0.0,80,3
race,Other,0.4,0.5,0.0,43,3
race,Caucasian,0.4,0.5,0.0,1113,4
race,Other,0.4,0.5,0.0,30,4
race,African-American,0.4,0.5,0.0,107,4
race,African-American,0.5,0.6,0.0,449,0
race,Caucasian,0.5,0.6,0.0034427966101694915,3776,0
race,Other,0.5,0.6,0.0,161,0
race,Caucasian,0.5,0.6,0.0018503832936822627,3783,1
race,Other,0.5,0.6,0.0,175,1
race,African-American,0.5,0.6,0.0022271714922048997,449,1
race,African-American,0.5,0.6,0.0,509,2
race,Caucasian,0.5,0.6,0.0018181818181818182,3850,2
race,Other,0.5,0.6,0.0,162,2
race,Caucasian,0.5,0.6,0.0017220172201722018,4065,3
race,African-American,0.5,0.6,0.0,499,3
race,Other,0.5,0.6,0.0,181,3
race,Caucasian,0.5,0.6,0.001007302946361118,3971,4
race,Other,0.5,0.6,0.0,174,4
race,African-American,0.5,0.6,0.0,455,4
race,African-American,0.6,0.7,0.0027829313543599257,1078,0
race,Caucasian,0.6,0.7,0.003340365682137834,5688,0
race,Other,0.6,0.7,0.0,233,0
race,Caucasian,0.6,0.7,0.0049787940254471695,5423,1
race,Other,0.6,0.7,0.0,183,1
race,African-American,0.6,0.7,0.0009140767824497258,1094,1
race,African-American,0.6,0.7,0.005474452554744526,1096,2
race,Caucasian,0.6,0.7,0.00448817538408424,5793,2
race,Other,0.6,0.7,0.0,212,2
race,Caucasian,0.6,0.7,0.006493506493506494,5852,3
race,African-American,0.6,0.7,0.0016891891891891893,1184,3
race,Other,0.6,0.7,0.0,207,3
race,Caucasian,0.6,0.7,0.006283068783068783,6048,4
race,Other,0.6,0.7,0.0,222,4
race,African-American,0.6,0.7,0.0025662959794696323,1169,4
race,African-American,0.7,0.8,0.007848266841072597,1529,0
race,Caucasian,0.7,0.8,0.008788449466415568,6372,0
race,Other,0.7,0.8,0.0,197,0
race,Caucasian,0.7,0.8,0.009902498476538697,6564,1
race,Other,0.7,0.8,0.0,192,1
race,African-American,0.7,0.8,0.009411764705882352,1700,1
race,African-American,0.7,0.8,0.0074487895716946,1611,2
race,Caucasian,0.7,0.8,0.010429447852760737,6520,2
race,Other,0.7,0.8,0.0,199,2
race,Caucasian,0.7,0.8,0.009678477690288715,6096,3
race,African-American,0.7,0.8,0.013003901170351105,1538,3
race,Other,0.7,0.8,0.0,203,3
race,Caucasian,0.7,0.8,0.00657789186587518,6233,4
race,Other,0.7,0.8,0.01639344262295082,183,4
race,African-American,0.7,0.8,0.009937888198757764,1610,4
race,African-American,0.8,0.9,0.018607442977190875,1666,0
race,Caucasian,0.8,0.9,0.021868166198063105,6402,0
race,Other,0.8,0.9,0.0,92,0
race,Caucasian,0.8,0.9,0.019188074849349826,6306,1
race,Other,0.8,0.9,0.0,123,1
race,African-American,0.8,0.9,0.022364217252396165,1565,1
race,African-American,0.8,0.9,0.01987577639751553,1610,2
race,Caucasian,0.8,0.9,0.02000327922610264,6099,2
race,Other,0.8,0.9,0.011235955056179775,89,2
