Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.0,23,0
race,Caucasian,0.4,0.5,0.00967741935483871,310,0
race,Other,0.4,0.5,0.0,25,0
race,Caucasian,0.4,0.5,0.0038314176245210726,261,1
race,Other,0.4,0.5,0.0,27,1
race,African-American,0.4,0.5,0.0,27,1
race,African-American,0.4,0.5,0.0,24,2
race,Caucasian,0.4,0.5,0.006872852233676976,291,2
race,Other,0.4,0.5,0.0,20,2
race,Caucasian,0.4,0.5,0.001736111111111111,576,3
race,African-American,0.4,0.5,0.0,50,3
race,Other,0.4,0.5,0.0,46,3
race,Caucasian,0.4,0.5,0.007832898172323759,383,4
race,Other,0.4,0.5,0.0,28,4
race,African-American,0.4,0.5,0.0,30,4
race,African-American,0.5,0.6,0.006224066390041493,482,0
race,Caucasian,0.5,0.6,0.010347572300344918,3769,0
race,Other,0.5,0.6,0.0,222,0
race,Caucasian,0.5,0.6,0.013794968893697593,3697,1
race,Other,0.5,0.6,0.0,204,1
race,African-American,0.5,0.6,0.013916500994035786,503,1
race,African-American,0.5,0.6,0.011928429423459244,503,2
race,Caucasian,0.5,0.6,0.01160541586073501,4136,2
race,Other,0.5,0.6,0.004629629629629629,216,2
race,Caucasian,0.5,0.6,0.012935323383084577,4020,3
race,African-American,0.5,0.6,0.013282732447817837,527,3
race,Other,0.5,0.6,0.0,204,3
race,Caucasian,0.5,0.6,0.010780287474332649,3896,4
race,Other,0.5,0.6,0.0,216,4
race,African-American,0.5,0.6,0.014553014553014554,481,4
race,African-American,0.6,0.7,0.026840490797546013,1304,0
race,Caucasian,0.6,0.7,0.01887802918730754,7469,0
race,Other,0.6,0.7,0.0,276,0
race,Caucasian,0.6,0.7,0.0163347184410374,6979,1
race,Other,0.6,0.7,0.0,250,1
race,African-American,0.6,0.7,0.02021772939346812,1286,1
race,African-American,0.6,0.7,0.02037617554858934,1276,2
race,Caucasian,0.6,0.7,0.02193810838297254,6883,2
race,Other,0.6,0.7,0.004048582995951417,247,2
race,Caucasian,0.6,0.7,0.0203088051189317,7189,3
race,African-American,0.6,0.7,0.026415094339622643,1325,3
race,Other,0.6,0.7,0.0037313432835820895,268,3
race,Caucasian,0.6,0.7,0.0186864523220665,7278,4
race,Other,0.6,0.7,0.0,241,4
race,African-American,0.6,0.7,0.02291825821237586,1309,4
race,African-American,0.7,0.8,0.036991368680641186,1622,0
race,Caucasian,0.7,0.8,0.0367561260210035,6856,0
race,Other,0.7,0.8,0.009174311926605505,109,0
race,Caucasian,0.7,0.8,0.0326417704011065,7230,1
race,Other,0.7,0.8,0.007352941176470588,136,1
race,African-American,0.7,0.8,0.04583333333333333,1680,1
race,African-American,0.7,0.8,0.04396984924623116,1592,2
race,Caucasian,0.7,0.8,0.032319114863881206,6869,2
race,Other,0.7,0.8,0.00847457627118644,118,2
race,Caucasian,0.7,0.8,0.03207747011650779,6609,3
race,African-American,0.7,0.8,0.03956604977664327,1567,3
race,Other,0.7,0.8,0.016260162601626018,123,3
race,Caucasian,0.7,0.8,0.03494101836643273,6697,4
race,Other,0.7,0.8,0.010526315789473684,95,4
race,African-American,0.7,0.8,0.04499100179964007,1667,4
race,African-American,0.8,0.9,0.08270042194092828,1185,0
race,Caucasian,0.8,0.9,0.0612205854218481,5227,0
race,Other,0.8,0.9,0.10638297872340426,47,0
race,Caucasian,0.8,0.9,0.056957328385899814,5390,1
race,Other,0.8,0.9,0.043478260869565216,46,1
race,African-American,0.8,0.9,0.08340353833192923,1187,1
race,African-American,0.8,0.9,0.07918367346938776,1225,2
race,Caucasian,0.8,0.9,0.05390785301249767,5361,2
race,Other,0.8,0.9,0.023255813953488372,43,2
