Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.01974587912087912,5824,0
race,Caucasian,0.0,0.1,0.031286764705882354,27200,0
race,Other,0.0,0.1,0.010443864229765013,766,0
race,Caucasian,0.0,0.1,0.031203949307397585,27144,1
race,Other,0.0,0.1,0.00796812749003984,753,1
race,African-American,0.0,0.1,0.0193929173693086,5930,1
race,African-American,0.0,0.1,0.018910478834142957,5764,2
race,Caucasian,0.0,0.1,0.026734539969834086,26520,2
race,Other,0.0,0.1,0.01092896174863388,732,2
race,Caucasian,0.0,0.1,0.029412861136999067,26825,3
race,African-American,0.0,0.1,0.021664374140302613,5816,3
race,Other,0.0,0.1,0.011464968152866241,785,3
race,Caucasian,0.0,0.1,0.02839598064756234,26870,4
race,Other,0.0,0.1,0.009510869565217392,736,4
race,African-American,0.0,0.1,0.02109704641350211,5925,4
race,African-American,0.1,0.2,0.1111111111111111,198,0
race,Caucasian,0.1,0.2,0.1112167300380228,1052,0
race,Other,0.1,0.2,0.0,7,0
race,Caucasian,0.1,0.2,0.12178877259752617,1051,1
race,Other,0.1,0.2,0.0,9,1
race,African-American,0.1,0.2,0.10869565217391304,184,1
race,African-American,0.1,0.2,0.07165109034267912,321,2
race,Caucasian,0.1,0.2,0.11276473955352032,1747,2
race,Other,0.1,0.2,0.07142857142857142,14,2
race,Caucasian,0.1,0.2,0.11748998664886515,1498,3
race,African-American,0.1,0.2,0.07984790874524715,263,3
race,Other,0.1,0.2,0.0,17,3
race,Caucasian,0.1,0.2,0.12949152542372883,1475,4
race,Other,0.1,0.2,0.0,16,4
race,African-American,0.1,0.2,0.12903225806451613,217,4
race,African-American,0.2,0.3,0.0625,16,0
race,Caucasian,0.2,0.3,0.14358974358974358,195,0
race,Other,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.13297872340425532,188,1
race,Other,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.22580645161290322,31,1
race,African-American,0.2,0.3,0.17857142857142858,28,2
race,Caucasian,0.2,0.3,0.20394736842105263,152,2
race,Other,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.22,50,3
race,African-American,0.2,0.3,0.0,5,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.07692307692307693,13,4
race,Other,0.2,0.3,0.0,1,4
race,African-American,0.2,0.3,0.0,1,4
race,African-American,0.3,0.4,0.0,5,0
race,Caucasian,0.3,0.4,0.0,8,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.14285714285714285,21,3
race,African-American,0.3,0.4,0.5,2,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.13333333333333333,15,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.0,1,4
race,African-American,0.4,0.5,0.0,1,0
race,Caucasian,0.4,0.5,0.25,12,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.4,5,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.17647058823529413,17,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.6666666666666666,3,4
race,African-American,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.0,1,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.14285714285714285,7,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,4,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,3,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.0,3,3
race,African-American,0.6,0.7,0.0,1,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,0.5,4,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.029104254683565912,23433,0
sex,female,0.0,0.1,0.028193492324032055,10357,0
sex,male,0.0,0.1,0.030564698841533792,23393,1
sex,female,0.0,0.1,0.024247651907226376,10434,1
sex,male,0.0,0.1,0.025620880799615903,22911,2
sex,female,0.0,0.1,0.023651657595249877,10105,2
sex,male,0.0,0.1,0.028127822459249066,23251,3
sex,female,0.0,0.1,0.026535626535626536,10175,3
sex,female,0.0,0.1,0.023730791674771445,10282,4
sex,male,0.0,0.1,0.028001204352875394,23249,4
sex,male,0.1,0.2,0.10675381263616558,918,0
sex,female,0.1,0.2,0.12094395280235988,339,0
sex,male,0.1,0.2,0.1282051282051282,897,1
sex,female,0.1,0.2,0.09510086455331412,347,1
sex,male,0.1,0.2,0.10876954452753229,1471,2
sex,female,0.1,0.2,0.09983633387888707,611,2
sex,male,0.1,0.2,0.1095350669818755,1269,3
sex,female,0.1,0.2,0.11394891944990176,509,3
sex,female,0.1,0.2,0.12050359712230216,556,4
sex,male,0.1,0.2,0.13194444444444445,1152,4
sex,male,0.2,0.3,0.13970588235294118,136,0
sex,female,0.2,0.3,0.13157894736842105,76,0
sex,male,0.2,0.3,0.1456953642384106,151,1
sex,female,0.2,0.3,0.14285714285714285,70,1
sex,male,0.2,0.3,0.1794871794871795,117,2
sex,female,0.2,0.3,0.234375,64,2
sex,male,0.2,0.3,0.21428571428571427,42,3
sex,female,0.2,0.3,0.15384615384615385,13,3
sex,female,0.2,0.3,0.0,3,4
sex,male,0.2,0.3,0.08333333333333333,12,4
sex,male,0.3,0.4,0.0,8,0
sex,female,0.3,0.4,0.0,5,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,2
sex,male,0.3,0.4,0.21052631578947367,19,3
sex,female,0.3,0.4,0.0,4,3
sex,female,0.3,0.4,0.0,5,4
sex,male,0.3,0.4,0.18181818181818182,11,4
sex,male,0.4,0.5,0.0,7,0
sex,female,0.4,0.5,0.5,6,0
sex,male,0.4,0.5,,0,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,0.4,5,2
sex,female,0.4,0.5,,0,2
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,3
sex,female,0.4,0.5,0.1111111111111111,9,4
sex,male,0.4,0.5,0.36363636363636365,11,4
sex,male,0.5,0.6,0.0,2,0
sex,female,0.5,0.6,,0,0
sex,male,0.5,0.6,0.0,1,1
sex,female,0.5,0.6,,0,1
sex,male,0.5,0.6,0.0,3,2
sex,female,0.5,0.6,0.25,4,2
sex,male,0.5,0.6,0.0,2,3
sex,female,0.5,0.6,0.0,2,3
sex,female,0.5,0.6,0.0,2,4
sex,male,0.5,0.6,0.0,1,4
sex,male,0.6,0.7,,0,0
sex,female,0.6,0.7,,0,0
sex,male,0.6,0.7,,0,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,2
sex,male,0.6,0.7,0.0,4,3
sex,female,0.6,0.7,,0,3
sex,female,0.6,0.7,,0,4
sex,male,0.6,0.7,,0,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,,0,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,2
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,,0,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,4
sex,male,0.8,0.9,,0,4
sex,male,0.9,1.0,0.5,4,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,,0,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
