Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.026167285095856526,25872,0
race,Other,0.0,0.1,0.015214384508990318,723,0
race,African-American,0.0,0.1,0.017042428546067814,5633,0
race,Caucasian,0.0,0.1,0.02856252191871566,25663,1
race,African-American,0.0,0.1,0.016168289290681502,5752,1
race,Other,0.0,0.1,0.009602194787379973,729,1
race,Caucasian,0.0,0.1,0.026843277458680107,25593,2
race,African-American,0.0,0.1,0.01982608695652174,5750,2
race,Other,0.0,0.1,0.0066844919786096255,748,2
race,Caucasian,0.0,0.1,0.025097125097125098,25740,3
race,African-American,0.0,0.1,0.021032166843407564,5658,3
race,Other,0.0,0.1,0.005161290322580645,775,3
race,Caucasian,0.0,0.1,0.02858906593618581,25919,4
race,African-American,0.0,0.1,0.017888770811193767,5646,4
race,Other,0.0,0.1,0.0070921985815602835,705,4
race,Caucasian,0.1,0.2,0.10026789131266743,2613,0
race,Other,0.1,0.2,0.02564102564102564,39,0
race,African-American,0.1,0.2,0.10386473429951691,414,0
race,Caucasian,0.1,0.2,0.10449981405727037,2689,1
race,African-American,0.1,0.2,0.08695652173913043,437,1
race,Other,0.1,0.2,0.0,23,1
race,Caucasian,0.1,0.2,0.10378732702112163,2746,2
race,African-American,0.1,0.2,0.09929078014184398,423,2
race,Other,0.1,0.2,0.09090909090909091,33,2
race,Caucasian,0.1,0.2,0.11077955986572174,2681,3
race,African-American,0.1,0.2,0.09535452322738386,409,3
race,Other,0.1,0.2,0.06666666666666667,30,3
race,Caucasian,0.1,0.2,0.10495513070620367,2563,4
race,African-American,0.1,0.2,0.08705882352941176,425,4
race,Other,0.1,0.2,0.02857142857142857,35,4
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
