Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.02525879917184265,4830,0
race,Caucasian,0.0,0.1,0.02905302388615958,23612,0
race,Other,0.0,0.1,0.014084507042253521,710,0
race,Caucasian,0.0,0.1,0.030515935158928344,23627,1
race,Other,0.0,0.1,0.020028612303290415,699,1
race,African-American,0.0,0.1,0.02561048243001787,5037,1
race,African-American,0.0,0.1,0.03163163163163163,4995,2
race,Caucasian,0.0,0.1,0.03074804956402019,23969,2
race,Other,0.0,0.1,0.010086455331412104,694,2
race,Caucasian,0.0,0.1,0.0283922366302229,23598,3
race,African-American,0.0,0.1,0.029394121175764846,5001,3
race,Other,0.0,0.1,0.006729475100942127,743,3
race,Caucasian,0.0,0.1,0.029427815792787877,23821,4
race,Other,0.0,0.1,0.01566951566951567,702,4
race,African-American,0.0,0.1,0.030484160191273164,5019,4
race,African-American,0.1,0.2,0.11099137931034483,928,0
race,Caucasian,0.1,0.2,0.1421067182748134,3617,0
race,Other,0.1,0.2,0.05263157894736842,57,0
race,Caucasian,0.1,0.2,0.15573333333333333,3750,1
race,Other,0.1,0.2,0.12280701754385964,57,1
race,African-American,0.1,0.2,0.12930011862396204,843,1
race,African-American,0.1,0.2,0.14,800,2
race,Caucasian,0.1,0.2,0.14457831325301204,3154,2
race,Other,0.1,0.2,0.0,43,2
race,Caucasian,0.1,0.2,0.15130341306100512,3721,3
race,African-American,0.1,0.2,0.13789107763615296,863,3
race,Other,0.1,0.2,0.09433962264150944,53,3
race,Caucasian,0.1,0.2,0.139349701393497,3014,4
race,Other,0.1,0.2,0.0975609756097561,41,4
race,African-American,0.1,0.2,0.13137755102040816,784,4
race,African-American,0.2,0.3,0.2062780269058296,223,0
race,Caucasian,0.2,0.3,0.21287642782969884,963,0
race,Other,0.2,0.3,0.14285714285714285,7,0
race,Caucasian,0.2,0.3,0.22056833558863329,739,1
race,Other,0.2,0.3,0.2857142857142857,7,1
race,African-American,0.2,0.3,0.21962616822429906,214,1
race,African-American,0.2,0.3,0.21428571428571427,252,2
race,Caucasian,0.2,0.3,0.20788912579957355,938,2
race,Other,0.2,0.3,0.2857142857142857,7,2
race,Caucasian,0.2,0.3,0.22096317280453256,706,3
race,African-American,0.2,0.3,0.24516129032258063,155,3
race,Other,0.2,0.3,0.5,4,3
race,Caucasian,0.2,0.3,0.19741379310344828,1160,4
race,Other,0.2,0.3,0.0,9,4
race,African-American,0.2,0.3,0.225531914893617,235,4
race,African-American,0.3,0.4,0.3,50,0
race,Caucasian,0.3,0.4,0.2903225806451613,186,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.31277533039647576,227,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.32558139534883723,43,1
race,African-American,0.3,0.4,0.3387096774193548,62,2
race,Caucasian,0.3,0.4,0.22012578616352202,318,2
race,Other,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.3055555555555556,324,3
race,African-American,0.3,0.4,0.23214285714285715,56,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.2297734627831715,309,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.3333333333333333,87,4
race,African-American,0.4,0.5,0.3333333333333333,12,0
race,Caucasian,0.4,0.5,0.325,80,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.3333333333333333,15,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.0,3,1
race,African-American,0.4,0.5,0.0,2,2
race,Caucasian,0.4,0.5,0.24,25,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.15789473684210525,19,3
race,African-American,0.4,0.5,0.0,1,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.2619047619047619,84,4
race,Other,0.4,0.5,0.0,1,4
race,African-American,0.4,0.5,0.19047619047619047,21,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,9,1
race,Other,0.5,0.6,,0,1
