Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.04888392857142857,4480,0
race,Caucasian,0.0,0.1,0.048045414685927906,21667,0
race,Other,0.0,0.1,0.022377622377622378,715,0
race,Caucasian,0.0,0.1,0.048444401766852316,20828,1
race,Other,0.0,0.1,0.00909090909090909,660,1
race,African-American,0.0,0.1,0.04224719101123595,4450,1
race,African-American,0.0,0.1,0.04863582443653618,4215,2
race,Caucasian,0.0,0.1,0.043051878003334314,20394,2
race,Other,0.0,0.1,0.016320474777448073,674,2
race,Caucasian,0.0,0.1,0.04614462644826209,20024,3
race,African-American,0.0,0.1,0.04521656354117087,4202,3
race,Other,0.0,0.1,0.017543859649122806,684,3
race,Caucasian,0.0,0.1,0.04355485954781247,20434,4
race,Other,0.0,0.1,0.02909647779479326,653,4
race,African-American,0.0,0.1,0.04411417787213966,4239,4
race,African-American,0.1,0.2,0.12188365650969529,1083,0
race,Caucasian,0.1,0.2,0.152187833511206,4685,0
race,Other,0.1,0.2,0.10204081632653061,49,0
race,Caucasian,0.1,0.2,0.1445216680294358,4892,1
race,Other,0.1,0.2,0.08433734939759036,83,1
race,African-American,0.1,0.2,0.12476370510396975,1058,1
race,African-American,0.1,0.2,0.13129644921552436,1211,2
race,Caucasian,0.1,0.2,0.13211933359163114,5162,2
race,Other,0.1,0.2,0.041666666666666664,48,2
race,Caucasian,0.1,0.2,0.14374891624761574,5767,3
race,African-American,0.1,0.2,0.1248097412480974,1314,3
race,Other,0.1,0.2,0.057692307692307696,104,3
race,Caucasian,0.1,0.2,0.13962616822429907,5350,4
race,Other,0.1,0.2,0.036585365853658534,82,4
race,African-American,0.1,0.2,0.12339137017411052,1321,4
race,African-American,0.2,0.3,0.20195439739413681,307,0
race,Caucasian,0.2,0.3,0.25666412795125665,1313,0
race,Other,0.2,0.3,0.0,7,0
race,Caucasian,0.2,0.3,0.22842105263157894,1900,1
race,Other,0.2,0.3,0.13333333333333333,15,1
race,African-American,0.2,0.3,0.21507760532150777,451,1
race,African-American,0.2,0.3,0.2318271119842829,509,2
race,Caucasian,0.2,0.3,0.23364032961706252,2063,2
race,Other,0.2,0.3,0.3333333333333333,15,2
race,Caucasian,0.2,0.3,0.23412073490813648,1905,3
race,African-American,0.2,0.3,0.21394230769230768,416,3
race,Other,0.2,0.3,0.18181818181818182,11,3
race,Caucasian,0.2,0.3,0.24675324675324675,1617,4
race,Other,0.2,0.3,0.3,10,4
race,African-American,0.2,0.3,0.23834196891191708,386,4
race,African-American,0.3,0.4,0.27,100,0
race,Caucasian,0.3,0.4,0.2781065088757396,507,0
race,Other,0.3,0.4,1.0,1,0
race,Caucasian,0.3,0.4,0.3188405797101449,552,1
race,Other,0.3,0.4,0.2,5,1
race,African-American,0.3,0.4,0.4041095890410959,146,1
race,African-American,0.3,0.4,0.24390243902439024,123,2
race,Caucasian,0.3,0.4,0.33689839572192515,561,2
race,Other,0.3,0.4,0.0,6,2
race,Caucasian,0.3,0.4,0.33954451345755693,483,3
race,African-American,0.3,0.4,0.3055555555555556,108,3
race,Other,0.3,0.4,0.0,3,3
race,Caucasian,0.3,0.4,0.3069182389937107,795,4
race,Other,0.3,0.4,0.0,7,4
race,African-American,0.3,0.4,0.3333333333333333,165,4
race,African-American,0.4,0.5,0.3114754098360656,61,0
race,Caucasian,0.4,0.5,0.36324786324786323,234,0
race,Other,0.4,0.5,1.0,1,0
race,Caucasian,0.4,0.5,0.4088050314465409,159,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.4482758620689655,29,1
race,African-American,0.4,0.5,0.3333333333333333,45,2
race,Caucasian,0.4,0.5,0.34502923976608185,171,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.39751552795031053,161,3
race,African-American,0.4,0.5,0.5,38,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.3090909090909091,55,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.4375,16,4
race,African-American,0.5,0.6,0.5,2,0
race,Caucasian,0.5,0.6,0.0,3,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.25925925925925924,27,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.6666666666666666,6,1
race,African-American,0.5,0.6,0.7333333333333333,15,2
race,Caucasian,0.5,0.6,0.5094339622641509,53,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.6428571428571429,42,3
race,African-American,0.5,0.6,0.4,5,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.35365853658536583,82,4
race,Other,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,0.2222222222222222,9,4
race,African-American,0.6,0.7,0.45454545454545453,11,0
race,Caucasian,0.6,0.7,0.5102040816326531,49,0
race,Other,0.6,0.7,1.0,1,0
race,Caucasian,0.6,0.7,0.375,8,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.0,2,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.5,2,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.25,8,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.5185185185185185,54,4
