Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.029386639330257987,5853,0
race,Caucasian,0.0,0.1,0.019616934764775117,28037,0
race,Other,0.0,0.1,0.00904392764857881,774,0
race,Caucasian,0.0,0.1,0.02100103752996315,27951,1
race,Other,0.0,0.1,0.0066050198150594455,757,1
race,African-American,0.0,0.1,0.027213169830337645,5953,1
race,African-American,0.0,0.1,0.03293010752688172,5952,2
race,Caucasian,0.0,0.1,0.01924862509820727,28002,2
race,Other,0.0,0.1,0.008064516129032258,744,2
race,Caucasian,0.0,0.1,0.018881444591738024,27911,3
race,African-American,0.0,0.1,0.029376804211241298,5889,3
race,Other,0.0,0.1,0.012531328320802004,798,3
race,Caucasian,0.0,0.1,0.019715185344210677,27948,4
race,Other,0.0,0.1,0.009333333333333334,750,4
race,African-American,0.0,0.1,0.032214765100671144,5960,4
race,African-American,0.1,0.2,0.37037037037037035,108,0
race,Caucasian,0.1,0.2,0.3277310924369748,238,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.31666666666666665,240,1
race,Other,0.1,0.2,0.5,6,1
race,African-American,0.1,0.2,0.36036036036036034,111,1
race,African-American,0.1,0.2,0.2765957446808511,94,2
race,Caucasian,0.1,0.2,0.3387096774193548,248,2
race,Other,0.1,0.2,0.6666666666666666,3,2
race,Caucasian,0.1,0.2,0.2949640287769784,278,3
race,African-American,0.1,0.2,0.21052631578947367,114,3
race,Other,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.30566037735849055,265,4
race,Other,0.1,0.2,0.5,2,4
race,African-American,0.1,0.2,0.22018348623853212,109,4
race,African-American,0.2,0.3,0.35714285714285715,42,0
race,Caucasian,0.2,0.3,0.4065040650406504,123,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.40816326530612246,98,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.29411764705882354,34,1
race,African-American,0.2,0.3,0.3783783783783784,37,2
race,Caucasian,0.2,0.3,0.3333333333333333,90,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.3173076923076923,104,3
race,African-American,0.2,0.3,0.4523809523809524,42,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.28,100,4
race,Other,0.2,0.3,1.0,1,4
race,African-American,0.2,0.3,0.24242424242424243,33,4
race,African-American,0.3,0.4,0.16666666666666666,18,0
race,Caucasian,0.3,0.4,0.38461538461538464,39,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.4117647058823529,51,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.2413793103448276,29,1
race,African-American,0.3,0.4,0.375,24,2
race,Caucasian,0.3,0.4,0.38636363636363635,44,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.49122807017543857,57,3
race,African-American,0.3,0.4,0.30434782608695654,23,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.2619047619047619,42,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.42857142857142855,14,4
race,African-American,0.4,0.5,0.2727272727272727,11,0
race,Caucasian,0.4,0.5,0.42105263157894735,19,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.6,20,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.23076923076923078,13,1
race,African-American,0.4,0.5,0.5714285714285714,7,2
race,Caucasian,0.4,0.5,0.5,28,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.56,25,3
race,African-American,0.4,0.5,0.4,10,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.5625,16,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.5,14,4
race,African-American,0.5,0.6,0.16666666666666666,6,0
race,Caucasian,0.5,0.6,0.7,10,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.3333333333333333,9,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,1.0,4,1
race,African-American,0.5,0.6,0.0,1,2
race,Caucasian,0.5,0.6,0.5714285714285714,14,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.23529411764705882,17,3
race,African-American,0.5,0.6,0.16666666666666666,6,3
race,Other,0.5,0.6,0.0,1,3
race,Caucasian,0.5,0.6,0.375,8,4
