Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.022376926902038786,6033,0
race,Caucasian,0.0,0.1,0.034564160383341556,28382,0
race,Other,0.0,0.1,0.01034928848641656,773,0
race,Caucasian,0.0,0.1,0.03486607615485055,28337,1
race,Other,0.0,0.1,0.007863695937090432,763,1
race,African-American,0.0,0.1,0.02280501710376283,6139,1
race,African-American,0.0,0.1,0.022775684089791904,6103,2
race,Caucasian,0.0,0.1,0.03242766407904023,28340,2
race,Other,0.0,0.1,0.012048192771084338,747,2
race,Caucasian,0.0,0.1,0.03400904082497528,28316,3
race,African-American,0.0,0.1,0.023872242344418836,6074,3
race,Other,0.0,0.1,0.011221945137157107,802,3
race,Caucasian,0.0,0.1,0.033410951171323734,28344,4
race,Other,0.0,0.1,0.009296148738379814,753,4
race,African-American,0.0,0.1,0.02523607945294692,6142,4
race,African-American,0.1,0.2,0.1111111111111111,9,0
race,Caucasian,0.1,0.2,0.2361111111111111,72,0
race,Other,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.3,40,1
race,Other,0.1,0.2,0.0,1,1
race,African-American,0.1,0.2,0.4,5,1
race,African-American,0.1,0.2,0.0,12,2
race,Caucasian,0.1,0.2,0.19444444444444445,72,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,0.16666666666666666,66,3
race,African-American,0.1,0.2,0.23076923076923078,13,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.2727272727272727,44,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,0.0,4,4
race,African-American,0.2,0.3,0.5,4,0
race,Caucasian,0.2,0.3,0.16666666666666666,12,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,4,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.0,4,2
race,Caucasian,0.2,0.3,0.5555555555555556,9,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.3076923076923077,13,3
race,African-American,0.2,0.3,0.0,2,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.25,4,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.0,1,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.25,4,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,2,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.0,3,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.16666666666666666,6,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.0,4,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.0,2,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.0,1,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,1,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,1,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.032170923379174855,24432,0
sex,female,0.0,0.1,0.031424321309036815,10756,0
sex,male,0.0,0.1,0.03450961104963318,24399,1
sex,female,0.0,0.1,0.026937269372693726,10840,1
