Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.03533481591302199,12141,0
race,African-American,0.0,0.1,0.030569354222392053,2617,0
race,Other,0.0,0.1,0.022988505747126436,261,0
race,Indian,0.0,0.1,0.0,13,0
race,Asian,0.0,0.1,0.0,38,0
race,Caucasian,0.0,0.1,0.032696425630044476,12142,1
race,Asian,0.0,0.1,0.0,56,1
race,African-American,0.0,0.1,0.03022289384208538,2647,1
race,Other,0.0,0.1,0.024291497975708502,247,1
race,Indian,0.0,0.1,0.0,14,1
race,Caucasian,0.0,0.1,0.032640949554896145,12132,2
race,African-American,0.0,0.1,0.028771384136858476,2572,2
race,Other,0.0,0.1,0.013745704467353952,291,2
race,Indian,0.0,0.1,0.05555555555555555,18,2
race,Asian,0.0,0.1,0.0,33,2
race,Caucasian,0.0,0.1,0.03223154086498931,12162,3
race,African-American,0.0,0.1,0.02997275204359673,2569,3
race,Other,0.0,0.1,0.013888888888888888,288,3
race,Asian,0.0,0.1,0.0,39,3
race,Indian,0.0,0.1,0.0,20,3
race,Caucasian,0.0,0.1,0.03299821631263175,12334,4
race,African-American,0.0,0.1,0.042177361211247294,2774,4
race,Other,0.0,0.1,0.02711864406779661,295,4
race,Asian,0.0,0.1,0.027777777777777776,36,4
race,Indian,0.0,0.1,0.0,11,4
race,Caucasian,0.1,0.2,0.1249529544599172,2657,0
race,African-American,0.1,0.2,0.1111111111111111,630,0
race,Other,0.1,0.2,0.022727272727272728,44,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,0.2,5,0
race,Caucasian,0.1,0.2,0.1243543901470004,2517,1
race,Asian,0.1,0.2,0.0,10,1
race,African-American,0.1,0.2,0.1119186046511628,688,1
race,Other,0.1,0.2,0.0,43,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.12761904761904763,2625,2
race,African-American,0.1,0.2,0.11745513866231648,613,2
race,Other,0.1,0.2,0.09803921568627451,51,2
race,Indian,0.1,0.2,0.0,1,2
race,Asian,0.1,0.2,0.0,4,2
race,Caucasian,0.1,0.2,0.1238800155823919,2567,3
race,African-American,0.1,0.2,0.1040650406504065,615,3
race,Other,0.1,0.2,0.03636363636363636,55,3
race,Asian,0.1,0.2,0.0,10,3
race,Indian,0.1,0.2,0.0,2,3
race,Caucasian,0.1,0.2,0.11234396671289876,2163,4
race,African-American,0.1,0.2,0.08447937131630648,509,4
race,Other,0.1,0.2,0.0625,16,4
race,Asian,0.1,0.2,0.0,2,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.22006472491909385,618,0
race,African-American,0.2,0.3,0.15028901734104047,173,0
race,Other,0.2,0.3,0.3333333333333333,3,0
race,Indian,0.2,0.3,,0,0
race,Asian,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.19844961240310077,645,1
race,Asian,0.2,0.3,0.5,2,1
race,African-American,0.2,0.3,0.21693121693121692,189,1
race,Other,0.2,0.3,0.0,2,1
race,Indian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.2215568862275449,668,2
race,African-American,0.2,0.3,0.18617021276595744,188,2
race,Other,0.2,0.3,0.0,3,2
race,Indian,0.2,0.3,,0,2
race,Asian,0.2,0.3,0.3333333333333333,3,2
race,Caucasian,0.2,0.3,0.21122599704579026,677,3
race,African-American,0.2,0.3,0.193717277486911,191,3
race,Other,0.2,0.3,0.0,5,3
race,Asian,0.2,0.3,0.0,2,3
race,Indian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.20689655172413793,870,4
race,African-American,0.2,0.3,0.19148936170212766,188,4
race,Other,0.2,0.3,0.0,4,4
race,Asian,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
