Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.06896551724137931,29,0
race,Caucasian,0.0,0.1,0.05655157149181054,9036,0
race,African-American,0.0,0.1,0.05555555555555555,2052,0
race,Other,0.0,0.1,0.03187250996015936,251,0
race,Indian,0.0,0.1,0.0,13,0
race,Caucasian,0.0,0.1,0.057187337830825115,9635,1
race,African-American,0.0,0.1,0.0477326968973747,2095,1
race,Other,0.0,0.1,0.026785714285714284,224,1
race,Indian,0.0,0.1,0.08333333333333333,12,1
race,Asian,0.0,0.1,0.030303030303030304,33,1
race,Caucasian,0.0,0.1,0.05529473135106938,9585,2
race,African-American,0.0,0.1,0.05244755244755245,2002,2
race,Asian,0.0,0.1,0.0,37,2
race,Indian,0.0,0.1,0.0625,16,2
race,Other,0.0,0.1,0.02973977695167286,269,2
race,African-American,0.0,0.1,0.049635036496350364,2055,3
race,Caucasian,0.0,0.1,0.052653660583176,9534,3
race,Indian,0.0,0.1,0.0,11,3
race,Other,0.0,0.1,0.015037593984962405,266,3
race,Asian,0.0,0.1,0.03333333333333333,30,3
race,Caucasian,0.0,0.1,0.05472895640412028,9611,4
race,African-American,0.0,0.1,0.05906976744186047,2150,4
race,Asian,0.0,0.1,0.09090909090909091,44,4
race,Other,0.0,0.1,0.038135593220338986,236,4
race,Indian,0.0,0.1,0.0,10,4
race,Asian,0.1,0.2,0.09090909090909091,11,0
race,Caucasian,0.1,0.2,0.1413418191461151,3771,0
race,African-American,0.1,0.2,0.12331838565022421,892,0
race,Other,0.1,0.2,0.05660377358490566,53,0
race,Indian,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.16167993412023057,3643,1
race,African-American,0.1,0.2,0.1357409713574097,803,1
race,Other,0.1,0.2,0.09523809523809523,63,1
race,Indian,0.1,0.2,0.3333333333333333,3,1
race,Asian,0.1,0.2,0.1111111111111111,9,1
race,Caucasian,0.1,0.2,0.13678312458800262,3034,2
race,African-American,0.1,0.2,0.13,800,2
race,Asian,0.1,0.2,0.0,10,2
race,Indian,0.1,0.2,0.0,3,2
race,Other,0.1,0.2,0.12244897959183673,49,2
race,African-American,0.1,0.2,0.11973684210526316,760,3
race,Caucasian,0.1,0.2,0.14942528735632185,3306,3
race,Indian,0.1,0.2,0.25,4,3
race,Other,0.1,0.2,0.03125,64,3
