Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.03370696557245797,12490,0
race,Other,0.0,0.1,0.0297029702970297,303,0
race,African-American,0.0,0.1,0.03605870020964361,2385,0
race,Caucasian,0.0,0.1,0.03953112368633791,12370,1
race,African-American,0.0,0.1,0.03571428571428571,2380,1
race,Other,0.0,0.1,0.01929260450160772,311,1
race,Caucasian,0.0,0.1,0.03861003861003861,12173,2
race,African-American,0.0,0.1,0.04175365344467641,2395,2
race,Other,0.0,0.1,0.022950819672131147,305,2
race,Caucasian,0.0,0.1,0.0375813057094676,12453,3
race,African-American,0.0,0.1,0.04741000877963126,2278,3
race,Other,0.0,0.1,0.011560693641618497,346,3
race,Caucasian,0.0,0.1,0.03443328550932568,12546,4
race,African-American,0.0,0.1,0.03789198606271777,2296,4
race,Other,0.0,0.1,0.01694915254237288,295,4
race,Caucasian,0.1,0.2,0.11724694489278303,8674,0
race,Other,0.1,0.2,0.08333333333333333,348,0
race,African-American,0.1,0.2,0.11298315163528246,2018,0
race,Caucasian,0.1,0.2,0.11591981132075471,8480,1
race,African-American,0.1,0.2,0.09210526315789473,2052,1
race,Other,0.1,0.2,0.04819277108433735,332,1
race,Caucasian,0.1,0.2,0.1136123812873725,8529,2
race,African-American,0.1,0.2,0.09218825812712275,2061,2
race,Other,0.1,0.2,0.055710306406685235,359,2
race,Caucasian,0.1,0.2,0.11210070062937894,8421,3
race,African-American,0.1,0.2,0.09500959692898273,2084,3
race,Other,0.1,0.2,0.0392156862745098,357,3
race,Caucasian,0.1,0.2,0.11761291071635899,8613,4
race,African-American,0.1,0.2,0.10510805500982318,2036,4
race,Other,0.1,0.2,0.06116207951070336,327,4
race,Caucasian,0.2,0.3,0.23739810347695892,6011,0
race,Other,0.2,0.3,0.11428571428571428,105,0
race,African-American,0.2,0.3,0.2155425219941349,1364,0
race,Caucasian,0.2,0.3,0.236983842010772,6127,1
race,African-American,0.2,0.3,0.2172437202987101,1473,1
race,Other,0.2,0.3,0.16,100,1
race,Caucasian,0.2,0.3,0.2365470852017937,6244,2
race,African-American,0.2,0.3,0.2423611111111111,1440,2
race,Other,0.2,0.3,0.19469026548672566,113,2
race,Caucasian,0.2,0.3,0.2368206299983679,6127,3
race,African-American,0.2,0.3,0.23455933379597502,1441,3
race,Other,0.2,0.3,0.16483516483516483,91,3
race,Caucasian,0.2,0.3,0.24547890154052243,5972,4
race,African-American,0.2,0.3,0.236449864498645,1476,4
race,Other,0.2,0.3,0.11818181818181818,110,4
