Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Indian,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Indian,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Indian,0.0,0.1,,0,2
race,Asian,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Indian,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,Indian,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Asian,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Indian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.0,10,0
race,African-American,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,0.0,1,0
race,Indian,0.2,0.3,,0,0
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,3,1
race,Asian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,2,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Indian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,8,4
race,African-American,0.2,0.3,0.0,1,4
race,Other,0.2,0.3,0.0,2,4
race,Asian,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.023809523809523808,3738,0
race,African-American,0.3,0.4,0.014184397163120567,846,0
race,Other,0.3,0.4,0.0,131,0
race,Indian,0.3,0.4,0.0,3,0
race,Asian,0.3,0.4,0.14285714285714285,14,0
race,Caucasian,0.3,0.4,0.02490372272143774,3895,1
race,Asian,0.3,0.4,0.0,19,1
race,African-American,0.3,0.4,0.019801980198019802,909,1
race,Other,0.3,0.4,0.020134228187919462,149,1
race,Indian,0.3,0.4,0.0,5,1
race,Caucasian,0.3,0.4,0.011269722013523666,1331,2
race,African-American,0.3,0.4,0.018867924528301886,265,2
race,Other,0.3,0.4,0.0,55,2
race,Indian,0.3,0.4,0.0,1,2
race,Asian,0.3,0.4,0.0,4,2
race,Caucasian,0.3,0.4,0.024922918807810893,3892,3
race,African-American,0.3,0.4,0.01925254813137033,883,3
race,Other,0.3,0.4,0.006329113924050633,158,3
race,Asian,0.3,0.4,0.13333333333333333,15,3
race,Indian,0.3,0.4,0.09090909090909091,11,3
race,Caucasian,0.3,0.4,0.022066738428417654,3716,4
race,African-American,0.3,0.4,0.018626309662398137,859,4
race,Other,0.3,0.4,0.02459016393442623,122,4
race,Asian,0.3,0.4,0.0,12,4
race,Indian,0.3,0.4,0.0,4,4
race,Caucasian,0.4,0.5,0.03781117895725693,4258,0
