Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.004971869684678791,15286,0
race,African-American,0.0,0.1,0.006198347107438017,3388,0
race,Other,0.0,0.1,0.0,308,0
race,Indian,0.0,0.1,0.0,13,0
race,Asian,0.0,0.1,0.022727272727272728,44,0
race,Caucasian,0.0,0.1,0.006057014945026006,15189,1
race,Asian,0.0,0.1,0.0,68,1
race,African-American,0.0,0.1,0.0034403669724770644,3488,1
race,Other,0.0,0.1,0.003424657534246575,292,1
race,Indian,0.0,0.1,0.0,14,1
race,Caucasian,0.0,0.1,0.004643254201818063,15291,2
race,African-American,0.0,0.1,0.0053843852826802275,3343,2
race,Other,0.0,0.1,0.0,344,2
race,Indian,0.0,0.1,0.0,19,2
race,Asian,0.0,0.1,0.0,40,2
race,Caucasian,0.0,0.1,0.005773899350436323,15241,3
race,African-American,0.0,0.1,0.005717724947336744,3323,3
race,Other,0.0,0.1,0.0,348,3
race,Asian,0.0,0.1,0.0,51,3
race,Indian,0.0,0.1,0.0,22,3
race,Caucasian,0.0,0.1,0.004664608107220288,15221,4
race,African-American,0.0,0.1,0.005827505827505828,3432,4
race,Other,0.0,0.1,0.0031847133757961785,314,4
race,Asian,0.0,0.1,0.0,38,4
race,Indian,0.0,0.1,0.0,11,4
race,Caucasian,0.1,0.2,0.13076923076923078,130,0
race,African-American,0.1,0.2,0.03125,32,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.1391304347826087,115,1
race,Asian,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.08333333333333333,36,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.11940298507462686,134,2
race,African-American,0.1,0.2,0.13333333333333333,30,2
race,Other,0.1,0.2,0.0,1,2
race,Indian,0.1,0.2,,0,2
race,Asian,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,0.10526315789473684,133,3
race,African-American,0.1,0.2,0.04878048780487805,41,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Indian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.13013698630136986,146,4
race,African-American,0.1,0.2,0.2564102564102564,39,4
race,Other,0.1,0.2,0.0,1,4
race,Asian,0.1,0.2,,0,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.1875,32,3
race,African-American,0.2,0.3,0.09090909090909091,11,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Indian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Indian,0.3,0.4,,0,2
race,Asian,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Indian,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,Indian,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Indian,0.4,0.5,,0,0
race,Asian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Indian,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Indian,0.4,0.5,,0,2
race,Asian,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Asian,0.4,0.5,,0,3
race,Indian,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,Indian,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Indian,0.5,0.6,,0,0
