Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.00995837709573268,25707,0
race,Other,0.0,0.1,0.0,695,0
race,African-American,0.0,0.1,0.015953307392996108,5140,0
race,Caucasian,0.0,0.1,0.010770797430675232,25532,1
race,African-American,0.0,0.1,0.014304787335494945,5243,1
race,Other,0.0,0.1,0.0,696,1
race,Caucasian,0.0,0.1,0.009317621266100301,25543,2
race,African-American,0.0,0.1,0.013250047321597578,5283,2
race,Other,0.0,0.1,0.0014285714285714286,700,2
race,Caucasian,0.0,0.1,0.008957208792928108,25566,3
race,African-American,0.0,0.1,0.01641907740422205,5116,3
race,Other,0.0,0.1,0.0,716,3
race,Caucasian,0.0,0.1,0.009172163459661997,25621,4
race,African-American,0.0,0.1,0.013234721681588166,5138,4
race,Other,0.0,0.1,0.0030075187969924814,665,4
race,Caucasian,0.1,0.2,0.11053540587219343,1737,0
race,Other,0.1,0.2,0.11666666666666667,60,0
race,African-American,0.1,0.2,0.09197651663405088,511,0
race,Caucasian,0.1,0.2,0.11488862837045721,1706,1
race,African-American,0.1,0.2,0.13218390804597702,522,1
race,Other,0.1,0.2,0.06521739130434782,46,1
race,Caucasian,0.1,0.2,0.10640870616686819,1654,2
race,African-American,0.1,0.2,0.1252408477842004,519,2
race,Other,0.1,0.2,0.08695652173913043,69,2
race,Caucasian,0.1,0.2,0.11197604790419162,1670,3
race,African-American,0.1,0.2,0.13227513227513227,567,3
race,Other,0.1,0.2,0.0625,80,3
race,Caucasian,0.1,0.2,0.12180974477958237,1724,4
race,African-American,0.1,0.2,0.11992263056092843,517,4
race,Other,0.1,0.2,0.078125,64,4
race,Caucasian,0.2,0.3,0.21133525456292027,1041,0
race,Other,0.2,0.3,0.0,7,0
race,African-American,0.2,0.3,0.2474747474747475,396,0
race,Caucasian,0.2,0.3,0.23608617594254938,1114,1
race,African-American,0.2,0.3,0.23820754716981132,424,1
race,Other,0.2,0.3,0.5,10,1
race,Caucasian,0.2,0.3,0.23992994746059546,1142,2
race,African-American,0.2,0.3,0.24528301886792453,371,2
race,Other,0.2,0.3,0.3333333333333333,12,2
race,Caucasian,0.2,0.3,0.2514767932489452,1185,3
race,African-American,0.2,0.3,0.2734375,384,3
race,Other,0.2,0.3,0.2222222222222222,9,3
race,Caucasian,0.2,0.3,0.2436235708003518,1137,4
race,African-American,0.2,0.3,0.24519230769230768,416,4
race,Other,0.2,0.3,0.2727272727272727,11,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
