Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.050360288230584464,12490,0
race,Other,0.0,0.1,0.013201320132013201,303,0
race,African-American,0.0,0.1,0.04947589098532495,2385,0
race,Caucasian,0.0,0.1,0.05262732417138238,12370,1
race,African-American,0.0,0.1,0.06092436974789916,2380,1
race,Other,0.0,0.1,0.012861736334405145,311,1
race,Caucasian,0.0,0.1,0.0549576932555656,12173,2
race,African-American,0.0,0.1,0.05887265135699374,2395,2
race,Other,0.0,0.1,0.013114754098360656,305,2
race,Caucasian,0.0,0.1,0.04994780374207018,12453,3
race,African-American,0.0,0.1,0.05267778753292362,2278,3
race,Other,0.0,0.1,0.011560693641618497,346,3
race,Caucasian,0.0,0.1,0.05595408895265423,12546,4
race,African-American,0.0,0.1,0.050522648083623695,2296,4
race,Other,0.0,0.1,0.0,295,4
race,Caucasian,0.1,0.2,0.13487657966221803,8467,0
race,Other,0.1,0.2,0.06896551724137931,348,0
race,African-American,0.1,0.2,0.11353269133299544,1973,0
race,Caucasian,0.1,0.2,0.13184019370460048,8260,1
race,African-American,0.1,0.2,0.12127236580516898,2012,1
race,Other,0.1,0.2,0.054380664652567974,331,1
race,Caucasian,0.1,0.2,0.12986387182267198,8301,2
race,African-American,0.1,0.2,0.11446977205153618,2018,2
race,Other,0.1,0.2,0.07282913165266107,357,2
race,Caucasian,0.1,0.2,0.13000121610117962,8223,3
race,African-American,0.1,0.2,0.12812960235640647,2037,3
race,Other,0.1,0.2,0.05056179775280899,356,3
race,Caucasian,0.1,0.2,0.1323424494649227,8410,4
race,African-American,0.1,0.2,0.13668341708542714,1990,4
race,Other,0.1,0.2,0.06116207951070336,327,4
race,Caucasian,0.2,0.3,0.2397223705285638,5619,0
race,Other,0.2,0.3,0.10891089108910891,101,0
race,African-American,0.2,0.3,0.2505800464037123,1293,0
race,Caucasian,0.2,0.3,0.24736286919831224,5688,1
race,African-American,0.2,0.3,0.24107793153678078,1373,1
race,Other,0.2,0.3,0.11827956989247312,93,1
race,Caucasian,0.2,0.3,0.24162802679031428,5823,2
race,African-American,0.2,0.3,0.2717149220489978,1347,2
race,Other,0.2,0.3,0.18867924528301888,106,2
race,Caucasian,0.2,0.3,0.24872918492550394,5705,3
race,African-American,0.2,0.3,0.23872875092387288,1353,3
race,Other,0.2,0.3,0.10227272727272728,88,3
race,Caucasian,0.2,0.3,0.2522636725823977,5522,4
race,African-American,0.2,0.3,0.2658412235979607,1373,4
race,Other,0.2,0.3,0.102803738317757,107,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.4253535882661079,1909,0
race,Other,0.5,0.6,0.2,10,0
race,African-American,0.5,0.6,0.46464646464646464,396,0
race,Caucasian,0.5,0.6,0.4110127826941986,2034,1
race,African-American,0.5,0.6,0.4740566037735849,424,1
race,Other,0.5,0.6,0.17647058823529413,17,1
race,Caucasian,0.5,0.6,0.4285014691478942,2042,2
race,African-American,0.5,0.6,0.44794188861985473,413,2
race,Other,0.5,0.6,0.23076923076923078,13,2
race,Caucasian,0.5,0.6,0.4372549019607843,2040,3
race,African-American,0.5,0.6,0.45864661654135336,399,3
race,Other,0.5,0.6,0.4,15,3
race,Caucasian,0.5,0.6,0.4161676646706587,2004,4
race,African-American,0.5,0.6,0.49271844660194175,412,4
race,Other,0.5,0.6,0.36363636363636365,11,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
