Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.15383990907614872,12318,0
race,Other,0.1,0.2,0.09411764705882353,510,0
race,African-American,0.1,0.2,0.16953762466001812,2206,0
race,Caucasian,0.1,0.2,0.1519291273389634,12078,1
race,African-American,0.1,0.2,0.16112881201638599,2197,1
race,Other,0.1,0.2,0.07692307692307693,494,1
race,Caucasian,0.1,0.2,0.1525960496708059,11999,2
race,African-American,0.1,0.2,0.17126073203795752,2213,2
race,Other,0.1,0.2,0.09710743801652892,484,2
race,Caucasian,0.1,0.2,0.14668935894318827,12339,3
race,African-American,0.1,0.2,0.16944444444444445,2160,3
race,Other,0.1,0.2,0.07865168539325842,534,3
race,Caucasian,0.1,0.2,0.1520051746442432,12368,4
race,African-American,0.1,0.2,0.1694997571636717,2059,4
race,Other,0.1,0.2,0.08835341365461848,498,4
race,Caucasian,0.2,0.3,0.2799442896935933,8616,0
race,Other,0.2,0.3,0.1794871794871795,195,0
race,African-American,0.2,0.3,0.25105982100800756,2123,0
race,Caucasian,0.2,0.3,0.28881159420289854,8625,1
race,African-American,0.2,0.3,0.2650323774283071,2162,1
race,Other,0.2,0.3,0.14594594594594595,185,1
race,Caucasian,0.2,0.3,0.28777738640366324,8517,2
race,African-American,0.2,0.3,0.2690520446096654,2152,2
race,Other,0.2,0.3,0.17040358744394618,223,2
race,Caucasian,0.2,0.3,0.2868891537544696,8390,3
race,African-American,0.2,0.3,0.28022232515053264,2159,3
race,Other,0.2,0.3,0.1044776119402985,201,3
race,Caucasian,0.2,0.3,0.28714622641509435,8480,4
race,African-American,0.2,0.3,0.25910364145658266,2142,4
race,Other,0.2,0.3,0.18579234972677597,183,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.45516528925619837,4840,0
race,Other,0.5,0.6,0.29545454545454547,44,0
race,African-American,0.5,0.6,0.4495575221238938,1130,0
race,Caucasian,0.5,0.6,0.46683199008059517,4839,1
race,African-American,0.5,0.6,0.4548440065681445,1218,1
race,Other,0.5,0.6,0.3148148148148148,54,1
race,Caucasian,0.5,0.6,0.47109250398724084,5016,2
race,African-American,0.5,0.6,0.4441687344913151,1209,2
race,Other,0.5,0.6,0.3392857142857143,56,2
race,Caucasian,0.5,0.6,0.47503095336359885,4846,3
race,African-American,0.5,0.6,0.44667832167832167,1144,3
race,Other,0.5,0.6,0.22641509433962265,53,3
race,Caucasian,0.5,0.6,0.4663223140495868,4840,4
race,African-American,0.5,0.6,0.4600164880461665,1213,4
race,Other,0.5,0.6,0.21739130434782608,46,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
