Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.025653554849743465,20465,0
race,Other,0.0,0.1,0.0031446540880503146,636,0
race,African-American,0.0,0.1,0.0332094175960347,4035,0
race,Caucasian,0.0,0.1,0.025715409578129608,20338,1
race,African-American,0.0,0.1,0.0343558282208589,4075,1
race,Other,0.0,0.1,0.0016207455429497568,617,1
race,Caucasian,0.0,0.1,0.029293645168910937,21165,2
race,African-American,0.0,0.1,0.043343653250773995,4199,2
race,Other,0.0,0.1,0.01729106628242075,694,2
race,Caucasian,0.0,0.1,0.025983558426306518,20436,3
race,African-American,0.0,0.1,0.039111784002018674,3963,3
race,Other,0.0,0.1,0.001557632398753894,642,3
race,Caucasian,0.0,0.1,0.028947491685793244,21349,4
race,African-American,0.0,0.1,0.039757575757575755,4125,4
race,Other,0.0,0.1,0.012195121951219513,656,4
race,Caucasian,0.1,0.2,0.08669085354210426,5237,0
race,Other,0.1,0.2,0.14130434782608695,92,0
race,African-American,0.1,0.2,0.1238003838771593,1042,0
race,Caucasian,0.1,0.2,0.09213270142180095,5275,1
race,African-American,0.1,0.2,0.12888482632541134,1094,1
race,Other,0.1,0.2,0.11956521739130435,92,1
race,Caucasian,0.1,0.2,0.09310009718172983,5145,2
race,African-American,0.1,0.2,0.13702848344880678,1299,2
race,Other,0.1,0.2,0.15873015873015872,63,2
race,Caucasian,0.1,0.2,0.08663224325874928,5229,3
race,African-American,0.1,0.2,0.1275465013286094,1129,3
race,Other,0.1,0.2,0.09401709401709402,117,3
race,Caucasian,0.1,0.2,0.10344827586206896,5104,4
race,African-American,0.1,0.2,0.12652068126520682,1233,4
race,Other,0.1,0.2,0.12307692307692308,65,4
race,Caucasian,0.2,0.3,0.22925659472422064,2085,0
race,Other,0.2,0.3,0.17857142857142858,28,0
race,African-American,0.2,0.3,0.2824858757062147,708,0
race,Caucasian,0.2,0.3,0.24542305789213262,2021,1
race,African-American,0.2,0.3,0.298050139275766,718,1
race,Other,0.2,0.3,0.23529411764705882,34,1
race,Caucasian,0.2,0.3,0.3010408326661329,1249,2
race,African-American,0.2,0.3,0.3520408163265306,392,2
race,Other,0.2,0.3,0.4444444444444444,18,2
