Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.044929718875502005,3984,0
race,Caucasian,0.0,0.1,0.06493955094991365,17370,0
race,Other,0.0,0.1,0.011235955056179775,623,0
race,Caucasian,0.0,0.1,0.06401249024199844,17934,1
race,Other,0.0,0.1,0.006514657980456026,614,1
race,African-American,0.0,0.1,0.0370722433460076,4208,1
race,African-American,0.0,0.1,0.04471931493815414,4204,2
race,Caucasian,0.0,0.1,0.06054752180152335,18118,2
race,Other,0.0,0.1,0.011532125205930808,607,2
race,Caucasian,0.0,0.1,0.06340589848340701,17869,3
race,African-American,0.0,0.1,0.040213178294573645,4128,3
race,Other,0.0,0.1,0.015772870662460567,634,3
race,Caucasian,0.0,0.1,0.05654814552744855,16959,4
race,Other,0.0,0.1,0.01692047377326565,591,4
race,African-American,0.0,0.1,0.046094750320102434,3905,4
race,African-American,0.1,0.2,0.10462130937098844,1558,0
race,Caucasian,0.1,0.2,0.14587426326129665,8144,0
race,Other,0.1,0.2,0.08208955223880597,134,0
race,Caucasian,0.1,0.2,0.15872627066748315,8165,1
race,Other,0.1,0.2,0.0546875,128,1
race,African-American,0.1,0.2,0.12046632124352331,1544,1
race,African-American,0.1,0.2,0.12294496068620443,1399,2
race,Caucasian,0.1,0.2,0.14569448147160757,7502,2
race,Other,0.1,0.2,0.0743801652892562,121,2
race,Caucasian,0.1,0.2,0.16141487109229044,8029,3
race,African-American,0.1,0.2,0.12491738268341045,1513,3
race,Other,0.1,0.2,0.05228758169934641,153,3
race,Caucasian,0.1,0.2,0.152047450667275,8767,4
race,Other,0.1,0.2,0.033783783783783786,148,4
race,African-American,0.1,0.2,0.10918253079507279,1786,4
race,African-American,0.2,0.3,0.16019417475728157,412,0
race,Caucasian,0.2,0.3,0.22381378692927484,2234,0
race,Other,0.2,0.3,0.07142857142857142,14,0
race,Caucasian,0.2,0.3,0.2466755319148936,1504,1
race,Other,0.2,0.3,0.17647058823529413,17,1
race,African-American,0.2,0.3,0.26459143968871596,257,1
race,African-American,0.2,0.3,0.16879795396419436,391,2
race,Caucasian,0.2,0.3,0.2266928361138371,2038,2
race,Other,0.2,0.3,0.2,15,2
race,Caucasian,0.2,0.3,0.23354430379746835,1580,3
race,African-American,0.2,0.3,0.22327044025157233,318,3
race,Other,0.2,0.3,0.15384615384615385,13,3
race,Caucasian,0.2,0.3,0.21137724550898204,1670,4
race,Other,0.2,0.3,0.1,10,4
race,African-American,0.2,0.3,0.1848184818481848,303,4
race,African-American,0.3,0.4,0.32051282051282054,78,0
race,Caucasian,0.3,0.4,0.34206219312602293,611,0
race,Other,0.3,0.4,0.6666666666666666,3,0
race,Caucasian,0.3,0.4,0.28114478114478114,594,1
race,Other,0.3,0.4,0.0,5,1
race,African-American,0.3,0.4,0.20353982300884957,113,1
race,African-American,0.3,0.4,0.1919191919191919,99,2
race,Caucasian,0.3,0.4,0.30449251247920134,601,2
race,Other,0.3,0.4,0.0,4,2
race,Caucasian,0.3,0.4,0.28910614525139666,716,3
race,African-American,0.3,0.4,0.23076923076923078,104,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.32365591397849464,930,4
race,Other,0.3,0.4,0.0,3,4
race,African-American,0.3,0.4,0.2857142857142857,140,4
race,African-American,0.4,0.5,0.3333333333333333,3,0
race,Caucasian,0.4,0.5,0.3157894736842105,19,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.3670886075949367,158,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.3684210526315789,19,1
race,African-American,0.4,0.5,0.6,15,2
race,Caucasian,0.4,0.5,0.4094488188976378,127,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.34810126582278483,158,3
race,African-American,0.4,0.5,0.35294117647058826,17,3
race,Other,0.4,0.5,0.5,2,3
race,Caucasian,0.4,0.5,0.3488372093023256,43,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.0,4,4
race,African-American,0.5,0.6,0.3333333333333333,9,0
race,Caucasian,0.5,0.6,0.38202247191011235,89,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.2727272727272727,11,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.6666666666666666,3,1
race,African-American,0.5,0.6,0.5,4,2
race,Caucasian,0.5,0.6,0.21052631578947367,19,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.3333333333333333,39,3
race,African-American,0.5,0.6,0.6666666666666666,3,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.16666666666666666,6,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.5,2,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,2,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.2,10,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,0.0,2,2
race,Caucasian,0.6,0.7,1.0,1,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.125,8,3
race,African-American,0.6,0.7,0.25,4,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.4,5,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.0,3,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.0,1,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.3333333333333333,3,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,0.0,2,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,3,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,0.0,2,2
race,Caucasian,0.8,0.9,0.5555555555555556,9,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
