Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.057018482837365304,14013,0
race,Other,0.0,0.1,0.019342359767891684,517,0
race,African-American,0.0,0.1,0.040141297366730895,3114,0
race,Caucasian,0.0,0.1,0.054612439500108356,13843,1
race,African-American,0.0,0.1,0.04002561639449247,3123,1
race,Other,0.0,0.1,0.011450381679389313,524,1
race,Caucasian,0.0,0.1,0.05726872246696035,13620,2
race,African-American,0.0,0.1,0.035076530612244895,3136,2
race,Other,0.0,0.1,0.005802707930367505,517,2
race,Caucasian,0.0,0.1,0.053468624064478984,13896,3
race,African-American,0.0,0.1,0.03290974258716194,3069,3
race,Other,0.0,0.1,0.010582010582010581,567,3
race,Caucasian,0.0,0.1,0.056,14000,4
race,African-American,0.0,0.1,0.036963696369636964,3030,4
race,Other,0.0,0.1,0.008146639511201629,491,4
race,Caucasian,0.1,0.2,0.12984565685570712,11144,0
race,Other,0.1,0.2,0.045454545454545456,198,0
race,African-American,0.1,0.2,0.09011988424968996,2419,0
race,Caucasian,0.1,0.2,0.13540350243726304,11078,1
race,African-American,0.1,0.2,0.08614529575228265,2519,1
race,Other,0.1,0.2,0.04522613065326633,199,1
race,Caucasian,0.1,0.2,0.13487750556792874,11225,2
race,African-American,0.1,0.2,0.09736632083000799,2506,2
race,Other,0.1,0.2,0.04035874439461883,223,2
race,Caucasian,0.1,0.2,0.1318533165558152,11126,3
race,African-American,0.1,0.2,0.09219001610305957,2484,3
race,Other,0.1,0.2,0.03431372549019608,204,3
race,Caucasian,0.1,0.2,0.14174566267215166,11182,4
race,African-American,0.1,0.2,0.1068,2500,4
race,Other,0.1,0.2,0.04265402843601896,211,4
race,Caucasian,0.2,0.3,0.21033653846153846,3328,0
race,Other,0.2,0.3,0.0851063829787234,47,0
race,African-American,0.2,0.3,0.20428015564202334,514,0
race,Caucasian,0.2,0.3,0.22704750801515594,3431,1
race,African-American,0.2,0.3,0.19926873857404023,547,1
race,Other,0.2,0.3,0.10344827586206896,29,1
race,Caucasian,0.2,0.3,0.21036061820263308,3494,2
race,African-American,0.2,0.3,0.192090395480226,531,2
