Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,0.02398720682302772,1876,0
race,Other,0.4,0.5,0.0,72,0
race,African-American,0.4,0.5,0.004672897196261682,214,0
race,Caucasian,0.4,0.5,0.016190881976991905,2347,1
race,African-American,0.4,0.5,0.03076923076923077,260,1
race,Other,0.4,0.5,0.014925373134328358,67,1
race,Caucasian,0.4,0.5,0.02164685908319185,2356,2
race,African-American,0.4,0.5,0.021505376344086023,279,2
race,Other,0.4,0.5,0.0,73,2
race,Caucasian,0.4,0.5,0.019144602851323828,2455,3
race,African-American,0.4,0.5,0.00796812749003984,251,3
race,Other,0.4,0.5,0.0,84,3
race,Caucasian,0.4,0.5,0.02457002457002457,2442,4
race,African-American,0.4,0.5,0.014218009478672985,211,4
race,Other,0.4,0.5,0.0,75,4
race,Caucasian,0.5,0.6,0.03881843489019487,6466,0
race,Other,0.5,0.6,0.01744186046511628,172,0
race,African-American,0.5,0.6,0.03477443609022556,1064,0
race,Caucasian,0.5,0.6,0.03876232573954437,5882,1
race,African-American,0.5,0.6,0.04033092037228542,967,1
race,Other,0.5,0.6,0.006024096385542169,166,1
race,Caucasian,0.5,0.6,0.041595049845307666,5818,2
race,African-American,0.5,0.6,0.04270109235352532,1007,2
race,Other,0.5,0.6,0.00641025641025641,156,2
race,Caucasian,0.5,0.6,0.03680981595092025,6031,3
race,African-American,0.5,0.6,0.04116465863453815,996,3
race,Other,0.5,0.6,0.005917159763313609,169,3
race,Caucasian,0.5,0.6,0.042108753315649866,6032,4
race,African-American,0.5,0.6,0.033099297893681046,997,4
race,Other,0.5,0.6,0.0,151,4
race,Caucasian,0.6,0.7,0.07363968467602384,5201,0
race,Other,0.6,0.7,0.04477611940298507,201,0
race,African-American,0.6,0.7,0.05283757338551859,1022,0
race,Caucasian,0.6,0.7,0.0790914621780572,4931,1
race,African-American,0.6,0.7,0.07317073170731707,1107,1
race,Other,0.6,0.7,0.046153846153846156,195,1
race,Caucasian,0.6,0.7,0.08003992015968064,5010,2
race,African-American,0.6,0.7,0.0739404869251578,1109,2
race,Other,0.6,0.7,0.03940886699507389,203,2
race,Caucasian,0.6,0.7,0.07711301044634378,5265,3
race,African-American,0.6,0.7,0.053881278538812784,1095,3
