Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.09811320754716982,530,0
race,Caucasian,0.0,0.1,0.08695652173913043,4577,0
race,Other,0.0,0.1,0.024509803921568627,204,0
race,Caucasian,0.0,0.1,0.09192106594703997,5929,1
race,Other,0.0,0.1,0.00784313725490196,255,1
race,African-American,0.0,0.1,0.08680142687277051,841,1
race,African-American,0.0,0.1,0.09079601990049752,804,2
race,Caucasian,0.0,0.1,0.09202059202059203,6216,2
race,Other,0.0,0.1,0.04395604395604396,273,2
race,Caucasian,0.0,0.1,0.09437327712015567,6167,3
race,African-American,0.0,0.1,0.0713436385255648,841,3
race,Other,0.0,0.1,0.03859649122807018,285,3
race,Caucasian,0.0,0.1,0.07633111480865225,4808,4
race,Other,0.0,0.1,0.04591836734693878,196,4
race,African-American,0.0,0.1,0.07647058823529412,510,4
race,African-American,0.1,0.2,0.1552511415525114,2847,0
race,Caucasian,0.1,0.2,0.16154712126085558,12436,0
race,Other,0.1,0.2,0.05309734513274336,452,0
race,Caucasian,0.1,0.2,0.16209137646716462,10309,1
race,Other,0.1,0.2,0.042134831460674156,356,1
race,African-American,0.1,0.2,0.1436105476673428,2465,1
race,African-American,0.1,0.2,0.146374829001368,2193,2
race,Caucasian,0.1,0.2,0.15816758358019467,9452,2
race,Other,0.1,0.2,0.05263157894736842,323,2
race,Caucasian,0.1,0.2,0.1623055480622246,11121,3
race,African-American,0.1,0.2,0.15592680986475735,2514,3
race,Other,0.1,0.2,0.06299212598425197,381,3
race,Caucasian,0.1,0.2,0.15837025453913647,11511,4
race,Other,0.1,0.2,0.06791569086651054,427,4
race,African-American,0.1,0.2,0.14644042788638878,2711,4
race,African-American,0.2,0.3,0.22389558232931728,996,0
race,Caucasian,0.2,0.3,0.23968139029688632,4143,0
race,Other,0.2,0.3,0.16216216216216217,74,0
race,Caucasian,0.2,0.3,0.24891488960181166,5299,1
race,Other,0.2,0.3,0.07777777777777778,90,1
race,African-American,0.2,0.3,0.23035439137134053,1298,1
race,African-American,0.2,0.3,0.22777017783857728,1462,2
race,Caucasian,0.2,0.3,0.23511904761904762,5712,2
race,Other,0.2,0.3,0.061224489795918366,98,2
race,Caucasian,0.2,0.3,0.25302663438256656,4130,3
race,African-American,0.2,0.3,0.2399650959860384,1146,3
race,Other,0.2,0.3,0.07142857142857142,84,3
race,Caucasian,0.2,0.3,0.2465557344784398,5589,4
race,Other,0.2,0.3,0.14772727272727273,88,4
race,African-American,0.2,0.3,0.25427350427350426,1404,4
