Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.0,841,0
race,Other,0.3,0.4,0.0,22,0
race,African-American,0.3,0.4,0.0,80,0
race,Caucasian,0.3,0.4,0.0,279,1
race,African-American,0.3,0.4,0.0,21,1
race,Other,0.3,0.4,0.0,12,1
race,Caucasian,0.3,0.4,0.0,195,2
race,African-American,0.3,0.4,0.0,13,2
race,Other,0.3,0.4,0.0,10,2
race,Caucasian,0.3,0.4,0.0,278,3
race,African-American,0.3,0.4,0.0,24,3
race,Other,0.3,0.4,0.0,5,3
race,Caucasian,0.3,0.4,0.0,816,4
race,African-American,0.3,0.4,0.0,51,4
race,Other,0.3,0.4,0.0,19,4
race,Caucasian,0.4,0.5,0.002103049421661409,951,0
race,Other,0.4,0.5,0.0,37,0
race,African-American,0.4,0.5,0.0,88,0
race,Caucasian,0.4,0.5,0.0,1067,1
race,African-American,0.4,0.5,0.0,99,1
race,Other,0.4,0.5,0.0,27,1
race,Caucasian,0.4,0.5,0.0007886435331230284,1268,2
race,African-American,0.4,0.5,0.0,131,2
race,Other,0.4,0.5,0.0,32,2
race,Caucasian,0.4,0.5,0.0013559322033898306,1475,3
race,African-American,0.4,0.5,0.0,121,3
race,Other,0.4,0.5,0.0,57,3
race,Caucasian,0.4,0.5,0.0019305019305019305,1036,4
race,African-American,0.4,0.5,0.0,93,4
race,Other,0.4,0.5,0.0,37,4
race,Caucasian,0.5,0.6,0.0019945150835203192,4011,0
race,Other,0.5,0.6,0.0,177,0
race,African-American,0.5,0.6,0.0,493,0
race,Caucasian,0.5,0.6,0.0023492560689115116,3831,1
race,African-American,0.5,0.6,0.0,445,1
race,Other,0.5,0.6,0.0,159,1
race,Caucasian,0.5,0.6,0.0021733224667209996,3681,2
race,African-American,0.5,0.6,0.002188183807439825,457,2
race,Other,0.5,0.6,0.0,163,2
race,Caucasian,0.5,0.6,0.0015910898965791568,3771,3
race,African-American,0.5,0.6,0.0,457,3
race,Other,0.5,0.6,0.0,162,3
race,Caucasian,0.5,0.6,0.0020964360587002098,3816,4
race,African-American,0.5,0.6,0.0,451,4
race,Other,0.5,0.6,0.0,164,4
race,Caucasian,0.6,0.7,0.005902454178316247,6438,0
race,Other,0.6,0.7,0.0,238,0
race,African-American,0.6,0.7,0.0015698587127158557,1274,0
race,Caucasian,0.6,0.7,0.006166122597025753,5514,1
race,African-American,0.6,0.7,0.0057306590257879654,1047,1
race,Other,0.6,0.7,0.0,203,1
race,Caucasian,0.6,0.7,0.004789670970428988,4802,2
race,African-American,0.6,0.7,0.0,938,2
race,Other,0.6,0.7,0.0049504950495049506,202,2
race,Caucasian,0.6,0.7,0.004437869822485207,6084,3
race,African-American,0.6,0.7,0.002533783783783784,1184,3
race,Other,0.6,0.7,0.0,240,3
race,Caucasian,0.6,0.7,0.004605263157894736,6080,4
