Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9771560999834464,0.0008463100880162492,1.0,0.9763479986768111,27.6,6046,0
race,African-American,0.0,0.9768917819365338,0.00016655562958027982,1.0,0.9767328343638139,142.0,6146,1
race,African-American,0.5,0.9774399215301618,0.00016722408026755852,0.9928057553956835,0.9772838699133846,138.0,6119,2
race,African-American,0.0,0.9756698997205326,0.00100993098804915,1.0,0.9747084907209722,24.666666666666668,6089,3
race,African-American,0.0,0.9747762408462164,0.0003337783711615487,1.0,0.9744590857328779,77.5,6147,4
race,Caucasian,0.16666666666666666,0.9649005691799593,0.00036399373930768393,0.998001998001998,0.964564163798553,99.9,28474,0
race,Caucasian,0.0,0.9647664012402227,3.651900814373882e-05,1.0,0.9647324102455695,1000.0,28383,1
race,Caucasian,0.07692307692307693,0.967023298374041,0.00043653825166430207,0.9989339019189766,0.966616245119077,78.08333333333333,28427,2
race,Caucasian,0.058823529411764705,0.9655451823146027,0.0005834518469897531,0.9989785495403473,0.9650024646151679,61.125,28402,3
race,Caucasian,0.0,0.9661745533984003,0.0004374293733824226,1.0,0.9657662099813334,80.0,28393,4
race,Other,0.0,0.9896640826873385,0.0,1.0,0.9896640826873385,inf,774,0
race,Other,0.0,0.9921465968586387,0.0,1.0,0.9921465968586387,inf,764,1
race,Other,0.0,0.9879518072289156,0.0,1.0,0.9879518072289156,inf,747,2
race,Other,0.0,0.9887780548628429,0.0,1.0,0.9887780548628429,inf,802,3
race,Other,0.0,0.9907038512616202,0.0,1.0,0.9907038512616202,inf,753,4
sex,female,0.0,0.9679065021797607,0.0003831784653702462,1.0,0.9675475197032916,86.5,10785,0
sex,female,0.0,0.9727214081651461,0.0,1.0,0.9727214081651461,inf,10851,1
sex,female,0.16666666666666666,0.9707765098803228,0.0004776005349125991,0.9968354430379747,0.9703291608715809,63.0,10785,2
sex,female,0.0,0.9691588785046729,0.000385579332947754,1.0,0.968796711509716,82.5,10704,3
sex,female,0.0,0.9712415890865518,0.0007586533902323376,1.0,0.9705259279727365,39.0,10857,4
sex,male,0.15384615384615385,0.9673824297844547,0.00046397840391429056,0.9975031210986267,0.9669509159900445,72.63636363636364,24509,0
sex,male,0.0,0.965139116202946,8.47816871555744e-05,1.0,0.9650601423778742,426.0,24442,1
sex,male,0.1111111111111111,0.9686109637128046,0.00033701238520515627,0.9987012987012988,0.968296066590501,96.125,24508,2
sex,male,0.05263157894736842,0.9672364672364673,0.0007568431232392886,0.9987593052109182,0.9665297490747895,44.72222222222222,24589,3
sex,male,0.0,0.966844044207941,0.00025395750444425635,1.0,0.9666066459322311,135.0,24436,4
