Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.024151080443072452,0.9907235621521335,0.9096140825998645,0.036231884057971016,0.11032087330466424,0.0009304056568663938,6046,0
race,African-American,0.02563156924211691,0.995850622406639,0.8800799467021986,0.02112676056338028,0.13976570126911814,0.0005677517032551098,6146,1
race,African-American,0.024720317574882713,0.9965337954939342,0.9038461538461539,0.014388489208633094,0.11635888217028927,0.0003700277520814061,6119,2
race,African-American,0.027226318774815655,0.995,0.8660158222521461,0.02702702702702703,0.15437674494990966,0.0007774538386783285,6089,3
race,African-American,0.02949626508331737,0.9989200863930886,0.8456275033377837,0.0064516129032258064,0.1755327802179925,0.00019735543714229328,6147,4
race,Caucasian,0.0379560915275201,0.9926979246733282,0.9059804171368252,0.01898101898101898,0.12520193861066237,0.0007633587786259542,28474,0
race,Caucasian,0.03872365570218633,0.9943295530353569,0.8911368367235146,0.017,0.13966106472184053,0.0006966642078518155,28383,1
race,Caucasian,0.03606392446697365,0.9976780185758514,0.9062170322674524,0.006396588486140725,0.12347416188834559,0.0002408574525310104,28427,2
race,Caucasian,0.03884434057299432,0.99581589958159,0.8698173066404113,0.015321756894790603,0.15963664530666855,0.0006288517167651867,28402,3
race,Caucasian,0.038539469875532396,0.9933491686460808,0.8475558633762257,0.029166666666666667,0.18011481703236712,0.0012042492796008773,28393,4
race,Other,0.011644832605531296,1.0,0.8864229765013055,0.0,0.1227390180878553,0.0,774,0
race,Other,0.009077155824508321,1.0,0.8641160949868074,0.0,0.14267015706806283,0.0,764,1
race,Other,0.013452914798206279,1.0,0.8943089430894309,0.0,0.11646586345381527,0.0,747,2
race,Other,0.011461318051575931,0.9903846153846154,0.8701134930643127,0.1111111111111111,0.13840399002493767,0.0014492753623188406,802,3
race,Other,0.009569377990430622,0.9920634920634921,0.8324396782841823,0.14285714285714285,0.17397078353253653,0.001610305958132045,753,4
sex,female,0.03484247861464636,0.9899916597164303,0.8862917904013794,0.03468208092485549,0.14102920723226703,0.0012970168612191958,10785,0
sex,female,0.030821917808219176,0.9946914399469144,0.8579819990525818,0.02702702702702703,0.16468528246244585,0.0008833922261484099,10851,1
sex,female,0.03323485967503693,0.9992348890589136,0.8752507402808292,0.0031645569620253164,0.150301344459898,0.00010913456291607552,10785,2
sex,female,0.03655234657039711,0.9967391304347826,0.8232118758434548,0.01818181818181818,0.20160687593423018,0.000702576112412178,10704,3
sex,female,0.0344474761255116,0.9956331877729258,0.8054054054054054,0.028846153846153848,0.21691074882564243,0.0010596962204168139,10857,4
sex,male,0.035097864768683276,0.9940857565303105,0.9149232326640796,0.0149812734082397,0.11448855522461136,0.0005532248397953068,24509,0
sex,male,0.03796610169491525,0.9948208890807078,0.9022891055532005,0.014084507042253521,0.1286719581049014,0.0005637773079633545,24442,1
sex,male,0.03379695251594614,0.9963768115942029,0.9189063948100092,0.00909090909090909,0.1096784723355639,0.0003209095493513043,24508,2
sex,male,0.03609845031905196,0.994714986787467,0.8892065761258041,0.017369727047146403,0.13937126357314247,0.0006620011348590884,24589,3
sex,male,0.0371556392747822,0.993439550140581,0.8654025226445441,0.025925925925925925,0.16242429202815517,0.0010270957644527047,24436,4
