Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.4,0.951829167356398,0.0005214670606640013,0.9931740614334471,0.9513728084684089,97.0,6046,0
race,African-American,0.4,0.9514737013515714,0.0005131713992473486,0.9933333333333333,0.9510250569476082,99.33333333333333,6146,1
race,African-American,0.07692307692307693,0.9436619718309859,0.0020782819535850364,0.9971014492753624,0.9418205589148554,28.666666666666668,6119,2
race,African-American,0.2727272727272727,0.9480092135570911,0.0013864818024263432,0.9905956112852664,0.9467892921662013,39.5,6089,3
race,African-American,0.14285714285714285,0.9444625407166124,0.0010335917312661498,0.9970760233918129,0.9435496990401822,56.833333333333336,6147,4
race,Caucasian,0.18181818181818182,0.9478771263883031,0.0006669878089450476,0.9973100201748487,0.9472852426775303,82.38888888888889,28474,0
race,Caucasian,0.17142857142857143,0.9456399040496684,0.0010806379490236994,0.9961215255332903,0.9446851988866575,53.13793103448276,28383,1
race,Caucasian,0.23076923076923078,0.9487694802905295,0.0018546681998590452,0.9897820163487738,0.9471277306785802,29.06,28427,2
race,Caucasian,0.2826086956521739,0.9476301311891663,0.0012265834076717217,0.9913217623497997,0.9465530596436871,45.0,28402,3
race,Caucasian,0.11428571428571428,0.9492206784681572,0.0011503209766596163,0.997229916897507,0.9481914556404748,46.45161290322581,28393,4
race,Other,0.0,0.9818652849740933,0.002631578947368421,1.0,0.979328165374677,7.0,774,0
race,Other,0.0,0.9698952879581152,0.0,1.0,0.9698952879581152,inf,764,1
race,Other,0.0,0.9879194630872483,0.0027100271002710027,1.0,0.9852744310575636,4.5,747,2
race,Other,0.0,0.985,0.002531645569620253,1.0,0.9825436408977556,6.0,802,3
race,Other,0.0,0.9800796812749004,0.0,1.0,0.9800796812749004,inf,753,4
sex,female,0.14285714285714285,0.953980330302468,0.0005832037325038881,0.9979879275653923,0.9534538711172925,82.66666666666667,10785,0
sex,female,0.16666666666666666,0.9542646380820655,0.0004829051574270813,0.9979879275653923,0.9538291401714127,99.2,10851,1
sex,female,0.09090909090909091,0.9548453033540835,0.0019423132951345051,0.9959016393442623,0.9530829856281873,24.3,10785,2
sex,female,0.3333333333333333,0.9570707070707071,0.0007811737135045405,0.9913606911447084,0.9563714499252616,57.375,10704,3
sex,female,0.07692307692307693,0.9540759867207672,0.0011585248117397182,0.9979959919839679,0.9530256977065488,41.5,10857,4
sex,male,0.22727272727272727,0.9472373095928451,0.000732379803549888,0.9961449498843485,0.9465910481863805,76.0,24509,0
sex,male,0.20588235294117646,0.944034742707309,0.0011704018379643678,0.9949016751638747,0.9430079371573521,50.592592592592595,24442,1
sex,male,0.2413793103448276,0.9460122699386503,0.0018986795546733408,0.9895052473763118,0.9443447037701975,30.0,24508,2
sex,male,0.2553191489361702,0.9448292722679488,0.0015071265555699092,0.9912152269399708,0.9435113262027736,38.68571428571428,24589,3
sex,male,0.13793103448275862,0.9468185356659975,0.001080660499697415,0.9969278033794163,0.9458585693239483,51.92,24436,4
