Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.2857142857142857,0.9518132141082961,0.0008691117677733357,0.9931740614334471,0.9510420112471055,58.2,6046,0
race,African-American,0.42857142857142855,0.9516207851441603,0.0006842285323297981,0.99,0.9510250569476082,74.25,6146,1
race,African-American,0.5,0.9440536561426468,0.0005195704883962591,0.991304347826087,0.9436182382742279,114.0,6119,2
race,African-American,0.6666666666666666,0.9482163406214039,0.0003466204506065858,0.987460815047022,0.947938906224339,157.5,6089,3
race,African-American,0.4,0.9449242300798436,0.0010335917312661498,0.9883040935672515,0.9440377419879616,56.333333333333336,6147,4
race,Caucasian,0.35294117647058826,0.9479565660470183,0.0004076036610219735,0.995965030262273,0.9476013205029149,134.63636363636363,28474,0
race,Caucasian,0.25,0.9456058095674551,0.00044716053063049635,0.9974143503555268,0.945213684247613,128.58333333333334,28383,1
race,Caucasian,0.30434782608695654,0.9485635825940009,0.0005934938239548945,0.9952316076294278,0.9480423540999754,91.3125,28427,2
race,Caucasian,0.46153846153846156,0.9476318015224133,0.0005203687184061849,0.9919893190921228,0.9471868178297304,106.14285714285714,28402,3
race,Caucasian,0.42105263157894735,0.949390286882357,0.00040817841107276706,0.9944598337950139,0.9490367344063678,130.54545454545453,28393,4
race,Other,0.0,0.9819121447028424,0.0,1.0,0.9819121447028424,inf,774,0
race,Other,0.0,0.9698952879581152,0.0,1.0,0.9698952879581152,inf,764,1
race,Other,0.0,0.9879518072289156,0.0,1.0,0.9879518072289156,inf,747,2
race,Other,0.0,0.9850374064837906,0.0,1.0,0.9850374064837906,inf,802,3
race,Other,0.0,0.9800796812749004,0.0,1.0,0.9800796812749004,inf,753,4
sex,female,0.3333333333333333,0.9539974030792061,0.00019440124416796267,0.9979879275653923,0.9538247566063978,248.0,10785,0
sex,female,0.0,0.954176654988014,0.0004829051574270813,1.0,0.9537369827665653,99.4,10851,1
sex,female,0.2857142857142857,0.9549081462237892,0.0004855783237836263,0.9959016393442623,0.9544738062123319,97.2,10785,2
sex,female,0.6,0.9570053276007103,0.00019529342837613513,0.9935205183585313,0.9568385650224215,230.0,10704,3
sex,female,0.25,0.9541140698424398,0.00028963120293492954,0.9979959919839679,0.9538546559823156,166.0,10857,4
sex,male,0.3333333333333333,0.9473211368833715,0.0006031363088057901,0.9946029298380878,0.9467950548778,92.14285714285714,24509,0
sex,male,0.3888888888888889,0.9440714051752375,0.0004768303784299276,0.9949016751638747,0.9436625480729891,124.18181818181819,24442,1
sex,male,0.36363636363636365,0.9458466062239648,0.0006041253128506084,0.9940029985007496,0.9453239758446221,94.71428571428571,24508,2
sex,male,0.48148148148148145,0.9449149092093477,0.0006028506222279636,0.9904831625183016,0.9444060352190004,96.64285714285714,24589,3
sex,male,0.44,0.9471140059809102,0.0006051698798305524,0.9915514592933948,0.9465951874283843,92.21428571428571,24436,4
