Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.08328796951551443,0.9869158878504672,0.9053763440860215,0.015021459227467811,0.1632484287131988,0.0013855898653998416,6046,0
race,African-American,0.08735632183908046,0.9938900203665988,0.9136130288546646,0.006036217303822937,0.15977871786527822,0.0005812826971517147,6146,1
race,African-American,0.09637023593466425,0.9885057471264368,0.8921340261601863,0.013011152416356878,0.185160974015362,0.0014059048001606748,6119,2
race,African-American,0.08782222222222222,0.9892241379310345,0.9178890876565295,0.01002004008016032,0.15651174248645097,0.0009744689144416293,6089,3
race,African-American,0.08957337581872898,0.9899598393574297,0.912526614620298,0.009784735812133072,0.16251830161054173,0.0009721952167995333,6147,4
race,Caucasian,0.09528752335478513,0.9865573023467761,0.8342266462480857,0.02506372132540357,0.23266839924141322,0.00270766406608536,28474,0
race,Caucasian,0.09762368846680214,0.9878220140515223,0.837625591869731,0.021612635078969242,0.23154705281330373,0.0023898157084424835,28383,1
race,Caucasian,0.09515621723631788,0.9879965080750764,0.8265716584300655,0.023666092943201378,0.23906849122313295,0.002549128661475714,28427,2
race,Caucasian,0.09859212572644675,0.9866431451612904,0.8490747879722437,0.021527213647441104,0.22266037602985705,0.002406356413166856,28402,3
race,Caucasian,0.09574955247491777,0.9869624885635865,0.8342679367030266,0.024183283835383963,0.23297995984925862,0.002624188573270107,28393,4
race,Other,0.03560371517027864,0.9921875,0.8306666666666667,0.041666666666666664,0.1937984496124031,0.0016051364365971107,774,0
race,Other,0.023474178403755867,0.992,0.8342245989304813,0.0625,0.18193717277486912,0.0016025641025641025,764,1
race,Other,0.025682182985553772,0.9838709677419355,0.8326474622770919,0.1111111111111111,0.18473895582329317,0.0032948929159802307,747,2
race,Other,0.029282576866764276,1.0,0.8478260869565217,0.0,0.17331670822942644,0.0,802,3
race,Other,0.03464566929133858,0.9745762711864406,0.842032967032967,0.12,0.18193891102257637,0.004893964110929853,753,4
sex,female,0.08438955692774347,0.989060489060489,0.8461307438182,0.02135678391959799,0.21474269819193323,0.0020113582584003788,10785,0
sex,female,0.08399006801252294,0.9911838790931989,0.843523213043046,0.017676767676767676,0.21675421620127178,0.0016499705362404242,10851,1
sex,female,0.08946322067594434,0.9901790872328134,0.8278770837517574,0.020556227327690448,0.23402874362540566,0.002062105773896167,10785,2
sex,female,0.08681497558328811,0.9885829415715245,0.8511176292100738,0.0208078335373317,0.21225710014947682,0.00202020202020202,10704,3
sex,female,0.08642911296436695,0.9889162561576355,0.8400557713375162,0.022058823529411766,0.22142396610481715,0.0021339656194427977,10857,4
sex,male,0.09509304649945267,0.9857061177815895,0.8464894706379947,0.0244140625,0.22220408829409605,0.0026297796244674695,24509,0
sex,male,0.09860953461975028,0.9872650090964221,0.8540891776831727,0.019746121297602257,0.21851730627608215,0.002203683299228711,24442,1
sex,male,0.09587077040718792,0.9868861607142857,0.8424849699398798,0.02289332683877253,0.2261710461889995,0.002484406385453008,24508,2
sex,male,0.09862033725089422,0.9866100587851078,0.8652842809364548,0.018946395563770795,0.20919923543047705,0.0021129663986806844,24589,3
sex,male,0.09633637053910403,0.9860285374554102,0.8516481059081354,0.02262879152623977,0.21881650024553936,0.002468228127297553,24436,4
