Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.3125,0.9613598673300165,0.001893939393939394,0.9789915966386554,0.9596427390009924,21.181818181818183,6046,0
race,African-American,0.15,0.9635977799542932,0.0028716216216216218,0.9867256637168141,0.9609502115196876,13.117647058823529,6146,1
race,African-American,0.18181818181818182,0.9590700720366732,0.0015340037497869438,0.9920634920634921,0.9576728223565942,27.77777777777778,6119,2
race,African-American,0.6666666666666666,0.9623726585606309,0.0001707067258449983,0.9913419913419913,0.9622269666611923,229.0,6089,3
race,African-American,0.3333333333333333,0.9616895874263262,0.004406779661016949,0.9473684210526315,0.957702944525785,9.0,6147,4
race,Caucasian,0.3684210526315789,0.9754536503024336,0.0008644910309055544,0.9803370786516854,0.974643534452483,29.083333333333332,28474,0
race,Caucasian,0.36,0.9740813879681218,0.0005788921451572054,0.9879032258064516,0.9735404995948279,45.9375,28383,1
race,Caucasian,0.4230769230769231,0.9760219710573571,0.0005408328826392645,0.9841040462427746,0.9755162345657298,45.4,28427,2
race,Caucasian,0.4166666666666667,0.9758013384994716,0.00025261638397690365,0.9927745664739884,0.9755651010492219,98.14285714285714,28402,3
race,Caucasian,0.3490566037735849,0.9770565984374447,0.0024903454000794025,0.9460641399416909,0.9747120769203677,9.405797101449275,28393,4
race,Other,0.0,0.9909443725743855,0.001303780964797914,1.0,0.9896640826873385,7.0,774,0
race,Other,0.0,0.9895287958115183,0.0,1.0,0.9895287958115183,inf,764,1
race,Other,0.0,0.9892904953145917,0.0,1.0,0.9892904953145917,inf,747,2
race,Other,0.0,0.9862671660424469,0.0012642225031605564,1.0,0.9850374064837906,11.0,802,3
race,Other,1.0,0.9893617021276596,0.0,0.8888888888888888,0.9893758300132802,inf,753,4
sex,female,0.45454545454545453,0.985056617783553,0.0005650249552688577,0.9698795180722891,0.9845155308298563,26.833333333333332,10785,0
sex,female,0.3333333333333333,0.9815634218289085,0.00018779342723004695,0.9950248756218906,0.9813842042208092,100.0,10851,1
sex,female,0.25,0.9839472951656305,0.0005655042412818096,0.9885714285714285,0.9834028743625406,28.833333333333332,10785,2
sex,female,0.0,0.9847692020183143,0.0001897353192296746,1.0,0.984585201793722,81.5,10704,3
sex,female,0.5357142857142857,0.9841167236125219,0.001218369259606373,0.9197860962566845,0.9829603021092382,13.23076923076923,10857,4
sex,male,0.3181818181818182,0.9682403433476395,0.0012648621300278269,0.9823008849557522,0.9670733200048962,25.9,24509,0
sex,male,0.2619047619047619,0.9686065573770491,0.001309951405028523,0.9858429858429858,0.967392193764831,24.70967741935484,24442,1
sex,male,0.3793103448275862,0.968707872053597,0.0007585015380725634,0.9858429858429858,0.9680104455687939,42.55555555555556,24508,2
sex,male,0.5,0.968911495422177,0.00029389537324712404,0.9909208819714657,0.9686445158404164,109.14285714285714,24589,3
sex,male,0.3050847457627119,0.9704334238012995,0.0034626916093070392,0.952317880794702,0.9672204943525945,8.768292682926829,24436,4
