Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.03974509475096428,0.9879518072289156,0.9858815426997245,0.004201680672268907,0.052762156797882896,0.00017464198393293747,6046,0
race,African-American,0.03773584905660377,1.0,0.9734797297297297,0.0,0.062316954116498534,0.0,6146,1
race,African-American,0.04185351270553064,1.0,0.9832964036134311,0.0,0.057198888707305114,0.0,6119,2
race,African-American,0.03864247311827957,0.9927007299270073,0.9767838852850802,0.004329004329004329,0.060108392182624405,0.00017476406850751484,6089,3
race,African-American,0.040880503144654086,1.0,0.9822033898305085,0.0,0.05726370587278347,0.0,6147,4
race,Caucasian,0.025777681096367196,0.9988789237668162,0.9679057704776313,0.0014044943820224719,0.05626185291845192,3.721484127870195e-05,28474,0
race,Caucasian,0.027360236949278045,0.9963583394027676,0.950504721589059,0.006720430107526882,0.07423457703554945,0.00019032393133112558,28383,1
race,Caucasian,0.025247905155695416,0.9981785063752276,0.9604831440418244,0.002890173410404624,0.06282759348506702,7.50778933143136e-05,28427,2
race,Caucasian,0.025544481358434845,1.0,0.9526524720317575,0.0,0.07055841137948032,0.0,28402,3
race,Caucasian,0.025144073707007306,0.9991304347826087,0.95853033529433,0.0014577259475218659,0.06459338569365689,3.7653437758867384e-05,28393,4
race,Other,0.009472259810554804,1.0,0.954367666232073,0.0,0.05426356589147287,0.0,774,0
race,Other,0.011034482758620689,1.0,0.9484126984126984,0.0,0.061518324607329845,0.0,764,1
race,Other,0.011347517730496455,1.0,0.9431664411366711,0.0,0.06693440428380187,0.0,747,2
race,Other,0.01455026455026455,1.0,0.9418457648546145,0.0,0.07107231920199501,0.0,802,3
race,Other,0.012693935119887164,1.0,0.9408602150537635,0.0,0.0703851261620186,0.0,753,4
sex,female,0.016777493606138106,0.998019801980198,0.9050758075148319,0.012048192771084338,0.10866944830783495,0.00020809489127041931,10785,0
sex,female,0.021116138763197588,0.9968132568514978,0.8531455399061033,0.024875621890547265,0.16219703253156392,0.000550297160466652,10851,1
sex,female,0.01812087566774903,0.9983844911147012,0.8835061262959473,0.011428571428571429,0.13064441353732034,0.0002133560913164071,10785,2
sex,female,0.01759148658920621,0.9993311036789297,0.8582677165354331,0.006134969325153374,0.1547085201793722,0.00011053387863380126,10704,3
sex,female,0.0194601381042059,0.9992301770592764,0.8783505154639175,0.0053475935828877,0.13668600902643455,0.00010670081092616304,10857,4
sex,male,0.03227385858256151,,1.0,0.0,0.03227385858256151,0.0,24509,0
sex,male,0.0317895425906227,,1.0,0.0,0.0317895425906227,0.0,24442,1
sex,male,0.03170393340949894,,1.0,0.0,0.03170393340949894,0.0,24508,2
sex,male,0.03135548415958355,,1.0,0.0,0.03135548415958355,0.0,24589,3
sex,male,0.030897037158291046,,1.0,0.0,0.030897037158291046,0.0,24436,4
