Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.92772080714522,0.0,1.0,0.92772080714522,inf,6046,0
race,African-American,0,0.9280833062154247,0.0,1.0,0.9280833062154247,inf,6146,1
race,African-American,0,0.9254780192841968,0.0,1.0,0.9254780192841968,inf,6119,2
race,African-American,0,0.9246181639021186,0.0,1.0,0.9246181639021186,inf,6089,3
race,African-American,0,0.9230518952334472,0.0,1.0,0.9230518952334472,inf,6147,4
race,Caucasian,0,0.8923228208189927,0.0,1.0,0.8923228208189927,inf,28474,0
race,Caucasian,0,0.8927174717260332,0.0,1.0,0.8927174717260332,inf,28383,1
race,Caucasian,0,0.8980194885144405,0.0,1.0,0.8980194885144405,inf,28427,2
race,Caucasian,0,0.8917329765509471,0.0,1.0,0.8917329765509471,inf,28402,3
race,Caucasian,0,0.8955728524636354,0.0,1.0,0.8955728524636354,inf,28393,4
race,Other,0,0.9728682170542635,0.0,1.0,0.9728682170542635,inf,774,0
race,Other,0,0.981675392670157,0.0,1.0,0.981675392670157,inf,764,1
race,Other,0,0.9745649263721553,0.0,1.0,0.9745649263721553,inf,747,2
race,Other,0,0.9738154613466334,0.0,1.0,0.9738154613466334,inf,802,3
race,Other,0,0.9787516600265604,0.0,1.0,0.9787516600265604,inf,753,4
sex,female,0,0.9072786277236903,0.0,1.0,0.9072786277236903,inf,10785,0
sex,female,0,0.9097779006543176,0.0,1.0,0.9097779006543176,inf,10851,1
sex,female,0,0.9133982382939267,0.0,1.0,0.9133982382939267,inf,10785,2
sex,female,0,0.9076980568011959,0.0,1.0,0.9076980568011959,inf,10704,3
sex,female,0,0.9091830155659942,0.0,1.0,0.9091830155659942,inf,10857,4
sex,male,0,0.8970174221714472,0.0,1.0,0.8970174221714472,inf,24509,0
sex,male,0,0.896816954422715,0.0,1.0,0.896816954422715,inf,24442,1
sex,male,0,0.9004406724334911,0.0,1.0,0.9004406724334911,inf,24508,2
sex,male,0,0.8956037252429948,0.0,1.0,0.8956037252429948,inf,24589,3
sex,male,0,0.8990014732362088,0.0,1.0,0.8990014732362088,inf,24436,4
