Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.07350948509485095,0.9788732394366197,0.9752183990016046,0.006864988558352402,0.09477340390340722,0.0005484460694698354,6046,0
race,African-American,0.0745814307458143,0.9957081545064378,0.9593267882187938,0.0022624434389140274,0.10950211519687601,0.0001827485380116959,6146,1
race,African-American,0.07626117766154884,0.9791666666666666,0.9668020483842487,0.008771929824561403,0.10459225363621506,0.0007305936073059361,6119,2
race,African-American,0.07752465147908874,0.9855072463768116,0.963765541740675,0.006535947712418301,0.10839218262440467,0.0005528934758569849,6089,3
race,African-American,0.07907991940899933,0.9895287958115183,0.9666901656679591,0.004228329809725159,0.10736944851146901,0.00036463081130355516,6147,4
race,Caucasian,0.11052535902563171,0.9731682146542827,0.9628857052896725,0.008480104370515329,0.13988199761185643,0.0010627426936439812,28474,0
race,Caucasian,0.11078546307151231,0.9806807727690893,0.9579288025889967,0.006896551724137931,0.14410034175386674,0.0008651944627554384,28383,1
race,Caucasian,0.10553557007561853,0.979746835443038,0.954520526480727,0.008278716798896172,0.1419776972596475,0.0009849386465301433,28427,2
race,Caucasian,0.11185223191380195,0.9793906810035843,0.9568444742764639,0.0074796747967479675,0.14594042673051194,0.0009490798052323182,28402,3
race,Caucasian,0.10824362188467777,0.9771473601260835,0.9512348592103194,0.009780775716694773,0.14707850526538233,0.0011989416239457582,28393,4
race,Other,0.03025936599423631,1.0,0.8937583001328021,0.0,0.13049095607235142,0.0,774,0
race,Other,0.020710059171597635,1.0,0.8826666666666667,0.0,0.13350785340314136,0.0,764,1
race,Other,0.028700906344410877,1.0,0.8832417582417582,0.0,0.1392235609103079,0.0,747,2
race,Other,0.028846153846153848,1.0,0.9052496798975672,0.0,0.11845386533665836,0.0,802,3
race,Other,0.022865853658536585,0.9896907216494846,0.8697421981004071,0.0625,0.14741035856573706,0.0015600624024961,753,4
sex,female,0.09565807327001356,0.9721627408993576,0.9536024527337762,0.013,0.13361149745016226,0.0013932054442181974,10785,0
sex,female,0.09519174615534358,0.9982668977469671,0.9416531604538088,0.0010214504596527069,0.14321260713298314,0.00010757314974182444,10851,1
sex,female,0.09102513747054203,0.9883527454242929,0.939701553141813,0.007494646680942184,0.14102920723226703,0.0007561845090202009,10785,2
sex,female,0.09585262535710767,0.972875226039783,0.9446274186908192,0.015182186234817813,0.14116218236173392,0.0016343429941163652,10704,3
sex,female,0.09547147618114095,0.981679389312977,0.9348596900010131,0.012170385395537525,0.14893617021276595,0.0013003901170351106,10857,4
sex,male,0.10544460794618457,0.9779005524861878,0.9677962246986582,0.006339144215530904,0.1312171039210086,0.0007519857122714669,24509,0
sex,male,0.10592520435390285,0.9747292418772563,0.9630474452554745,0.008326724821570182,0.13546354635463545,0.000994789199431549,24442,1
sex,male,0.10229627436884171,0.975609756097561,0.9619358346927678,0.00860655737704918,0.13297698710625103,0.0009892594686263425,24508,2
sex,male,0.10764371446620341,0.9869668246445498,0.9621741894469167,0.004285157771717959,0.13782585709056897,0.0005191372882155836,24589,3
sex,male,0.1040197161553497,0.9778270509977827,0.9598506919155134,0.008103727714748784,0.13627434932067442,0.0009484966328369535,24436,4
