Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5445544554455446,0.8716632443531828,0.01774006941766294,0.872093023255814,0.8607343698312934,8.152173913043478,6046,0
race,African-American,0.5804597701149425,0.8662089752176825,0.01391536408692337,0.8877777777777778,0.858119101854865,10.945205479452055,6146,1
race,African-American,0.5605095541401274,0.8609527004360953,0.0132641291810842,0.9040348964013086,0.8532439941166857,12.014492753623188,6119,2
race,African-American,0.4787234042553192,0.8590069479749195,0.018966518289142635,0.9023861171366594,0.8472655608474298,8.489795918367347,6089,3
race,African-American,0.5329341317365269,0.8580267558528428,0.014974083317335381,0.9051172707889126,0.849194729136164,10.884615384615385,6147,4
race,Caucasian,0.5069885641677255,0.8698667244555206,0.015854854527623405,0.9002998500749625,0.8598370443211351,9.286082474226804,28474,0
race,Caucasian,0.48774193548387096,0.8655824398725007,0.0163414834938668,0.9075568598679383,0.8552654758129866,9.347607052896725,28383,1
race,Caucasian,0.4693042291950887,0.869394092583231,0.015899615793345867,0.9131532441302701,0.8590776374573469,9.298200514138818,28427,2
race,Caucasian,0.5192719486081371,0.873307121013543,0.018373777468592707,0.8776796973518285,0.8616646715020069,7.750556792873051,28402,3
race,Caucasian,0.5100250626566416,0.8709186446820076,0.016008843760235834,0.8974552784076594,0.8607755432677068,9.10997442455243,28393,4
race,Other,1.0,0.9508408796895214,0.0,0.9743589743589743,0.9509043927648578,inf,774,0
race,Other,0.0,0.9369250985545335,0.004189944134078212,1.0,0.9332460732984293,16.0,764,1
race,Other,0.2,0.9555256064690026,0.005610098176718092,0.9705882352941176,0.9504685408299867,8.25,747,2
race,Other,0.0,0.9575,0.0026041666666666665,1.0,0.9551122194513716,17.0,802,3
race,Other,0.3333333333333333,0.9397590361445783,0.0056657223796034,0.9574468085106383,0.9349269588313412,11.25,753,4
sex,female,0.4727272727272727,0.8844632768361582,0.009177215189873418,0.9402298850574713,0.878164116828929,14.10344827586207,10785,0
sex,female,0.4567307692307692,0.8835854552287888,0.011873489545024693,0.9287856071964018,0.8754031886462077,10.964601769911505,10851,1
sex,female,0.4689922480620155,0.8877172983756055,0.014448428601560852,0.9071373752877974,0.8777005099675476,8.627737226277372,10785,2
sex,female,0.447098976109215,0.8913649025069638,0.017157381910612158,0.8961965134706814,0.8792040358744395,6.981481481481482,10704,3
sex,female,0.4858156028368794,0.8824586288416075,0.01530020048538567,0.9007246376811594,0.8721562125817445,8.572413793103449,10857,4
sex,male,0.5236363636363637,0.8664077014017902,0.018792138860995553,0.8798665183537263,0.854869639724183,8.05089058524173,24509,0
sex,male,0.5161290322580645,0.8599459870031226,0.017358599739621002,0.8963002970564408,0.8494804025857131,9.219444444444445,24442,1
sex,male,0.4897959183673469,0.8618826190775418,0.015550983300636393,0.913549459684123,0.8522115227680758,10.144615384615385,24508,2
sex,male,0.5342960288808665,0.8646771613772203,0.018490205446727186,0.8786553703197595,0.8535117328886901,8.307493540051679,24589,3
sex,male,0.5239477503628447,0.8646986987830042,0.015722366024350495,0.8989927252378288,0.8550908495662137,9.795731707317072,24436,4
