Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.8577571948395634,0.0,1.0,0.8577571948395634,inf,6046,0
race,African-American,0,0.8535632931988285,0.0,1.0,0.8535632931988285,inf,6146,1
race,African-American,0,0.8501389115868606,0.0,1.0,0.8501389115868606,inf,6119,2
race,African-American,0,0.8485794054853013,0.0,1.0,0.8485794054853013,inf,6089,3
race,African-American,0,0.8474052383276395,0.0,1.0,0.8474052383276395,inf,6147,4
race,Caucasian,0,0.8594507269789984,0.0,1.0,0.8594507269789984,inf,28474,0
race,Caucasian,0,0.8559348906035302,0.0,1.0,0.8559348906035302,inf,28383,1
race,Caucasian,0,0.8606606395328384,0.0,1.0,0.8606606395328384,inf,28427,2
race,Caucasian,0,0.8603971551299204,0.0,1.0,0.8603971551299204,inf,28402,3
race,Caucasian,0,0.8602120240904448,0.0,1.0,0.8602120240904448,inf,28393,4
race,Other,0,0.9496124031007752,0.0,1.0,0.9496124031007752,inf,774,0
race,Other,0,0.93717277486911,0.0,1.0,0.93717277486911,inf,764,1
race,Other,0,0.9544846050870147,0.0,1.0,0.9544846050870147,inf,747,2
race,Other,0,0.9576059850374065,0.0,1.0,0.9576059850374065,inf,802,3
race,Other,0,0.9375830013280213,0.0,1.0,0.9375830013280213,inf,753,4
sex,female,0,0.8789986091794159,0.0,1.0,0.8789986091794159,inf,10785,0
sex,female,0,0.8770620219334624,0.0,1.0,0.8770620219334624,inf,10851,1
sex,female,0,0.8791840519239684,0.0,1.0,0.8791840519239684,inf,10785,2
sex,female,0,0.8821001494768311,0.0,1.0,0.8821001494768311,inf,10704,3
sex,female,0,0.8728930643824261,0.0,1.0,0.8728930643824261,inf,10857,4
sex,male,0,0.8532783875311111,0.0,1.0,0.8532783875311111,inf,24509,0
sex,male,0,0.8484984862122575,0.0,1.0,0.8484984862122575,inf,24442,1
sex,male,0,0.8527419618083891,0.0,1.0,0.8527419618083891,inf,24508,2
sex,male,0,0.8511936231648298,0.0,1.0,0.8511936231648298,inf,24589,3
sex,male,0,0.8537403830414143,0.0,1.0,0.8537403830414143,inf,24436,4
