Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.58,0.8012866333095068,0.040445110207575435,0.809905316824472,0.7848164075421766,5.883597883597884,6046,0
race,African-American,0.6274509803921569,0.7976085809741515,0.036328871892925434,0.7998610145934677,0.7849007484542792,6.730994152046784,6146,1
race,African-American,0.6036036036036037,0.7903083700440529,0.037760137309590214,0.8161865569272977,0.7767609086452034,6.761363636363637,6119,2
race,African-American,0.5840336134453782,0.796543737751648,0.04240736774469908,0.8042253521126761,0.7799310231565117,5.767676767676767,6089,3
race,African-American,0.6247288503253796,0.7912416461484347,0.0370291095890411,0.8047457627118644,0.7787538636733365,6.861271676300578,6147,4
race,Caucasian,0.5863899613899614,0.7964169381107492,0.03916103089014805,0.8156297420333839,0.7811336658003792,6.271878646441073,28474,0
race,Caucasian,0.5903490759753593,0.7956875354643466,0.0365518504946867,0.8244542817890398,0.7815946164957898,6.768170426065163,28383,1
race,Caucasian,0.6071964017991005,0.8012184969348369,0.0357939796894212,0.812152133580705,0.7875611214690259,6.683206106870229,28427,2
race,Caucasian,0.599712368168744,0.7979556163550692,0.03824310708069983,0.8095310596833131,0.7833955355256672,6.367664670658683,28402,3
race,Caucasian,0.5968222442899702,0.7995754198415406,0.037070854638422204,0.814763445831407,0.7851935336174409,6.511083743842365,28393,4
race,Other,0.5,0.9348958333333334,0.004160887656033287,0.9433962264150944,0.9315245478036176,16.666666666666668,774,0
race,Other,0.5,0.955026455026455,0.005509641873278237,0.8947368421052632,0.9502617801047121,8.5,764,1
race,Other,0.5,0.9416553595658074,0.00715307582260372,0.8958333333333334,0.9357429718875502,8.6,747,2
race,Other,0.8333333333333334,0.9409547738693468,0.0013333333333333333,0.9038461538461539,0.940149625935162,47.0,802,3
race,Other,0.2222222222222222,0.9206989247311828,0.010115606936416185,0.9672131147540983,0.9123505976095617,8.428571428571429,753,4
sex,female,0.5542168674698795,0.8119364954919639,0.03031367041198502,0.856314145470772,0.7980528511821975,7.409266409266409,10785,0
sex,female,0.5776515151515151,0.8071297103555168,0.026066627703097603,0.8671602787456446,0.7959635056676804,8.928251121076233,10851,1
sex,female,0.5785256410256411,0.8169471508709772,0.030709948622139188,0.8374606033318325,0.8031525266573946,7.072243346007604,10785,2
sex,female,0.5848375451263538,0.8101477832512315,0.02720927481367562,0.8560639715681919,0.7984865470852018,8.378260869565217,10704,3
sex,female,0.5930232558139535,0.8126767430521696,0.028558107005478495,0.8432835820895522,0.80049737496546,7.840816326530613,10857,4
sex,male,0.5942475603492553,0.7953195638684514,0.04216931781787125,0.7996536796536796,0.779346362560692,5.845569620253165,24509,0
sex,male,0.6025437201907791,0.796275770339171,0.04008551576696953,0.8016399162595953,0.7813190409950086,6.126666666666667,24442,1
sex,male,0.6155106499180776,0.7960047625347269,0.0375366568914956,0.8041022075438902,0.7825199934715195,6.5710227272727275,24508,2
sex,male,0.6007944389275075,0.7971650055370986,0.042765957446808514,0.7909828986007946,0.7810809711659685,5.695273631840796,24589,3
sex,male,0.6030818278427205,0.7955129910437173,0.03997003584996522,0.8025056551244127,0.7806924210181699,6.174029451137885,24436,4
