Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.23129251700680273,0.9216867469879518,0.9672587203081532,0.009468317552804079,0.2502480979159775,0.0028761061946902654,6046,0
race,African-American,0.24040234702430846,0.9723756906077348,0.9626088803909072,0.0034746351633078527,0.2619589977220957,0.0011035091591260207,6146,1
race,African-American,0.2430379746835443,0.9072164948453608,0.9622398626904097,0.012345679012345678,0.26409544043144306,0.004013377926421404,6119,2
race,African-American,0.2382163445235673,0.9214659685863874,0.9623045620047119,0.01056338028169014,0.25964854655936936,0.0033385265969285557,6089,3
race,African-American,0.24609178013111446,0.9444444444444444,0.9599743150684932,0.007457627118644068,0.2685863022612657,0.002452619843924192,6147,4
race,Caucasian,0.2415246335732667,0.9313666465984347,0.9293090842624748,0.017298937784522003,0.2817658214511484,0.0056055465407877265,28474,0
race,Caucasian,0.24162356644929164,0.93885949441505,0.9268504946866984,0.015875438864295526,0.28340908290173694,0.005139609587348653,28383,1
race,Caucasian,0.2374723586072486,0.9243986254295533,0.9264993852179061,0.02040816326530612,0.27966370000351776,0.00648808060948636,28427,2
race,Caucasian,0.2420484771288353,0.9373902867173786,0.9266281945589447,0.016291108404384896,0.2838884585592564,0.005288651640964808,28402,3
race,Caucasian,0.24007077513835035,0.9387978142076503,0.9215668371073776,0.017259978425026967,0.2851054837459937,0.005548399881105717,28393,4
race,Other,0.07090103397341212,0.9484536082474226,0.8723994452149791,0.09433962264150944,0.18087855297157623,0.00794912559618442,774,0
race,Other,0.056129985228951254,1.0,0.8801652892561983,0.0,0.16361256544502617,0.0,764,1
race,Other,0.07098765432098765,0.9797979797979798,0.8612303290414879,0.041666666666666664,0.19143239625167335,0.0033222591362126247,747,2
race,Other,0.07183098591549296,0.9891304347826086,0.8786666666666667,0.019230769230769232,0.1770573566084788,0.0015174506828528073,802,3
race,Other,0.08649468892261002,0.9574468085106383,0.869942196531792,0.06557377049180328,0.1952191235059761,0.006644518272425249,753,4
sex,female,0.21678183613030602,0.9312977099236641,0.9286048689138576,0.020080321285140562,0.260176170607325,0.00567179228636249,10785,0
sex,female,0.22284478521576723,0.9572271386430679,0.9241379310344827,0.012630662020905924,0.26873099253525023,0.0036681001770806983,10851,1
sex,female,0.2169717469160366,0.9454297407912687,0.9190798692199906,0.018009905447996397,0.26648122392211404,0.005081946385465634,10785,2
sex,female,0.22079601990049752,0.9510703363914373,0.9264166568082338,0.014215904042647711,0.265414798206278,0.004086323585748946,10704,3
sex,female,0.22061876050212514,0.9378378378378378,0.9191047907681548,0.02019315188762072,0.2695035460992908,0.0058338617628408375,10857,4
sex,male,0.24475043029259896,0.9314420803782506,0.9369061599231344,0.015064935064935066,0.2803051940103635,0.0049567000911577026,24509,0
sex,male,0.24413632240507968,0.9380325329202169,0.9352752538749332,0.013956734124214934,0.2807871696260535,0.004571689810846334,24442,1
sex,male,0.24312559262132574,0.9142419601837672,0.936336976806185,0.01946810359812272,0.278888526195528,0.0063777689197653895,24508,2
sex,male,0.24506472839877855,0.9319880418535127,0.9336702127659574,0.015719467956469165,0.28244336898613204,0.005184298980231299,24589,3
sex,male,0.24577079899366705,0.9413892908827786,0.9303868585799133,0.014094310074821646,0.2851121296447864,0.004658385093167702,24436,4
