Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5,0.9827928524156188,0.000168321831341525,0.9904761904761905,0.9826331458815746,104.0,6046,0
race,African-American,0.4,0.9786679693860935,0.0004989190088142358,0.9849624060150376,0.9781972014318255,43.666666666666664,6146,1
race,African-American,0.25,0.9810302534750613,0.0004998333888703765,0.9914529914529915,0.9805523778395162,38.666666666666664,6119,2
race,African-American,0.0,0.9816031537450722,0.00016730801405387318,1.0,0.981441944490064,112.0,6089,3
race,African-American,0.3333333333333333,0.9803059895833334,0.00033195020746887966,0.9918032786885246,0.9799902391410444,60.5,6147,4
race,Caucasian,0.35714285714285715,0.9816936050597329,0.00032202662086732505,0.9904942965779467,0.9813865280606869,57.888888888888886,28474,0
race,Caucasian,0.2,0.981313683319818,0.0005745269129950806,0.9925093632958801,0.9807631328612197,33.125,28383,1
race,Caucasian,0.0,0.9819461551997185,0.00042989181056100884,1.0,0.9815316424525978,42.75,28427,2
race,Caucasian,0.0,0.9813001831243837,0.00021527752861397152,1.0,0.9810928807830435,88.5,28402,3
race,Caucasian,0.06666666666666667,0.9821692860666713,0.0005020440364340529,0.9980276134122288,0.981685626738985,36.142857142857146,28393,4
race,Other,0.0,0.9987080103359173,0.0,1.0,0.9987080103359173,inf,774,0
race,Other,0.0,0.9960732984293194,0.0,1.0,0.9960732984293194,inf,764,1
race,Other,0.0,0.9959839357429718,0.0,1.0,0.9959839357429718,inf,747,2
race,Other,0.0,1.0,0.0,0.0,1.0,,802,3
race,Other,0.0,0.988031914893617,0.0013440860215053765,1.0,0.9867197875166003,9.0,753,4
sex,female,0.3333333333333333,0.9876646262289001,0.00018777579569993427,0.9925373134328358,0.9874826147426982,66.5,10785,0
sex,female,0.0,0.9857116519174042,0.00028047868362004487,1.0,0.9854391300340982,51.666666666666664,10851,1
sex,female,0.0,0.985719584569733,9.406452826639074e-05,1.0,0.9856281872971719,154.0,10785,2
sex,female,0.0,0.9884133806765091,0.0001890359168241966,1.0,0.9882286995515696,62.0,10704,3
sex,female,0.0,0.9862698120162182,0.0004669406051550243,1.0,0.9858156028368794,29.8,10857,4
sex,male,0.38461538461538464,0.9798742651861528,0.00033318062554662446,0.9899598393574297,0.9795585295197683,61.625,24509,0
sex,male,0.2727272727272727,0.9791564291564292,0.0006687006310862205,0.9883495145631068,0.9785205793306604,31.8125,24442,1
sex,male,0.06666666666666667,0.9804842199812192,0.000582629322901494,0.9979123173277662,0.9799249224742941,34.142857142857146,24508,2
sex,male,0.0,0.9788887081028311,0.0002077274615704196,1.0,0.9786896579771442,103.8,24589,3
sex,male,0.14285714285714285,0.9800589632298747,0.0005011066104313693,0.9959100204498977,0.979579309215911,40.583333333333336,24436,4
