Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,1.0,0.9827956989247312,0.0,0.9904761904761905,0.9827985444922263,inf,6046,0
race,African-American,0.0,0.9783599088838268,0.0,1.0,0.9783599088838268,inf,6146,1
race,African-American,0.0,0.9808761033017326,0.00016661112962345885,1.0,0.9807158032358229,117.0,6119,2
race,African-American,1.0,0.9817674113009198,0.0,0.9910714285714286,0.981770405649532,inf,6089,3
race,African-American,0.0,0.9801496908558412,0.00016597510373443983,1.0,0.9799902391410444,122.0,6147,4
race,Caucasian,0.0,0.9815270070941912,0.0,1.0,0.9815270070941912,inf,28474,0
race,Caucasian,0.0,0.9811859211499842,0.0,1.0,0.9811859211499842,inf,28383,1
race,Caucasian,0.0,0.981951871657754,0.00010747295264025221,1.0,0.9818482428676962,171.0,28427,2
race,Caucasian,0.0,0.9813034752297455,3.587958810232859e-05,1.0,0.981268924723611,531.0,28402,3
race,Caucasian,0.0,0.9821422281708992,7.172057663343613e-05,1.0,0.9820730461733526,253.5,28393,4
race,Other,0.0,0.9987080103359173,0.0,1.0,0.9987080103359173,inf,774,0
race,Other,0.0,0.9960732984293194,0.0,1.0,0.9960732984293194,inf,764,1
race,Other,0.0,0.9959839357429718,0.0,1.0,0.9959839357429718,inf,747,2
race,Other,0.0,1.0,0.0012468827930174563,0.0,0.9987531172069826,0.0,802,3
race,Other,0.0,0.9880478087649402,0.0,1.0,0.9880478087649402,inf,753,4
sex,female,0.0,0.9875753361149745,0.0,1.0,0.9875753361149745,inf,10785,0
sex,female,0.0,0.9857156022486406,0.0,1.0,0.9857156022486406,inf,10851,1
sex,female,0.0,0.9857209086694483,0.0,1.0,0.9857209086694483,inf,10785,2
sex,female,0.0,0.9884155455904334,0.0,1.0,0.9884155455904334,inf,10704,3
sex,female,0.0,0.9862761352123054,0.0,1.0,0.9862761352123054,inf,10857,4
sex,male,1.0,0.9797209074587889,0.0,0.9979919678714859,0.9797217348729038,inf,24509,0
sex,male,0.0,0.9789297111529335,0.0,1.0,0.9789297111529335,inf,24442,1
sex,male,0.0,0.9804521710741103,0.00016646552082899828,1.0,0.9802921495022033,119.75,24508,2
sex,male,0.3333333333333333,0.9789310989994305,8.309098462816784e-05,0.9980732177263969,0.9788523323437309,259.0,24589,3
sex,male,0.0,0.9799860843940572,0.00012527665260784232,1.0,0.9798657718120806,163.0,24436,4
