Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.9826331458815746,0.0,1.0,0.9826331458815746,inf,6046,0
race,African-American,0,0.9783599088838268,0.0,1.0,0.9783599088838268,inf,6146,1
race,African-American,0,0.9808792286321294,0.0,1.0,0.9808792286321294,inf,6119,2
race,African-American,0,0.981606175069798,0.0,1.0,0.981606175069798,inf,6089,3
race,African-American,0,0.9801529201236375,0.0,1.0,0.9801529201236375,inf,6147,4
race,Caucasian,0,0.9815270070941912,0.0,1.0,0.9815270070941912,inf,28474,0
race,Caucasian,0,0.9811859211499842,0.0,1.0,0.9811859211499842,inf,28383,1
race,Caucasian,0,0.9819537763393956,0.0,1.0,0.9819537763393956,inf,28427,2
race,Caucasian,0,0.9813041335117245,0.0,1.0,0.9813041335117245,inf,28402,3
race,Caucasian,0,0.9821434860705104,0.0,1.0,0.9821434860705104,inf,28393,4
race,Other,0,0.9987080103359173,0.0,1.0,0.9987080103359173,inf,774,0
race,Other,0,0.9960732984293194,0.0,1.0,0.9960732984293194,inf,764,1
race,Other,0,0.9959839357429718,0.0,1.0,0.9959839357429718,inf,747,2
race,Other,0,1.0,0.0,0.0,1.0,,802,3
race,Other,0,0.9880478087649402,0.0,1.0,0.9880478087649402,inf,753,4
sex,female,0,0.9875753361149745,0.0,1.0,0.9875753361149745,inf,10785,0
sex,female,0,0.9857156022486406,0.0,1.0,0.9857156022486406,inf,10851,1
sex,female,0,0.9857209086694483,0.0,1.0,0.9857209086694483,inf,10785,2
sex,female,0,0.9884155455904334,0.0,1.0,0.9884155455904334,inf,10704,3
sex,female,0,0.9862761352123054,0.0,1.0,0.9862761352123054,inf,10857,4
sex,male,0,0.9796809335346199,0.0,1.0,0.9796809335346199,inf,24509,0
sex,male,0,0.9789297111529335,0.0,1.0,0.9789297111529335,inf,24442,1
sex,male,0,0.9804553615146074,0.0,1.0,0.9804553615146074,inf,24508,2
sex,male,0,0.9788930009353776,0.0,1.0,0.9788930009353776,inf,24589,3
sex,male,0,0.9799885414961532,0.0,1.0,0.9799885414961532,inf,24436,4
