Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.01777853030816119,1.0,0.9764349436121865,0.0,0.04052265960965928,0.0,6046,0
race,African-American,0.022255689424364122,1.0,0.97172792283386,0.0,0.049300357956394404,0.0,6146,1
race,African-American,0.019630872483221477,1.0,0.97350883038987,0.0,0.045105409380617745,0.0,6119,2
race,African-American,0.018960555273404435,1.0,0.9695499414421951,0.0,0.04828379044178026,0.0,6089,3
race,African-American,0.020353687020353686,1.0,0.9746058091286307,0.0,0.044737270213112086,0.0,6147,4
race,Caucasian,0.01956400223588597,0.9993898718730934,0.9413911550021469,0.0019011406844106464,0.07596403736742291,3.800836183960471e-05,28474,0
race,Caucasian,0.02002035968781812,0.9983870967741936,0.9333189701605085,0.0056179775280898875,0.08413486946411584,0.00011542012927054478,28383,1
race,Caucasian,0.01922210542123442,0.9994416527079844,0.9358744715913162,0.001949317738791423,0.08097935061737081,3.82789771857296e-05,28427,2
race,Caucasian,0.02001288708638138,0.9985141158989599,0.9276667503857056,0.005649717514124294,0.08957115696077741,0.00011603171533552504,28402,3
race,Caucasian,0.018936988757330145,1.0,0.9419063329269167,0.0,0.07491283062726728,0.0,28393,4
race,Other,0.0013986013986013986,1.0,0.9236739974126779,0.0,0.07751937984496124,0.0,774,0
race,Other,0.004213483146067416,1.0,0.9316688567674113,0.0,0.07198952879581152,0.0,764,1
race,Other,0.00436046511627907,1.0,0.9206989247311828,0.0,0.08299866131191433,0.0,747,2
race,Other,0.0,1.0,0.9052369077306733,0.0,0.09476309226932668,0.0,802,3
race,Other,0.012857142857142857,1.0,0.928763440860215,0.0,0.08233731739707835,0.0,753,4
sex,female,0.01340320467600524,0.9988399071925754,0.9191625199511783,0.007462686567164179,0.09216504404265183,0.00010214504596527068,10785,0
sex,female,0.015599343185550082,0.997289972899729,0.8967838444278234,0.01935483870967742,0.11574970048843425,0.0003127606338615513,10851,1
sex,female,0.015744811368980677,1.0,0.9055592136205437,0.0,0.10737134909596661,0.0,10785,2
sex,female,0.012782187403360479,1.0,0.9051984877126654,0.0,0.10528774289985052,0.0,10704,3
sex,female,0.015116161103784113,1.0,0.9066118789689951,0.0,0.10583033987289306,0.0,10857,4
sex,male,0.021161772829643478,1.0,0.9593519636833118,0.0,0.06014117263046228,0.0,24509,0
sex,male,0.021945710998423316,1.0,0.9592510552931834,0.0,0.060960641518697324,0.0,24442,1
sex,male,0.02033782921329192,0.9990049751243781,0.9582171542719214,0.0020876826722338203,0.06047005059572384,4.343105320304018e-05,24508,2
sex,male,0.022131674887411537,0.9976452119309263,0.9471956792687993,0.005780346820809248,0.07267477327260156,0.00013158471862801,24589,3
sex,male,0.02071156289707751,1.0,0.9655071616486407,0.0,0.053814044851857916,0.0,24436,4
