Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6519337016574586,0.9106564364876385,0.011658031088082901,0.8161993769470405,0.9029110155474694,8.317460317460318,6046,0
race,African-American,0.6417112299465241,0.9118979694579628,0.012179603708416652,0.813953488372093,0.9036771884152294,7.835820895522388,6146,1
race,African-American,0.6341463414634146,0.9130875887724045,0.0136986301369863,0.7981366459627329,0.9037424415754208,6.8533333333333335,6119,2
race,African-American,0.5792682926829268,0.9129113924050632,0.012595837897042717,0.8445171849427169,0.9039251108556413,7.478260869565218,6089,3
race,African-American,0.5555555555555556,0.9093522746490783,0.018974639664294836,0.8048048048048048,0.8958841711403936,5.153846153846154,6147,4
race,Caucasian,0.5601577909270217,0.943683627131977,0.008378733796731166,0.8472296933835395,0.9368546744398398,7.062780269058296,28474,0
race,Caucasian,0.5478615071283096,0.9436397533342894,0.008364102177680657,0.8538837588267246,0.936793150829722,7.081081081081081,28383,1
race,Caucasian,0.5276679841897233,0.943089430894309,0.008994768732829023,0.8561422413793104,0.9356949379111408,6.648535564853557,28427,2
race,Caucasian,0.553014553014553,0.943089430894309,0.008098843560477643,0.8566037735849057,0.9364833462432223,7.390697674418605,28402,3
race,Caucasian,0.5028462998102466,0.9423311562477571,0.009878963839975868,0.8584401709401709,0.9341739161060825,6.133587786259542,28393,4
race,Other,0.5714285714285714,0.9739243807040417,0.004,0.8333333333333334,0.9702842377260982,6.666666666666667,774,0
race,Other,0.6,0.9840848806366048,0.005361930294906166,0.6666666666666666,0.9790575916230366,3.0,764,1
race,Other,0.4,0.9663072776280324,0.004166666666666667,0.9259259259259259,0.9625167336010709,8.333333333333334,747,2
race,Other,0.0,0.9725343320848939,0.001282051282051282,1.0,0.9713216957605985,22.0,802,3
race,Other,0.625,0.9704697986577181,0.004132231404958678,0.8148148148148148,0.9667994687915007,7.333333333333333,753,4
sex,female,0.525,0.9636193155180497,0.005515773175924134,0.8603104212860311,0.9587389893370422,6.807017543859649,10785,0
sex,female,0.5714285714285714,0.9616101379053299,0.004917558576800694,0.8583333333333333,0.957331121555617,8.07843137254902,10851,1
sex,female,0.4782608695652174,0.9623368084906546,0.006978096530335336,0.8586723768736617,0.9561427909133056,5.569444444444445,10785,2
sex,female,0.5045871559633027,0.9622463426144408,0.005268806712850034,0.8791208791208791,0.9575859491778774,7.407407407407407,10704,3
sex,female,0.46496815286624205,0.9587850467289719,0.008121434786812336,0.857976653696498,0.9516441005802708,5.25,10857,4
sex,male,0.5965217391304348,0.9276761093005765,0.010340985067974148,0.834619093539055,0.9199069729487127,7.461206896551724,24509,0
sex,male,0.5746924428822495,0.9289155112470154,0.010794896957801767,0.8384387351778656,0.9206693396612389,7.012396694214876,24442,1
sex,male,0.5761245674740484,0.9278311742582532,0.010914112615823236,0.8383495145631068,0.9195364778847723,7.048979591836734,24508,2
sex,male,0.5698324022346368,0.9281972393148179,0.010241177513743571,0.8494835218888342,0.9203708975558177,7.476190476190476,24589,3
sex,male,0.5343137254901961,0.9276359973136333,0.012731740004467277,0.840565577766943,0.9177852348993288,6.049122807017544,24436,4
