Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9809062410943289,inf,3509,0
race,African-American,,0.0,1.0,0.983170947741364,inf,3387,1
race,African-American,,0.0,1.0,0.9782991202346041,inf,3410,2
race,African-American,0.0,0.0002963841138114997,1.0,0.983955659276546,54.0,3428,3
race,African-American,,0.0,1.0,0.979294254884806,inf,3429,4
race,Asian,,0.0,1.0,0.9782608695652174,inf,46,0
race,Asian,,0.0,1.0,0.9772727272727273,inf,44,1
race,Asian,,0.0,1.0,0.98,inf,50,2
race,Asian,,0.0,1.0,0.9782608695652174,inf,46,3
race,Asian,,0.0,,1.0,,56,4
race,Caucasian,0.0,0.00013475272874275703,1.0,0.9691112126950957,235.5,15313,0
race,Caucasian,0.14285714285714285,0.00039962701478619956,0.997737556561086,0.9710791925465838,73.5,15456,1
race,Caucasian,0.0,0.000668985817500669,1.0,0.9713876967095851,43.0,15378,2
race,Caucasian,0.0,0.0004020908725371934,1.0,0.9703988029406024,74.83333333333333,15371,3
race,Caucasian,0.0,0.00013380611493945274,1.0,0.9704545454545455,226.5,15400,4
race,Indian,,0.0,,1.0,,19,0
race,Indian,,0.0,,1.0,,15,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9936507936507937,inf,315,0
race,Other,,0.0,1.0,0.9866666666666667,inf,300,1
race,Other,,0.0,1.0,0.9942028985507246,inf,345,2
race,Other,,0.0,1.0,0.9941520467836257,inf,342,3
race,Other,,0.0,1.0,0.9901960784313726,inf,306,4
sex,female,0.0,0.00015405946695424435,1.0,0.9719206289779109,186.5,13355,0
sex,female,0.2,0.0003057402736375449,0.9971830985915493,0.9733591308230392,88.5,13438,1
sex,female,0.0,0.00038440839547935725,1.0,0.9713858797161001,75.6,13385,2
sex,female,0.0,0.0005390420452795319,1.0,0.9720641102456561,52.285714285714285,13352,3
sex,female,0.0,7.695859627520394e-05,1.0,0.9716571941370027,378.0,13372,4
sex,male,,0.0,1.0,0.9712673165726013,inf,5847,0
sex,male,0.0,0.00035618878005342833,1.0,0.9738029146426093,74.5,5764,1
sex,male,0.0,0.0008790436005625879,1.0,0.9769640708268867,25.8,5817,2
sex,male,,0.0,1.0,0.976068376068376,inf,5850,3
sex,male,0.0,0.0001760253476500616,1.0,0.9742710120068611,149.0,5830,4
