Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5,0.0006029544769369913,0.9895833333333334,0.945283556568823,95.0,3509,0
race,African-American,0.0,0.0006222775357809583,1.0,0.948331857100679,86.5,3387,1
race,African-American,0.375,0.0015518311607697084,0.9840425531914894,0.9442815249266863,37.0,3410,2
race,African-American,0.14285714285714285,0.001851851851851852,0.9946808510638298,0.9436989498249708,31.166666666666668,3428,3
race,African-American,0.0,0.0015427337241592102,1.0,0.9437153689122193,37.6,3429,4
race,Asian,,0.0,1.0,0.9782608695652174,inf,46,0
race,Asian,,0.0,1.0,0.9772727272727273,inf,44,1
race,Asian,,0.0,1.0,0.98,inf,50,2
race,Asian,,0.0,,1.0,,46,3
race,Asian,,0.0,1.0,0.9821428571428571,inf,56,4
race,Caucasian,0.2222222222222222,0.0019389238972370335,0.9908256880733946,0.9417488408541762,30.857142857142858,15313,0
race,Caucasian,0.1875,0.0008920606601248885,0.9966024915062288,0.9422230848861284,67.6923076923077,15456,1
race,Caucasian,0.21428571428571427,0.0007562216416884367,0.9963942307692307,0.9453765119001171,75.36363636363636,15378,2
race,Caucasian,0.25,0.001443298969072165,0.9914738124238733,0.9456769240778089,38.76190476190476,15371,3
race,Caucasian,0.25,0.0008269588587967748,0.9955005624296963,0.9417532467532468,73.75,15400,4
race,Indian,,0.0,,1.0,,19,0
race,Indian,,0.0,1.0,0.9333333333333333,inf,15,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9777777777777777,inf,315,0
race,Other,,0.0,1.0,0.97,inf,300,1
race,Other,,0.0,1.0,0.9652173913043478,inf,345,2
race,Other,,0.0,1.0,0.9853801169590644,inf,342,3
race,Other,,0.0,1.0,0.9836601307189542,inf,306,4
sex,female,0.26666666666666666,0.0017489466571269576,0.9896907216494846,0.940846125046799,34.90909090909091,13355,0
sex,female,0.14285714285714285,0.0009479421755272928,0.9974326059050064,0.9412859056407203,64.75,13438,1
sex,female,0.35294117647058826,0.000871425176265547,0.9921259842519685,0.9426970489353754,68.72727272727273,13385,2
sex,female,0.19230769230769232,0.0016654770402093743,0.9932705248990579,0.9431545835829839,35.142857142857146,13352,3
sex,female,0.2857142857142857,0.0007942811755361397,0.9948849104859335,0.9410708944062219,77.8,13372,4
sex,male,0.2,0.0014411817690506215,0.9932432432432432,0.9483495809817,36.75,5847,0
sex,male,0.25,0.000547845142439737,0.9965277777777778,0.9496877168632893,95.66666666666667,5764,1
sex,male,0.0,0.0009015506671474937,1.0,0.9525528623001547,54.2,5817,2
sex,male,0.3333333333333333,0.0010754615522495072,0.988929889298893,0.9531623931623932,44.666666666666664,5850,3
sex,male,0.0,0.001266051727256285,1.0,0.9471698113207547,43.0,5830,4
