Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.18225918225918225,0.38499184339314846,0.2591549295774648,0.6280701754385964,0.07796610169491526,3420,0
race,African-American,0.19935897435897437,0.40251369642281665,0.26128266033254155,0.6143586833144155,0.08807045636509207,3524,1
race,African-American,0.18837675350701402,0.4045954045954046,0.23783783783783785,0.6136970056329677,0.07242798353909465,3373,2
race,African-American,0.17534246575342466,0.4,0.29863013698630136,0.6109629629629629,0.09053156146179402,3375,3
race,African-American,0.1847051198963059,0.40751538710722385,0.2578125,0.6090463843272832,0.07869634340222575,3471,4
race,Asian,0.3,0.175,0.4,0.8,0.2857142857142857,45,0
race,Asian,0.23529411764705882,0.20634920634920634,0.2,0.7941176470588235,0.07692307692307693,68,1
race,Asian,0.14285714285714285,0.32432432432432434,0.3333333333333333,0.675,0.08333333333333333,40,2
race,Asian,0.07142857142857142,0.2765957446808511,0.75,0.6862745098039216,0.23076923076923078,51,3
race,Asian,0.08333333333333333,0.3055555555555556,0.5,0.6842105263157895,0.09090909090909091,38,4
race,Caucasian,0.19662486453011302,0.38064847417840375,0.2881165919282511,0.630059678256357,0.09905569473887069,15416,0
race,Caucasian,0.19343120932344482,0.3926466254052461,0.26212471131639725,0.6221249346576059,0.085194220303997,15304,1
race,Caucasian,0.19575158577961352,0.4002349141095287,0.26400443704936216,0.6156888168557536,0.08730741012472487,15425,2
race,Caucasian,0.19386521607736476,0.39161711810908023,0.28042624789680315,0.6212514604699467,0.09372071227741331,15406,3
race,Caucasian,0.18522877740179491,0.4055954299106489,0.26503210741389377,0.6100735341966552,0.08197905381003973,15367,4
race,Indian,0.0,0.15384615384615385,,0.8461538461538461,0.0,13,0
race,Indian,0.0,0.14285714285714285,,0.8571428571428571,0.0,14,1
race,Indian,0.3333333333333333,0.25,0.3333333333333333,0.7368421052631579,0.25,19,2
race,Indian,0.0,0.2857142857142857,1.0,0.6818181818181818,0.16666666666666666,22,3
race,Indian,0.0,0.36363636363636365,,0.6363636363636364,0.0,11,4
race,Other,0.046153846153846156,0.20666666666666667,0.625,0.7824675324675324,0.08064516129032258,308,0
race,Other,0.12727272727272726,0.17391304347826086,0.5625,0.8047945205479452,0.1875,292,1
race,Other,0.11363636363636363,0.23564954682779457,0.2857142857142857,0.7623188405797101,0.05128205128205128,345,2
race,Other,0.0759493670886076,0.21726190476190477,0.5,0.7729885057471264,0.0821917808219178,348,3
race,Other,0.11764705882352941,0.2542372881355932,0.5,0.7301587301587301,0.13333333333333333,315,4
sex,female,0.1953759265795976,0.38619229140194833,0.2769431743958197,0.6263497300539892,0.09300285150252248,13336,0
sex,female,0.20010114632501685,0.40065861690450055,0.24394904458598726,0.6176843360918511,0.08071654373024235,13413,1
sex,female,0.1961714382517364,0.4014042805177227,0.2490272373540856,0.6161790017211703,0.08092729188619599,13363,2
sex,female,0.20327022375215145,0.39288745544050246,0.2727832512315271,0.6216619424138445,0.09570101533808598,13406,3
sex,female,0.18870132040782217,0.40968939905469276,0.2649739583333333,0.6069187089061566,0.0838483724763082,13384,4
sex,male,0.1867704280155642,0.3586272640610105,0.30434782608695654,0.6471189907944085,0.10047846889952153,5866,0
sex,male,0.17886530965786054,0.3656702025072324,0.3162251655629139,0.6394886854378995,0.10073839662447258,5789,1
sex,male,0.18742442563482467,0.38858905165767155,0.2857142857142857,0.6228806302449049,0.09226190476190477,5839,2
sex,male,0.15420363329108577,0.38097050428163654,0.32532347504621073,0.6242236024844721,0.08791208791208792,5796,3
sex,male,0.17331163547599673,0.3881566380133715,0.2692967409948542,0.6237538673083534,0.07726377952755906,5818,4
