Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9207602339181287,inf,3420,0
race,African-American,,0.0,1.0,0.9196935300794552,inf,3524,1
race,African-American,,0.0,1.0,0.9246961162170175,inf,3373,2
race,African-American,,0.0,1.0,0.9191111111111111,inf,3375,3
race,African-American,,0.0,1.0,0.9213483146067416,inf,3471,4
race,Asian,,0.0,1.0,0.9777777777777777,inf,45,0
race,Asian,,0.0,1.0,0.9117647058823529,inf,68,1
race,Asian,,0.0,1.0,0.95,inf,40,2
race,Asian,,0.0,1.0,0.9607843137254902,inf,51,3
race,Asian,,0.0,1.0,0.9473684210526315,inf,38,4
race,Caucasian,,0.0,1.0,0.8838868707836015,inf,15416,0
race,Caucasian,,0.0,1.0,0.8849320439100888,inf,15304,1
race,Caucasian,,0.0,1.0,0.8841491085899513,inf,15425,2
race,Caucasian,,0.0,1.0,0.8854342463975075,inf,15406,3
race,Caucasian,,0.0,1.0,0.884102297130214,inf,15367,4
race,Indian,,0.0,,1.0,,13,0
race,Indian,,0.0,,1.0,,14,1
race,Indian,,0.0,1.0,0.9473684210526315,inf,19,2
race,Indian,,0.0,1.0,0.9545454545454546,inf,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9805194805194806,inf,308,0
race,Other,,0.0,1.0,0.9554794520547946,inf,292,1
race,Other,,0.0,1.0,0.9768115942028985,inf,345,2
race,Other,,0.0,1.0,0.9712643678160919,inf,348,3
race,Other,,0.0,1.0,0.9777777777777777,inf,315,4
sex,female,,0.0,1.0,0.8881973605278944,inf,13336,0
sex,female,,0.0,1.0,0.8892119585476776,inf,13413,1
sex,female,,0.0,1.0,0.8905185961236249,inf,13363,2
sex,female,,0.0,1.0,0.8865433388035208,inf,13406,3
sex,female,,0.0,1.0,0.8884488942020323,inf,13384,4
sex,male,,0.0,1.0,0.90163654960791,inf,5866,0
sex,male,,0.0,1.0,0.9003282086716186,inf,5789,1
sex,male,,0.0,1.0,0.8991265627675972,inf,5839,2
sex,male,,0.0,1.0,0.9085576259489303,inf,5796,3
sex,male,,0.0,1.0,0.9020281883808869,inf,5818,4
